CD,FI3312B
6.010,31.434
6.012,31.181
6.011,31.691
6.012,31.570
6.011,31.690
6.009,31.539
6.010,31.465
6.012,31.484
6.013,31.512
6.014,31.727
6.015,31.422
6.014,31.612
6.014,31.702
6.014,31.489
6.013,31.395
6.013,31.610
6.013,31.327
6.013,31.506
6.015,31.459
6.014,31.557
6.013,31.644
6.011,31.700
6.012,31.873
6.011,31.603
6.013,31.910
6.011,31.817
6.011,31.741
6.009,31.736
6.012,31.816
6.013,32.003
6.011,31.814
6.016,31.752
6.015,31.876
6.015,31.747
6.014,31.430
6.014,31.636
6.014,31.661
6.012,31.832
6.013,31.625
6.013,31.406
6.014,31.368
6.013,31.481
6.012,31.463
6.013,31.607
6.012,31.484
6.011,30.950
6.009,31.072
6.010,31.540
6.010,31.373
6.010,31.402
6.012,31.530
6.011,31.499
6.012,31.373
6.012,31.752
6.013,31.401
6.013,31.402
6.014,31.711
6.013,31.763
6.012,31.512
6.012,31.807
6.012,31.894
6.013,31.774
6.012,31.784
6.012,31.679
6.012,31.884
6.013,31.468
6.012,31.367
6.012,31.462
6.011,31.305
6.013,31.412
6.013,31.628
6.012,31.538
6.014,31.612
6.013,31.651
6.013,31.737
6.013,31.892
6.014,31.707
6.014,31.471
6.014,31.663
6.013,31.502
6.013,31.783
6.013,31.519
6.012,31.612
6.013,31.784
6.013,31.494
6.013,31.586
6.014,31.533
6.012,31.460
6.012,31.567
6.012,31.561
6.011,31.489
6.012,31.477
6.012,31.451
6.010,31.452
6.010,31.687
6.011,31.732
6.009,31.624
6.011,31.665
6.011,31.550
6.011,31.806
6.013,31.490
6.012,31.599
6.012,31.561
6.012,31.578
6.012,31.579
6.011,31.247
6.011,31.692
6.015,31.774
6.012,31.674
6.012,31.635
6.012,31.569
6.013,31.569
6.012,31.629
6.012,31.538
6.013,31.382
6.012,31.549
6.012,31.464
6.011,31.384
6.012,31.344
6.013,31.584
6.014,31.571
6.014,31.465
6.013,31.535
6.013,31.485
6.013,31.509
6.014,31.742
6.012,31.318
6.013,31.507
6.012,31.508
6.013,31.641
6.012,31.560
6.012,31.768
6.010,31.617
6.011,31.552
6.011,31.472
6.011,31.625
6.011,31.533
6.013,31.601
6.013,31.569
6.013,31.628
6.013,31.543
6.013,31.523
6.014,31.641
6.014,31.739
6.014,31.640
6.014,31.542
6.012,31.559
6.012,31.404
6.012,31.776
6.012,31.510
6.013,31.617
6.012,31.655
6.014,31.665
6.013,31.547
6.015,31.429
6.015,31.495
6.013,31.521
6.014,31.815
6.012,31.575
6.013,31.651
6.013,31.603
6.013,31.708
6.014,31.516
6.014,31.521
6.015,31.622
6.015,31.828
6.014,31.487
6.015,31.519
6.013,31.535
6.012,31.760
6.012,31.742
6.013,31.453
6.013,31.548
6.013,31.663
6.012,31.510
6.012,31.378
6.014,31.662
6.012,31.559
6.012,31.513
6.012,31.680
6.013,31.491
6.013,31.591
6.014,31.699
6.014,31.561
6.013,31.597
6.015,31.690
6.015,31.848
6.015,31.713
6.014,31.715
6.014,31.555
6.012,31.799
6.014,31.453
6.013,31.674
6.014,31.636
6.015,31.628
6.012,31.596
6.013,31.651
6.012,31.387
6.013,31.655
6.013,31.803
6.014,31.589
6.012,31.723
6.013,31.760
6.013,31.834
2.547,30.883
2.455,30.885
2.331,30.878
6.011,29.879
6.013,29.749
6.012,30.292
6.013,30.227
6.013,30.748
6.014,30.403
6.013,30.608
6.013,30.712
6.012,30.616
3.047,30.184
2.454,29.611
2.454,29.744
2.455,29.995
2.454,29.776
2.453,29.690
2.454,29.674
2.453,29.426
2.452,29.889
2.454,29.941
2.452,29.765
2.453,29.628
2.452,29.399
6.012,30.458
6.012,30.233
6.012,30.391
6.013,30.807
6.014,30.146
6.012,30.573
6.014,29.766
6.013,30.302
6.012,30.501
4.294,29.749
2.452,30.687
2.451,30.935
2.454,30.775
2.453,30.316
2.453,30.525
2.452,30.879
2.453,30.793
2.453,30.558
2.453,30.761
2.453,30.699
2.453,30.567
2.453,30.525
6.012,31.576
6.011,31.801
6.012,31.543
6.012,31.607
6.011,31.478
6.011,31.433
6.012,31.910
6.012,31.382
6.013,32.019
2.456,31.256
2.454,30.867
2.455,30.977
2.454,31.034
2.454,30.682
2.452,30.755
2.454,31.026
2.453,30.703
2.453,30.429
2.451,30.784
2.450,30.836
2.451,30.592
2.451,30.619
6.010,31.066
6.010,31.544
6.011,31.150
6.009,31.202
6.011,31.426
6.011,31.622
6.010,30.827
6.009,31.078
6.011,31.252
3.372,30.628
2.452,30.570
2.454,30.687
2.455,30.890
2.456,30.898
2.456,31.165
2.455,31.017
2.455,31.060
2.455,31.082
2.454,30.700
2.455,31.073
2.454,30.528
2.453,30.570
6.010,31.508
6.010,31.395
6.011,31.302
6.011,31.356
6.011,31.362
6.008,31.347
6.008,31.158
6.010,31.129
6.010,31.285
6.010,31.357
6.008,31.538
6.012,31.143
6.011,31.056
6.012,31.379
6.013,31.056
6.010,31.225
6.012,31.103
6.010,31.343
6.010,30.960
6.009,30.874
6.008,30.712
6.007,30.868
6.006,30.896
6.006,31.276
6.005,30.727
6.006,30.798
6.006,30.760
6.005,30.633
6.005,30.571
6.003,30.721
6.003,30.342
6.005,30.888
6.006,30.957
6.009,30.828
6.011,31.000
6.011,30.875
6.010,30.981
6.012,31.209
6.013,31.040
6.013,31.231
6.012,31.156
6.011,31.512
6.012,31.349
6.011,30.963
6.010,30.899
6.009,30.853
6.009,30.815
6.008,30.862
6.009,30.857
6.008,30.982
6.008,30.911
6.008,30.724
6.007,30.944
6.009,31.044
6.011,30.561
6.012,30.256
6.012,30.620
6.014,30.744
6.013,30.598
6.012,30.306
6.012,30.705
6.013,30.793
6.013,30.780
6.012,30.728
6.012,30.610
6.013,30.850
6.012,30.927
6.009,30.651
6.011,30.683
6.012,30.577
6.010,30.324
6.011,30.550
6.011,30.691
6.010,30.379
6.010,30.313
6.012,30.595
6.013,30.664
6.013,30.590
6.013,30.659
6.015,30.811
6.016,30.851
6.016,30.719
6.014,30.925
6.015,30.815
6.013,30.583
6.012,30.900
6.013,30.576
6.011,30.758
6.011,30.653
6.014,30.552
6.014,30.785
6.013,30.739
6.014,30.420
6.013,30.581
6.011,30.605
6.011,30.795
6.012,30.218
6.014,30.807
6.015,30.464
6.017,30.726
6.015,30.656
6.015,30.602
6.017,30.429
6.017,30.640
6.015,30.312
6.014,30.470
6.013,30.558
6.014,30.586
6.013,30.471
6.014,30.485
6.012,30.656
6.013,30.696
6.014,30.614
6.013,30.649
6.013,30.387
6.014,30.627
6.013,30.564
6.013,30.540
6.013,30.199
3.677,30.308
3.678,30.264
3.678,29.986
3.678,30.170
3.679,29.942
3.678,29.981
3.678,29.895
3.677,29.880
3.677,29.847
3.677,30.000
3.677,30.090
3.678,30.075
3.677,30.210
6.012,30.441
6.013,30.416
6.010,30.515
6.010,30.453
6.012,30.367
6.013,30.285
6.012,30.329
6.011,30.305
6.011,30.154
3.677,30.372
3.677,30.203
3.679,30.382
3.678,30.471
3.678,30.281
3.677,30.199
3.679,30.286
3.677,30.248
3.676,30.157
3.676,30.366
3.676,30.252
3.675,29.924
3.676,30.280
6.012,30.797
6.010,30.495
6.011,30.260
6.011,30.607
6.012,30.594
6.011,30.475
6.011,30.699
6.010,30.564
6.012,30.518
6.011,30.782
6.014,30.705
6.013,30.712
6.014,30.448
6.014,30.555
6.015,30.678
6.012,30.527
6.013,30.485
6.014,30.458
6.014,30.431
6.013,30.398
6.012,30.493
6.012,30.526
6.012,30.746
6.014,30.478
6.012,30.349
6.012,30.548
6.011,30.445
6.011,30.161
6.013,30.156
6.012,30.393
6.012,30.431
6.012,30.459
6.013,30.265
6.012,30.364
6.013,30.466
6.013,30.450
6.013,30.499
6.013,30.217
6.013,30.448
6.013,30.295
6.014,30.404
6.015,30.451
6.012,30.528
6.012,30.326
6.014,30.350
6.014,30.047
6.014,30.054
6.012,30.185
6.013,30.240
6.014,30.142
6.012,30.225
6.012,30.109
6.011,30.256
6.012,30.335
6.012,30.100
6.013,30.281
6.013,30.006
6.013,30.081
6.013,30.369
6.014,30.186
6.013,30.154
6.012,30.219
6.013,30.279
6.012,30.162
6.013,30.132
6.013,30.316
6.012,30.311
6.013,30.207
6.014,30.338
6.015,30.304
6.014,30.119
6.014,30.265
6.013,30.164
6.012,30.171
6.013,30.173
6.012,30.034
6.013,30.160
6.013,30.080
6.013,30.252
6.015,30.198
6.015,30.072
6.016,30.231
6.015,30.169
6.014,30.225
6.015,30.000
6.014,30.154
6.014,30.066
6.014,30.155
6.014,29.964
6.014,30.173
6.014,29.973
6.014,29.992
6.012,30.266
6.012,30.072
6.013,29.755
6.015,30.074
6.012,29.922
6.012,30.134
6.013,30.168
6.013,29.880
6.015,29.869
6.017,30.271
6.013,30.147
6.014,30.094
6.015,30.077
6.014,30.118
6.015,30.180
6.015,30.231
6.014,30.377
6.013,30.140
6.015,30.372
6.013,30.066
6.013,30.177
6.014,30.231
6.014,30.091
6.012,30.226
6.013,30.223
6.014,30.088
6.012,30.068
6.013,30.121
6.013,30.105
6.014,30.297
6.014,30.170
6.014,30.119
6.015,29.963
6.016,30.060
6.016,30.016
6.014,30.196
6.016,30.326
6.015,30.227
6.016,30.256
6.014,30.319
6.012,30.335
6.014,30.076
6.014,30.249
6.015,30.134
6.014,30.117
6.014,30.092
6.014,30.406
6.016,30.101
6.017,30.205
6.014,30.052
6.014,29.957
6.018,29.850
6.016,30.117
6.018,30.224
6.017,29.761
6.015,30.058
6.016,30.238
6.015,29.892
6.019,30.123
6.016,29.939
6.017,30.164
6.017,30.131
6.017,30.027
6.014,29.950
6.014,29.990
6.015,30.159
6.014,29.963
6.012,29.810
6.012,29.751
6.013,29.960
6.014,29.876
6.014,30.164
6.014,29.950
6.015,29.861
6.015,29.906
6.015,29.966
6.016,29.951
6.015,30.279
6.016,29.929
6.016,29.893
6.014,29.987
6.014,30.133
6.016,29.832
6.015,30.131
6.015,30.101
6.014,30.078
6.014,30.110
6.015,30.114
6.014,29.954
6.013,30.021
6.014,30.017
6.014,30.003
6.013,29.777
6.014,29.896
6.014,29.827
6.013,29.881
5.211,29.159
5.578,29.793
6.011,29.936
6.013,30.032
6.013,29.770
6.014,30.052
6.013,30.218
6.010,30.144
6.012,30.233
6.014,30.091
6.012,30.057
6.014,30.005
6.015,30.125
6.013,30.036
6.012,29.923
6.013,29.831
6.011,30.163
6.012,29.870
6.011,29.862
6.013,29.916
6.014,30.072
5.672,29.546
5.671,29.721
6.010,29.672
6.008,29.916
6.008,30.105
6.009,29.725
6.010,29.928
6.011,29.955
6.010,30.054
6.010,29.727
6.011,30.000
6.009,29.714
6.010,29.659
6.011,29.621
6.009,29.879
6.009,29.845
6.009,29.825
6.010,29.588
6.010,29.501
6.009,29.601
6.009,29.538
6.010,29.769
6.009,29.444
6.010,29.754
6.011,29.911
6.010,29.720
6.011,29.706
6.010,29.833
6.010,30.368
6.010,30.425
6.012,30.506
6.011,30.156
6.011,30.243
6.011,30.206
6.010,30.281
6.012,30.279
6.011,30.190
6.011,30.493
6.011,30.256
6.010,30.071
6.010,30.082
6.010,29.855
6.011,30.156
6.014,30.181
6.014,30.461
6.014,30.109
6.014,30.288
6.013,30.302
6.014,30.179
6.014,30.422
6.013,30.188
6.013,30.325
6.014,30.156
6.014,29.991
6.014,29.868
6.014,30.404
6.013,30.313
6.014,30.263
6.015,30.173
6.013,29.960
6.012,30.506
6.012,30.161
6.012,30.246
6.011,30.064
6.012,30.287
6.013,30.088
6.012,30.078
6.013,30.199
6.013,30.030
6.014,30.118
6.012,30.158
6.012,30.123
6.013,30.284
6.013,30.198
6.012,30.127
6.012,30.127
6.014,30.350
6.012,29.994
6.012,30.143
6.013,30.041
6.014,29.870
6.014,30.060
6.014,29.972
6.013,30.040
6.013,30.063
6.013,30.138
6.014,30.061
6.014,30.139
6.014,30.082
6.015,29.876
6.014,30.087
6.015,29.841
6.014,30.052
6.014,30.211
6.015,29.963
6.014,29.857
6.014,30.089
6.013,30.136
6.014,30.097
6.014,30.054
6.014,30.109
6.014,29.990
6.013,30.125
6.014,30.040
6.013,30.137
6.015,29.956
6.014,29.939
6.014,30.067
6.014,30.079
6.013,30.016
6.014,29.994
6.015,30.152
6.014,30.014
6.014,30.117
6.015,29.870
6.015,30.154
6.015,29.959
6.015,29.852
6.016,30.283
6.014,29.941
6.015,29.963
6.014,30.070
6.015,30.196
6.013,30.184
6.014,30.095
6.012,29.917
6.012,30.081
6.013,29.950
6.013,29.946
6.013,30.236
6.011,29.942
6.014,29.888
6.014,29.970
6.014,30.137
6.014,29.837
6.016,30.006
6.014,30.104
6.015,30.113
6.014,30.132
6.015,30.066
6.015,30.044
6.014,29.909
6.014,29.994
6.015,30.028
6.013,29.837
6.013,30.038
6.013,29.881
6.014,29.997
6.013,30.031
6.013,30.060
6.015,29.913
6.013,30.010
6.014,30.016
6.014,29.802
6.014,29.911
6.015,29.919
6.014,29.707
6.014,30.042
6.015,29.854
6.015,29.752
6.015,29.915
6.015,29.997
6.014,30.019
6.014,29.827
6.015,30.798
6.013,30.996
6.014,30.748
6.015,30.525
6.014,30.753
6.013,30.556
6.013,30.685
6.014,30.669
6.014,30.856
6.014,30.474
6.014,30.695
6.014,30.765
6.014,30.680
6.015,30.729
6.015,30.669
6.014,30.651
6.014,30.656
6.013,30.887
6.014,30.622
6.014,30.753
6.014,30.825
6.014,30.806
6.012,30.833
6.013,30.749
6.013,30.698
6.013,30.862
6.013,30.695
6.012,30.773
6.011,30.707
6.012,30.425
6.013,30.588
6.012,30.551
6.014,30.653
6.014,30.687
6.014,30.810
6.014,30.906
6.016,30.646
6.015,30.601
6.015,30.665
6.017,30.695
6.017,30.618
6.016,30.673
6.016,30.516
6.014,30.658
6.016,30.818
6.016,30.785
6.016,30.507
6.016,30.557
6.016,30.935
6.013,30.671
6.014,30.651
6.014,30.675
6.014,30.420
6.013,30.671
6.014,30.521
6.016,30.753
6.015,30.703
6.016,30.742
6.016,30.702
6.016,30.694
6.016,30.608
6.015,30.798
6.015,30.651
6.016,30.796
6.015,30.627
6.015,30.808
6.015,30.940
6.015,30.687
6.014,30.506
6.013,30.584
6.011,30.692
6.012,30.650
6.013,30.691
6.013,30.652
6.014,30.609
6.013,30.457
6.014,30.673
6.015,30.648
6.015,30.704
6.015,30.543
6.014,30.766
6.016,30.751
6.015,30.915
6.016,30.838
6.017,30.527
6.015,30.850
6.015,30.916
6.015,30.945
6.015,30.633
6.013,30.834
6.014,30.822
6.015,31.031
6.015,30.806
6.015,30.872
6.016,30.814
6.014,30.666
6.015,30.589
6.016,30.801
6.015,30.813
6.015,30.801
6.017,31.009
6.017,30.776
6.017,30.639
6.016,30.532
6.016,30.898
6.014,30.660
6.016,30.376
6.014,30.662
6.014,30.710
6.015,30.644
