DOL,CD,FI3312A
13.042,6.011,29.550
13.083,6.012,29.689
13.125,6.015,29.792
13.167,6.013,29.020
13.208,6.011,29.716
13.250,6.013,29.441
13.292,6.012,29.691
13.375,6.013,29.687
13.417,6.013,29.685
13.458,6.014,29.417
13.500,6.014,29.636
13.542,6.015,29.220
13.583,6.015,29.702
13.625,6.013,29.838
13.667,6.014,29.437
13.708,6.013,29.711
13.750,6.013,29.716
13.792,6.011,29.872
13.833,6.010,29.534
13.875,6.012,29.662
13.958,6.012,29.779
14.000,6.011,29.797
14.042,6.012,29.658
14.083,6.013,29.796
14.125,6.014,29.657
14.167,6.013,28.938
14.208,6.013,29.738
14.250,6.013,29.799
14.292,6.014,29.755
14.375,6.013,29.377
14.417,5.982,29.848
14.458,6.013,29.983
14.500,6.013,29.619
14.542,6.014,29.812
14.583,6.012,29.805
14.625,6.014,29.460
14.667,6.013,29.581
14.708,6.013,29.093
14.750,6.012,29.074
14.792,6.013,29.739
14.833,6.012,29.652
14.875,6.012,29.318
14.958,6.014,29.391
15.000,6.011,29.652
15.042,6.011,29.854
15.083,6.011,29.724
15.125,6.011,29.670
15.167,6.011,29.902
15.208,6.010,29.674
15.250,6.010,29.809
15.292,6.013,29.853
15.375,6.014,29.491
15.417,6.014,29.191
15.458,6.013,29.838
15.500,6.013,29.721
15.542,6.014,29.699
15.583,6.015,29.632
15.625,6.015,29.731
15.667,6.014,29.660
15.708,6.014,29.831
15.750,6.014,29.720
15.792,6.012,29.850
15.833,6.014,29.896
15.875,6.013,29.310
15.958,6.013,29.722
16.000,6.012,29.623
16.042,6.013,29.874
16.083,6.012,29.696
16.125,6.011,29.819
16.167,6.011,29.421
16.208,6.014,28.992
16.250,6.013,29.603
16.292,6.011,29.857
16.375,6.012,29.677
16.417,6.013,29.820
16.458,6.014,29.793
16.500,6.014,29.100
16.542,6.014,29.802
16.583,6.014,29.717
16.625,6.013,29.163
16.667,6.015,29.245
16.708,6.014,29.497
16.750,6.014,29.715
16.792,6.013,29.701
16.833,6.012,29.571
16.875,6.013,29.419
16.958,6.013,29.356
17.000,6.014,29.452
17.042,6.012,29.591
17.083,6.013,29.549
17.125,6.010,29.619
17.167,6.012,28.791
17.208,6.012,28.755
17.250,6.011,29.130
17.292,6.011,29.317
17.375,6.013,29.526
17.417,6.012,29.570
17.458,6.013,29.336
17.500,6.012,29.337
17.542,6.014,28.833
17.583,6.014,29.452
17.625,6.013,29.428
17.667,6.013,28.829
17.708,6.013,29.487
17.750,6.013,29.581
17.792,6.013,28.759
17.833,6.012,29.202
17.875,6.013,29.785
17.958,6.012,29.126
18.000,6.012,29.557
18.042,6.012,28.791
18.083,6.010,29.557
18.125,6.012,29.210
18.167,6.010,28.844
18.208,6.010,29.370
18.250,6.010,29.650
18.292,6.010,28.880
18.375,6.011,29.533
18.417,6.011,29.681
18.458,6.012,29.297
18.500,6.011,29.524
18.542,6.010,29.537
18.583,6.009,29.551
18.625,6.009,29.432
18.667,6.009,29.474
18.708,6.009,29.807
18.750,6.010,29.388
18.792,6.011,29.645
18.833,6.010,29.413
18.875,6.009,28.950
18.958,6.010,29.465
19.000,6.009,29.523
19.042,6.009,29.504
19.083,6.010,29.493
19.125,6.012,29.334
19.167,6.011,29.350
19.208,6.012,29.502
19.250,6.011,28.884
19.292,6.009,29.607
19.375,6.010,29.567
19.417,6.012,29.121
19.458,6.013,29.570
19.500,6.014,29.756
19.542,6.015,29.204
19.583,6.014,29.448
19.625,6.014,29.793
19.667,6.014,29.051
19.708,6.013,29.548
19.750,6.013,28.800
19.792,6.013,29.766
19.833,6.013,29.565
19.875,6.015,29.637
19.958,6.014,29.347
20.000,6.013,29.463
20.042,6.011,29.521
20.083,6.012,29.565
20.125,6.011,29.616
20.167,6.013,29.228
20.208,6.011,29.665
20.250,6.011,29.651
20.292,6.009,29.745
20.375,6.012,29.652
20.417,6.013,29.478
20.458,6.011,29.697
20.500,6.016,29.642
20.542,6.015,29.706
20.583,6.015,28.958
20.625,6.014,29.492
20.667,6.014,29.706
20.708,6.014,29.560
20.750,6.012,29.648
20.792,6.013,29.724
20.833,6.013,29.430
20.875,6.014,29.530
20.958,6.013,29.511
21.000,6.012,29.840
21.042,6.013,29.507
21.083,6.012,29.550
21.125,6.011,29.323
21.167,6.009,29.451
21.208,6.010,29.880
21.250,6.010,29.620
21.292,6.010,28.909
21.375,6.012,28.940
21.417,6.011,29.025
21.458,6.012,29.726
21.500,6.012,29.892
21.542,6.013,29.876
21.583,6.013,29.947
21.625,6.014,29.890
21.667,6.013,29.982
21.708,6.012,29.031
21.750,6.012,29.894
21.792,6.012,29.991
21.833,6.013,29.840
21.875,6.012,30.008
21.958,6.012,29.813
22.000,6.012,29.829
22.042,6.013,29.880
22.083,6.012,29.345
22.125,6.012,29.858
22.167,6.011,29.747
22.208,6.013,29.889
22.250,6.013,29.387
22.292,6.012,29.690
22.375,6.014,29.549
22.417,6.013,29.694
22.458,6.013,29.943
22.500,6.013,29.750
22.542,6.014,29.836
22.583,6.014,29.810
22.625,6.014,29.913
22.667,6.013,29.746
22.708,6.013,29.712
22.750,6.013,29.829
22.792,6.012,29.958
22.833,6.013,29.769
22.875,6.013,29.882
22.958,6.013,29.559
23.000,6.014,29.712
23.042,6.012,29.778
23.083,6.012,29.831
23.125,6.012,29.909
23.167,6.011,29.797
23.208,6.012,29.702
23.250,6.012,29.845
23.292,6.010,29.229
23.375,6.010,29.687
23.417,6.011,29.873
23.458,6.009,29.682
23.500,6.011,29.700
23.542,6.011,29.519
23.583,6.011,29.688
23.625,6.013,29.658
23.667,6.012,29.432
23.708,6.012,29.612
23.750,6.012,29.234
23.792,6.012,29.137
23.833,6.011,29.355
23.875,6.011,29.839
23.958,6.015,29.223
24.000,6.012,29.820
24.042,6.012,29.864
24.083,6.012,29.632
24.125,6.013,29.251
24.167,6.012,29.774
24.208,6.012,29.458
24.250,6.013,29.850
24.292,6.012,29.828
24.375,6.012,29.779
24.417,6.011,29.837
24.458,6.012,28.960
24.500,6.013,29.165
24.542,6.014,28.988
24.583,6.014,29.866
24.625,6.013,29.632
24.667,6.013,29.892
24.708,6.013,29.794
24.750,6.014,29.879
24.792,6.012,29.760
24.833,6.013,29.833
24.875,6.012,29.581
24.958,6.013,29.923
25.000,6.012,29.805
25.042,6.012,29.929
25.083,6.010,30.042
25.125,6.011,29.624
25.167,6.011,29.737
25.208,6.011,29.685
25.250,6.011,29.795
25.292,6.013,29.800
25.375,6.013,29.632
25.417,6.013,29.927
25.458,6.013,29.745
25.500,6.013,29.967
25.542,6.014,29.680
25.583,6.014,29.835
25.625,6.014,29.902
25.667,6.014,29.106
25.708,6.012,29.825
25.750,6.012,29.953
25.792,6.012,29.880
25.833,6.012,29.827
25.875,6.013,29.881
25.958,6.012,29.723
26.000,6.014,29.804
26.042,6.013,29.780
26.083,6.015,29.824
26.125,6.015,29.736
26.167,6.013,29.651
26.208,6.014,29.802
26.250,6.012,29.889
26.292,6.013,29.913
26.375,6.013,29.889
26.417,6.013,30.014
26.458,6.014,29.381
26.500,6.014,29.884
26.542,6.015,29.805
26.583,6.015,29.656
26.625,6.014,29.671
26.667,6.015,29.827
26.708,6.013,29.814
26.750,6.012,29.620
26.792,6.012,29.835
26.833,6.013,29.701
26.875,6.013,29.968
26.958,6.013,29.913
27.000,6.012,29.818
27.042,6.012,29.673
27.083,6.014,29.864
27.125,6.012,29.684
27.167,6.012,29.837
27.208,6.012,29.990
27.250,6.013,29.902
27.292,6.013,29.907
27.375,6.014,29.575
27.417,6.014,29.987
27.458,6.013,29.971
27.500,6.015,29.678
27.542,6.015,29.772
27.583,6.015,29.872
27.625,6.014,29.737
27.667,6.014,29.734
27.708,6.012,30.046
27.750,6.014,29.790
27.792,6.013,29.737
27.833,6.014,29.760
27.875,6.015,29.981
27.958,6.012,29.637
28.000,6.013,29.738
28.042,6.012,29.519
28.083,6.013,29.561
28.125,6.013,29.132
28.167,6.014,29.943
28.208,6.012,29.858
28.250,6.013,29.158
28.292,6.013,29.986
28.375,2.547,15.496
28.417,2.455,15.722
28.458,2.331,17.235
28.958,6.011,28.539
29.000,6.013,28.528
29.042,6.012,28.539
29.083,6.013,28.022
29.125,6.013,28.458
29.167,6.014,28.536
29.208,6.013,28.134
29.250,6.013,28.091
29.292,6.012,27.955
29.375,3.047,16.188
29.417,2.454,14.097
29.458,2.454,13.972
29.500,2.455,13.949
29.542,2.454,13.973
29.583,2.453,13.973
29.625,2.454,13.976
29.667,2.453,13.893
29.708,2.452,13.781
29.750,2.454,13.851
29.792,2.452,13.858
29.833,2.453,13.784
29.875,2.452,13.747
29.958,6.012,28.888
30.000,6.012,28.566
30.042,6.012,28.278
30.083,6.013,28.608
30.125,6.014,28.223
30.167,6.012,28.359
30.208,6.014,28.875
30.250,6.013,28.528
30.292,6.012,28.434
30.375,4.294,25.381
30.417,2.452,14.447
30.458,2.451,14.397
30.500,2.454,14.474
30.542,2.453,14.476
30.583,2.453,14.416
30.625,2.452,14.328
30.667,2.453,14.412
30.708,2.453,14.446
30.750,2.453,14.507
30.792,2.453,14.500
30.833,2.453,14.492
30.875,2.453,14.473
30.958,6.012,30.025
31.000,6.011,30.045
31.042,6.012,29.969
31.083,6.012,29.975
31.125,6.011,30.036
31.167,6.011,30.133
31.208,6.012,30.031
31.250,6.012,30.106
31.292,6.013,30.203
31.375,2.456,14.873
31.417,2.454,14.511
31.458,2.455,14.567
31.500,2.454,14.543
31.542,2.454,14.424
31.583,2.452,14.295
31.625,2.454,14.431
31.667,2.453,14.490
31.708,2.453,14.262
31.750,2.451,14.206
31.792,2.450,14.210
31.833,2.451,14.247
31.875,2.451,14.314
31.958,6.010,29.725
32.000,6.010,29.682
32.042,6.011,29.735
32.083,6.009,29.627
32.125,6.011,29.938
32.167,6.011,29.572
32.208,6.010,29.863
32.250,6.009,29.761
32.292,6.011,29.943
32.375,3.372,18.977
32.417,2.452,13.220
32.458,2.454,13.314
32.500,2.455,13.367
32.542,2.456,13.552
32.583,2.456,13.592
32.625,2.455,14.006
32.667,2.455,14.140
32.708,2.455,14.100
32.750,2.454,14.074
32.792,2.455,14.030
32.833,2.454,14.023
32.875,2.453,13.964
32.958,6.010,29.561
33.000,6.010,28.799
33.042,6.011,29.264
33.083,6.011,29.392
33.125,6.011,29.243
33.167,6.008,28.773
33.208,6.008,29.241
33.250,6.010,29.291
33.292,6.010,29.094
33.375,6.010,29.171
33.417,6.008,29.270
33.458,6.012,29.215
33.500,6.011,28.541
33.542,6.012,29.190
33.583,6.013,28.871
33.625,6.010,29.234
33.667,6.012,29.182
33.708,6.010,29.097
33.750,6.010,29.027
33.792,6.009,28.429
33.833,6.008,29.008
33.875,6.007,29.036
33.958,6.006,29.088
34.000,6.006,29.161
34.042,6.005,29.094
34.083,6.006,29.192
34.125,6.006,29.207
34.167,6.005,29.080
34.208,6.005,29.081
34.250,6.003,29.079
34.292,6.003,29.005
34.375,6.005,28.967
34.417,6.006,29.225
34.458,6.009,29.308
34.500,6.011,29.096
34.542,6.011,29.198
34.583,6.010,29.254
34.625,6.012,29.387
34.667,6.013,29.420
34.708,6.013,29.380
34.750,6.012,29.237
34.792,6.011,29.236
34.833,6.012,29.355
34.875,6.011,29.199
34.958,6.010,29.233
35.000,6.009,29.016
35.042,6.009,29.131
35.083,6.008,28.879
35.125,6.009,29.191
35.167,6.008,29.399
35.208,6.008,29.229
35.250,6.008,29.174
35.292,6.007,28.961
35.375,6.009,29.309
35.417,6.011,29.250
35.458,6.012,28.861
35.500,6.012,28.337
35.542,6.014,28.432
35.583,6.013,28.366
35.625,6.012,28.314
35.667,6.012,28.089
35.708,6.013,28.296
35.750,6.013,28.996
35.792,6.012,28.486
35.833,6.012,28.629
35.875,6.013,28.467
35.958,6.012,28.045
36.000,6.009,29.037
36.042,6.011,29.345
36.083,6.012,28.782
36.125,6.010,29.381
36.167,6.011,29.546
36.208,6.011,29.500
36.250,6.010,29.414
36.292,6.010,29.394
36.375,6.012,28.964
36.417,6.013,29.598
36.458,6.013,28.819
36.500,6.013,28.900
36.542,6.015,29.511
36.583,6.016,29.499
36.625,6.016,29.515
36.667,6.014,29.478
36.708,6.015,29.514
36.750,6.013,29.594
36.792,6.012,29.591
36.833,6.013,29.500
36.875,6.011,29.362
36.958,6.011,29.476
37.000,6.014,29.126
37.042,6.014,29.373
37.083,6.013,28.789
37.125,6.014,29.406
37.167,6.013,29.621
37.208,6.011,29.026
37.250,6.011,28.861
37.292,6.012,29.559
37.375,6.014,29.643
37.417,6.015,28.862
37.458,6.017,29.613
37.500,6.015,29.548
37.542,6.015,29.659
37.583,6.017,29.593
37.625,6.017,29.482
37.667,6.015,28.901
37.708,6.014,28.685
37.750,6.013,29.552
37.792,6.014,28.837
37.833,6.013,29.008
37.875,6.014,29.603
37.958,6.012,29.589
38.000,6.013,28.778
38.042,6.014,29.422
38.083,6.013,29.551
38.125,6.013,29.568
38.167,6.014,29.649
38.208,6.013,28.599
38.250,6.013,29.505
38.292,6.013,29.591
38.375,3.677,18.954
38.417,3.678,18.999
38.458,3.678,18.981
38.500,3.678,18.975
38.542,3.679,18.976
38.583,3.678,18.977
38.625,3.678,18.956
38.667,3.677,18.954
38.708,3.677,18.909
38.750,3.677,18.902
38.792,3.677,18.906
38.833,3.678,18.894
38.875,3.677,18.904
38.958,6.012,28.606
39.000,6.013,28.562
39.042,6.010,28.523
39.083,6.010,28.305
39.125,6.012,28.377
39.167,6.013,28.242
39.208,6.012,28.530
39.250,6.011,28.627
39.292,6.011,28.261
39.375,3.677,18.999
39.417,3.677,19.255
39.458,3.679,19.253
39.500,3.678,19.377
39.542,3.678,19.341
39.583,3.677,19.350
39.625,3.679,19.353
39.667,3.677,19.270
39.708,3.676,19.006
39.750,3.676,18.946
39.792,3.676,18.557
39.833,3.675,19.214
39.875,3.676,19.181
39.958,6.012,28.093
40.000,6.010,28.283
40.042,6.011,28.484
40.083,6.011,28.060
40.125,6.012,28.229
40.167,6.011,28.349
40.208,6.011,28.226
40.250,6.010,28.368
40.292,6.012,28.453
40.375,6.011,28.598
40.417,6.014,28.711
40.458,6.013,28.720
40.500,6.014,28.566
40.542,6.014,28.141
40.583,6.015,28.740
40.625,6.012,28.274
40.667,6.013,28.332
40.708,6.014,28.668
40.750,6.014,28.490
40.792,6.013,28.937
40.833,6.012,28.882
40.875,6.012,28.811
40.958,6.012,28.806
41.000,6.014,28.768
41.042,6.012,28.847
41.083,6.012,28.392
41.125,6.011,28.743
41.167,6.011,28.881
41.208,6.013,28.842
41.250,6.012,28.649
41.292,6.012,28.748
41.375,6.012,28.825
41.417,6.013,28.744
41.458,6.012,28.872
41.500,6.013,28.776
41.542,6.013,28.861
41.583,6.013,28.852
41.625,6.013,28.937
41.667,6.013,28.958
41.708,6.013,28.919
41.750,6.014,28.883
41.792,6.015,28.503
41.833,6.012,29.008
41.875,6.012,28.838
41.958,6.014,28.983
42.000,6.014,28.888
42.042,6.014,29.005
42.083,6.012,28.509
42.125,6.013,28.646
42.167,6.014,28.861
42.208,6.012,28.844
42.250,6.012,28.857
42.292,6.011,28.992
42.375,6.012,28.653
42.417,6.012,28.847
42.458,6.013,28.041
42.500,6.013,28.503
42.542,6.013,28.130
42.583,6.013,28.861
42.625,6.014,28.596
42.667,6.013,28.166
42.708,6.012,28.744
42.750,6.013,28.621
42.792,6.012,28.134
42.833,6.013,28.562
42.875,6.013,28.816
42.958,6.012,28.283
