CD,FI3312A,TI3302A
6.014,29.475,89.016
6.013,29.427,89.015
6.015,29.368,89.026
6.014,30.036,89.036
6.014,30.083,89.002
6.014,29.394,89.083
6.013,30.137,89.075
6.014,29.352,89.129
6.015,29.317,89.192
6.014,30.091,89.156
6.014,29.554,89.157
6.015,30.157,89.138
6.015,29.971,89.117
6.015,29.886,89.111
6.015,30.083,89.074
6.016,29.718,88.976
6.014,30.002,88.902
6.015,29.432,88.883
6.014,30.139,88.959
6.015,29.252,89.007
6.013,29.130,88.980
6.014,29.922,88.961
6.012,30.128,88.969
6.012,29.485,88.999
6.013,30.178,88.985
6.013,29.420,88.986
6.013,30.309,88.993
6.011,30.024,89.009
6.014,30.137,89.040
6.014,29.300,89.088
6.014,29.674,89.126
6.014,29.358,89.113
6.016,30.147,89.081
6.014,30.159,89.056
6.015,29.370,88.993
6.014,30.269,88.985
6.015,29.871,88.942
6.015,29.548,88.919
6.014,30.158,88.932
6.014,29.328,88.953
6.015,30.131,88.950
6.013,29.833,88.929
6.013,30.141,88.922
6.013,29.857,88.919
6.014,30.056,88.905
6.013,29.727,88.912
6.013,29.751,88.916
6.015,29.966,88.956
6.013,29.902,88.976
6.014,30.355,88.913
6.014,29.727,88.958
6.014,30.304,89.003
6.015,30.115,89.057
6.014,29.546,89.076
6.014,30.084,89.023
6.015,29.478,89.019
6.015,29.930,88.866
6.015,30.561,88.924
6.015,29.817,88.897
6.014,30.413,88.874
6.014,30.462,88.869
6.015,30.020,88.966
6.013,29.532,88.982
6.014,29.401,88.961
6.015,30.183,88.972
6.014,30.167,88.925
6.013,29.604,88.910
6.013,29.443,88.939
6.014,30.160,88.972
6.014,29.892,88.959
6.014,30.119,88.962
6.014,30.416,88.976
6.014,29.509,88.952
6.014,29.570,88.977
6.015,29.924,89.018
6.015,29.626,89.050
6.014,29.536,89.068
6.014,30.359,89.059
6.013,30.256,89.045
6.014,30.053,89.011
6.014,29.434,88.974
6.014,30.306,88.934
6.014,29.465,88.923
6.012,30.205,88.933
6.013,30.221,88.976
6.013,29.897,88.958
6.013,30.066,88.972
6.013,30.125,88.958
6.012,29.750,88.939
6.011,29.848,88.957
6.012,29.591,88.992
6.013,30.190,88.977
6.012,30.107,88.968
6.014,30.262,88.621
6.014,29.357,88.630
6.014,30.109,88.669
6.014,30.121,88.682
6.016,29.440,88.737
6.015,29.766,88.738
6.015,29.487,88.711
6.017,29.787,88.641
6.017,29.516,88.591
6.016,30.173,88.632
6.016,30.088,88.947
6.014,30.024,88.980
6.016,29.593,88.964
6.016,29.792,88.967
6.016,29.444,88.988
6.016,29.359,88.967
6.016,29.976,88.943
6.013,29.651,88.949
6.014,29.961,88.964
6.014,29.885,88.966
6.014,29.815,88.967
6.013,29.754,88.967
6.014,29.686,89.014
6.016,30.075,89.026
6.015,29.597,89.049
6.016,30.206,89.103
6.016,29.232,89.100
6.016,30.167,89.105
6.016,30.036,89.050
6.015,29.333,88.950
6.015,29.302,88.959
6.016,30.319,88.952
6.015,29.724,88.929
6.015,30.046,88.930
6.015,29.847,88.955
6.015,29.840,88.957
6.014,29.886,89.030
6.013,29.200,89.003
6.011,29.031,89.033
6.012,29.960,89.038
6.013,29.645,89.024
6.013,29.690,89.032
6.014,29.428,89.034
6.013,29.396,89.006
6.014,29.292,89.025
6.015,29.773,89.065
6.015,29.510,89.082
6.015,29.980,89.105
6.014,29.747,89.108
6.016,29.397,89.105
6.015,29.700,89.030
6.016,29.662,89.056
6.017,29.278,89.035
6.015,29.684,89.025
6.015,30.047,89.022
6.015,29.087,89.043
6.015,29.135,89.017
6.013,29.744,89.004
6.014,29.906,89.040
6.015,29.686,89.055
6.015,30.221,89.020
6.015,29.840,89.011
6.016,29.422,88.946
6.014,29.358,88.956
6.015,29.937,89.030
6.016,29.097,89.037
6.015,29.928,89.095
6.015,29.485,89.176
6.017,29.458,89.203
6.017,29.273,89.173
6.017,30.228,89.157
6.016,30.097,89.165
6.016,29.586,89.052
6.014,29.285,89.013
6.016,29.465,89.034
6.014,29.766,88.978
6.014,29.647,88.982
6.015,29.692,88.989
6.015,29.331,88.978
6.014,29.684,89.054
6.015,30.100,89.005
6.015,29.393,88.995
6.015,29.495,88.955
6.014,29.024,88.957
6.015,29.497,88.961
6.015,29.891,89.004
6.015,29.638,88.924
6.013,29.790,88.992
6.012,29.723,89.045
6.014,29.860,89.030
6.012,29.797,89.013
6.013,29.986,89.035
6.015,29.462,89.027
6.013,29.463,89.075
6.014,29.246,89.076
6.013,30.064,89.063
6.014,29.705,89.126
6.012,29.084,89.023
6.014,30.386,88.969
6.011,30.255,88.946
6.014,30.202,88.944
6.014,29.672,88.947
6.013,30.368,88.920
6.014,30.480,89.158
6.014,30.394,89.236
6.014,30.282,89.251
6.014,30.486,89.215
6.014,30.366,89.225
6.014,30.054,89.224
6.012,29.650,89.185
4.247,24.899,89.589
2.451,13.575,86.229
2.452,13.596,85.606
2.451,13.565,85.477
2.451,13.570,85.513
2.452,13.604,85.569
2.453,13.641,85.580
2.453,13.611,85.528
2.452,13.601,85.440
2.452,13.579,85.446
2.451,13.523,85.440
2.451,13.450,85.452
2.452,13.436,85.423
6.010,30.046,88.872
6.009,29.862,88.939
6.010,29.112,88.916
6.010,29.907,88.904
6.009,29.257,88.933
6.009,29.704,88.929
6.009,29.385,88.946
6.009,29.394,88.945
6.009,29.126,88.922
2.756,14.648,85.998
2.756,14.652,85.490
2.757,14.611,85.404
2.756,14.630,85.413
2.757,14.745,85.415
2.757,14.756,85.446
2.758,14.864,85.466
2.757,14.896,85.459
2.757,14.890,85.442
2.758,14.939,85.437
2.757,14.896,85.403
2.757,14.810,85.435
2.756,14.856,85.477
6.010,29.593,89.263
6.008,29.890,88.910
6.009,29.655,88.927
6.008,29.677,89.003
6.008,29.913,89.020
6.007,29.544,89.041
6.008,29.802,89.029
6.008,29.365,89.008
6.008,29.179,88.983
6.008,29.847,89.031
6.010,29.737,89.123
6.011,29.710,89.180
6.012,29.958,89.201
6.012,29.954,89.140
6.013,29.838,89.120
6.013,29.820,89.026
6.011,29.740,89.052
6.011,30.047,89.110
6.013,29.578,89.104
6.012,30.330,89.085
6.012,29.919,89.095
6.012,29.878,89.117
6.011,29.298,89.089
6.010,29.932,89.086
6.012,29.992,89.097
6.010,29.697,89.057
6.010,29.621,89.063
6.009,29.819,89.053
6.009,29.833,89.063
6.010,29.841,89.075
6.011,29.270,89.078
2.726,14.908,84.726
2.726,14.853,84.068
2.726,14.866,83.869
2.727,14.925,83.816
2.727,14.974,83.819
2.726,14.990,83.802
2.726,14.968,83.831
3.309,17.416,85.024
3.309,17.036,85.598
3.308,17.223,85.985
3.307,17.263,86.096
3.307,17.287,86.117
3.308,17.283,86.132
6.009,29.013,88.990
6.008,29.796,89.178
6.009,29.725,89.290
6.010,29.853,89.324
6.012,29.838,89.314
6.010,29.836,89.293
6.010,29.151,89.324
6.011,29.851,89.271
6.010,28.912,89.166
3.282,16.295,86.205
3.282,16.379,85.639
3.283,16.306,85.523
3.282,16.318,85.554
3.282,16.300,85.549
3.282,16.288,85.506
3.281,16.286,85.496
3.281,16.447,85.461
3.280,17.120,85.311
3.280,17.149,84.836
2.759,14.970,83.755
2.758,14.979,84.083
2.759,15.018,84.335
6.012,28.846,88.826
6.012,29.458,89.174
6.012,29.470,89.273
6.013,29.238,89.253
6.011,29.080,89.157
6.010,29.110,89.117
6.011,28.754,89.089
6.012,29.297,89.118
6.013,29.117,89.164
6.012,28.928,89.254
6.015,28.748,89.304
6.016,28.985,89.282
6.016,29.359,89.284
6.015,29.265,89.227
6.014,28.689,89.136
6.012,29.108,88.744
6.012,28.462,88.261
6.015,29.588,87.719
6.015,28.985,87.755
6.016,29.468,87.696
6.014,29.386,87.670
6.014,28.941,87.665
6.014,29.471,87.607
6.012,29.353,87.573
6.011,28.713,87.702
6.012,29.206,87.647
6.010,29.110,87.609
6.010,29.366,87.687
6.012,29.399,87.705
6.011,29.392,87.660
6.010,28.658,87.684
6.014,28.925,87.760
6.014,28.963,87.789
6.014,29.660,87.753
6.015,29.422,87.813
6.016,29.505,87.804
6.016,28.956,87.761
6.016,29.627,87.736
6.016,29.189,87.721
6.015,29.485,87.707
6.015,29.506,87.705
6.016,29.055,87.697
6.015,29.263,87.711
6.015,28.991,87.722
6.013,29.587,87.583
6.014,29.233,87.697
6.014,29.473,87.693
6.015,29.401,87.672
6.013,28.807,87.668
6.014,29.373,87.681
6.013,28.874,87.688
6.013,28.734,87.680
6.013,29.253,87.714
3.039,17.906,87.625
2.456,14.133,85.276
2.455,14.140,84.899
2.455,14.120,84.878
2.455,14.181,84.881
2.455,14.159,84.809
2.454,14.156,84.792
2.454,14.120,84.775
2.454,14.125,84.811
2.452,14.059,84.720
2.453,14.064,84.693
2.452,13.981,84.626
2.453,14.051,84.724
6.012,29.036,87.867
6.012,28.892,87.809
6.014,28.839,87.867
6.013,29.203,87.931
6.013,28.615,87.880
6.012,28.883,87.706
6.012,28.343,87.566
6.011,29.576,87.609
6.012,28.744,87.699
2.728,15.047,88.530
2.453,13.586,85.416
2.453,13.569,84.864
2.452,13.470,84.628
2.453,13.535,84.562
2.452,13.533,84.547
2.452,13.539,84.520
2.452,13.634,84.554
2.453,13.584,84.672
2.453,13.553,84.655
2.452,13.550,84.673
2.452,13.519,84.679
2.452,13.526,84.739
6.013,28.553,88.030
6.012,28.266,87.909
6.013,28.294,87.896
6.011,28.295,87.905
6.011,28.459,87.905
6.011,28.138,87.876
6.012,28.076,87.878
6.011,28.513,87.915
6.012,28.059,87.900
3.219,15.995,85.149
2.454,14.876,82.888
2.454,14.866,83.503
2.454,14.756,84.287
2.453,14.746,84.444
2.453,14.767,84.496
2.453,14.763,84.532
2.453,14.716,84.542
2.453,14.719,84.546
2.453,14.703,84.559
2.454,14.746,84.571
2.452,14.744,84.596
2.452,14.729,84.608
6.011,29.574,88.856
6.013,29.067,88.881
6.012,29.714,88.900
6.012,29.645,88.945
6.012,29.616,89.036
6.012,29.706,89.058
6.013,29.595,89.103
6.012,29.585,89.061
6.013,29.157,89.048
2.454,14.140,85.446
2.454,14.725,84.831
2.454,14.742,84.688
2.454,14.749,84.635
2.452,14.714,84.603
2.453,14.826,84.566
2.453,14.815,84.552
2.453,14.941,84.483
2.453,14.947,84.489
2.452,14.950,84.518
2.452,14.950,84.563
2.453,14.965,84.584
2.452,14.862,84.578
6.012,29.458,88.890
6.013,29.840,89.008
6.013,29.958,88.978
6.011,29.945,88.934
6.011,29.803,88.954
6.011,29.892,88.995
6.011,29.909,89.012
6.012,29.595,89.057
6.011,29.871,89.007
2.453,14.148,85.303
2.453,14.190,84.007
2.454,14.205,83.512
2.454,14.232,83.384
2.454,14.219,83.374
2.454,14.217,83.346
2.454,14.302,83.642
2.453,14.411,84.484
2.454,14.373,84.648
2.454,14.347,84.635
2.453,14.356,84.824
2.453,14.355,84.950
2.453,14.341,84.978
6.012,29.507,87.620
6.013,29.496,87.686
6.014,29.362,87.664
6.012,29.454,87.702
6.012,29.401,87.695
6.011,29.358,87.740
6.012,29.678,87.692
6.013,29.431,87.666
6.011,29.356,87.675
6.013,29.371,87.845
6.013,29.128,87.857
6.014,29.373,87.886
6.014,28.808,87.914
6.014,29.428,87.885
6.015,29.253,87.860
6.015,29.325,87.842
6.016,29.400,87.785
6.014,29.284,87.823
6.016,29.140,87.839
6.016,29.128,87.799
6.016,29.293,87.843
6.016,29.258,87.833
6.015,29.266,87.851
6.015,29.403,87.836
6.015,29.318,87.839
6.014,29.176,87.832
6.014,29.158,87.813
6.014,29.310,87.791
6.014,29.050,87.803
6.014,29.324,87.856
6.013,29.275,87.887
6.014,29.296,87.929
6.013,29.332,87.934
6.014,28.663,87.929
6.014,29.205,87.906
6.016,29.254,87.793
6.014,28.961,87.719
6.014,29.308,87.755
6.015,29.236,87.848
6.014,29.191,87.847
6.015,29.380,87.784
6.014,29.355,87.782
6.014,28.771,87.813
6.014,28.914,87.826
6.014,29.158,87.857
6.012,29.320,87.849
6.014,29.184,87.845
6.013,29.215,87.814
6.014,29.122,87.801
6.012,28.805,87.808
6.014,29.359,87.816
6.012,29.373,87.826
6.012,29.400,87.787
2.761,16.997,85.264
2.760,14.975,84.803
2.761,15.119,84.725
2.761,15.007,84.661
2.759,14.974,84.571
2.758,15.008,84.563
2.758,15.044,84.640
2.759,15.100,84.716
2.758,15.028,84.764
2.759,15.158,84.772
2.759,15.207,84.774
2.758,15.164,84.852
2.759,15.059,84.900
6.012,29.122,87.947
6.014,28.586,88.122
6.012,28.648,88.135
6.011,28.755,88.175
6.011,28.711,88.236
6.011,28.745,88.270
6.013,28.576,88.284
6.010,28.486,88.247
6.011,28.835,88.249
2.759,15.360,84.462
2.759,15.358,84.600
2.759,15.220,84.615
2.759,15.290,84.679
2.760,15.341,84.723
2.759,15.291,84.698
2.759,15.352,84.728
2.760,15.365,84.762
2.760,15.354,84.762
2.760,15.348,84.751
2.759,15.317,84.747
2.759,15.259,84.735
2.759,15.216,84.709
6.011,28.493,87.932
6.009,28.338,87.837
6.009,28.121,87.897
6.010,28.580,87.943
6.011,28.648,88.048
6.011,28.733,87.999
6.011,28.424,87.913
6.010,28.593,87.954
6.010,28.635,87.971
2.759,14.607,86.971
2.759,14.458,85.253
2.759,14.443,84.852
2.759,14.447,84.772
2.759,14.460,84.782
2.759,14.456,84.714
2.759,14.453,84.684
2.759,14.449,84.708
2.759,14.453,84.754
2.759,14.456,84.808
2.758,14.449,84.812
2.758,14.455,84.845
2.758,14.446,84.835
6.011,28.836,87.849
6.009,29.203,87.853
6.010,29.385,87.889
6.009,29.082,87.896
6.009,29.082,87.879
6.011,29.338,87.790
6.011,29.306,87.767
6.013,29.197,87.785
6.012,29.233,87.768
2.758,15.726,87.353
2.758,15.395,84.885
2.758,15.436,84.660
2.758,15.438,84.604
2.758,15.489,84.586
2.759,15.515,84.592
2.759,15.519,84.588
2.758,15.767,84.797
2.758,15.528,84.682
2.758,15.488,84.597
2.758,15.456,84.618
2.758,15.373,84.552
2.758,15.415,84.558
6.012,29.913,88.873
6.011,29.547,88.974
6.013,29.990,89.100
6.012,29.145,89.159
6.013,29.881,89.205
6.012,29.768,89.196
6.012,29.842,89.113
6.012,29.193,89.028
6.013,29.922,89.016
2.759,14.777,86.084
2.759,14.826,84.896
2.759,14.816,84.663
2.758,14.827,84.566
2.758,14.855,84.578
2.758,14.691,84.429
2.757,14.789,84.550
2.757,14.812,84.581
2.758,14.833,84.594
2.757,14.841,84.611
2.758,14.859,84.665
2.757,14.876,84.681
2.758,14.898,84.754
6.010,29.703,89.171
6.011,29.742,89.067
6.011,29.478,89.024
6.012,29.626,89.088
6.012,29.326,89.091
6.011,29.132,89.134
6.011,29.532,89.088
6.011,29.581,89.047
6.012,29.151,88.148
6.011,29.599,87.721
6.012,29.126,87.745
6.011,28.904,87.775
6.012,28.855,87.758
6.010,29.493,87.772
6.010,29.152,87.749
6.011,29.593,87.704
6.012,29.009,87.722
6.011,29.584,87.734
6.011,28.937,87.722
6.010,29.521,87.708
6.010,29.187,87.702
6.011,29.222,87.683
6.012,29.438,88.094
6.009,29.384,88.717
6.010,29.584,88.769
6.011,29.631,88.780
6.010,29.543,88.752
6.013,29.564,88.776
6.010,29.691,88.773
6.011,29.693,88.768
6.011,29.392,87.932
6.013,29.625,87.733
6.012,29.427,87.978
6.012,29.066,88.070
6.012,29.373,88.067
6.012,29.129,88.078
6.011,29.512,87.992
6.011,29.284,87.987
6.011,29.295,88.013
6.011,29.332,88.040
6.012,29.097,87.995
6.010,28.840,88.003
6.010,29.529,88.025
6.012,29.506,88.024
6.011,29.516,88.612
6.011,29.584,88.803
6.012,29.460,88.814
6.011,29.287,88.830
6.011,29.243,88.837
6.011,29.669,88.849
6.011,29.573,88.767
6.011,29.586,88.769
6.011,29.626,88.770
6.012,29.103,88.591
6.008,29.264,88.183
6.013,29.102,88.173
6.014,29.386,88.176
6.013,29.194,88.170
6.014,29.375,88.236
6.015,29.404,88.216
6.013,29.394,88.167
6.014,29.477,88.140
6.013,29.522,88.170
6.015,29.373,88.173
6.014,29.281,88.186
6.014,29.223,88.187
6.013,28.086,88.389
6.013,28.395,88.597
6.013,28.323,88.656
6.012,28.397,88.693
6.012,28.101,88.736
6.011,28.388,88.678
6.012,28.341,88.692
6.011,28.156,88.683
6.013,27.989,88.706
6.013,28.179,88.719
6.015,28.515,88.750
6.015,28.513,88.748
6.014,28.523,88.717
6.014,28.493,88.690
6.014,27.904,88.665
6.015,28.185,88.641
6.015,28.416,88.662
6.015,28.516,88.729
6.014,28.054,88.708
6.013,28.167,88.416
6.013,28.100,88.339
6.011,28.115,88.317
6.012,28.528,88.488
6.010,28.468,88.664
6.012,28.203,88.706
6.011,28.402,88.659
6.012,28.600,88.654
6.012,28.614,88.645
6.012,28.595,88.649
6.012,28.120,88.700
6.012,28.650,88.700
6.013,28.270,89.005
6.014,28.707,88.472
6.014,28.677,88.320
6.015,28.455,88.319
6.015,28.650,88.307
6.015,28.349,88.297
6.015,28.671,88.275
6.015,28.704,88.359
6.014,28.786,88.224
6.016,28.604,88.246
6.015,28.652,88.272
6.015,28.461,88.255
6.015,28.583,88.210
6.014,28.562,88.462
6.014,28.743,88.630
6.012,28.665,88.726
6.012,28.666,88.728
6.012,28.585,88.715
6.012,29.033,88.676
6.012,28.789,88.671
6.010,28.450,88.547
6.011,28.609,88.824
6.012,29.433,88.673
6.015,29.514,88.154
6.014,29.501,87.995
6.014,29.460,88.124
6.013,29.415,88.665
6.014,29.635,88.670
6.014,29.948,88.628
6.013,30.195,88.614
6.015,29.953,88.560
6.014,30.212,88.621
6.014,30.106,88.604
6.013,29.896,88.638
6.014,29.966,88.606
6.011,31.006,88.126
6.012,29.030,88.542
6.012,29.237,88.564
6.012,29.244,88.545
6.013,29.288,88.521
6.012,29.237,88.477
6.012,29.048,88.516
6.012,29.466,88.522
6.012,29.016,88.535
6.014,28.305,89.250
6.014,27.923,88.783
6.014,28.045,88.654
6.015,28.619,88.726
6.015,28.579,88.775
6.015,28.041,88.676
6.016,27.898,88.688
6.015,29.400,88.524
6.015,29.336,88.554
6.015,29.100,88.564
6.013,29.316,88.517
6.014,29.322,88.536
6.013,29.395,88.531
6.013,29.470,88.990
6.013,29.550,89.166
6.012,29.444,89.140
6.013,29.039,89.146
6.013,29.190,89.193
6.012,29.352,89.222
6.011,29.373,89.235
6.012,29.128,89.266
6.012,29.037,89.236
6.012,29.320,89.221
6.013,29.276,89.232
6.012,28.651,89.292
6.014,29.237,89.292
6.014,29.292,89.275
6.016,28.677,89.304
6.014,29.333,89.242
6.014,28.882,89.221
6.014,29.338,89.227
6.013,29.342,89.199
6.015,29.156,89.184
6.014,28.576,89.210
6.016,28.634,89.233
6.012,29.395,89.232
6.013,29.094,89.203
6.014,28.587,89.235
6.012,29.359,89.222
6.012,28.886,89.238
6.012,29.287,89.246
6.012,28.667,89.230
6.012,28.706,89.247
6.014,29.265,89.083
6.012,29.301,88.938
6.011,29.380,88.972
6.016,28.918,88.980
4.264,20.727,87.817
4.263,20.293,85.943
4.262,20.481,85.811
4.263,21.331,85.763
6.014,29.175,89.223
6.013,29.724,89.110
6.013,29.665,89.090
6.014,29.207,89.073
6.015,29.868,89.077
6.014,29.787,89.081
6.013,29.884,89.057
6.013,29.759,89.058
6.013,29.831,89.031
6.013,29.859,89.060
6.013,29.794,89.021
6.011,29.795,89.017
6.012,29.449,89.036
6.012,29.849,89.075
6.012,29.704,89.131
6.013,29.173,88.839
6.012,29.391,88.560
6.013,29.193,88.561
6.014,29.245,88.530
6.015,29.246,88.556
6.014,29.353,88.482
6.015,29.414,88.509
6.014,29.311,88.578
6.015,29.181,88.537
6.014,29.141,88.484
6.013,29.271,88.475
6.014,29.284,88.502
6.013,29.123,88.526
6.014,28.661,88.971
6.013,28.879,89.186
6.013,28.942,89.197
6.011,28.575,89.187
6.013,28.747,89.208
6.012,28.919,89.213
6.015,28.948,89.206
6.013,28.230,89.223
6.012,28.835,89.216
2.760,15.743,86.922
2.759,15.759,86.520
2.759,15.752,86.486
2.760,15.770,86.486
2.760,15.761,86.438
2.760,15.760,86.386
2.759,15.808,86.373
2.759,15.850,86.584
2.759,15.794,86.486
2.758,15.723,86.458
2.758,15.770,86.476
2.759,15.753,86.530
2.759,15.737,86.524
6.043,28.861,88.589
6.013,28.924,88.676
6.012,29.393,88.696
6.012,28.851,88.693
6.012,29.200,88.649
6.012,29.112,88.638
6.012,29.523,88.644
6.015,29.369,88.689
6.014,28.738,88.654
2.760,14.824,85.851
2.760,15.011,85.737
2.760,14.802,85.734
2.761,14.746,85.769
2.761,14.797,85.792
2.761,14.829,85.787
2.760,14.826,85.737
2.760,14.813,85.707
2.759,14.859,85.662
2.758,14.734,85.682
2.758,14.725,85.686
2.758,14.714,85.700
2.758,14.714,85.707
6.043,29.163,88.394
6.010,29.105,88.620
6.012,29.057,88.693
6.011,29.287,88.703
6.013,29.169,88.719
6.012,29.019,88.737
6.014,29.083,88.711
6.013,29.061,88.665
6.014,29.081,88.692
2.760,14.950,88.306
2.759,15.017,86.470
2.760,15.006,86.157
2.760,15.010,86.094
2.760,15.013,86.093
2.760,14.995,86.098
2.759,15.005,86.103
2.760,14.993,86.055
2.760,14.951,86.029
2.760,14.930,86.064
2.759,14.921,86.092
2.758,14.887,86.093
2.759,14.900,86.077
6.012,29.555,88.649
6.013,29.521,88.606
6.012,29.404,88.628
6.013,29.304,88.621
6.012,29.390,88.614
6.013,28.959,88.595
6.012,28.672,88.589
6.013,29.463,88.612
6.013,29.043,88.579
6.013,29.505,88.600
6.013,29.458,88.614
6.014,28.891,88.644
6.014,29.507,88.666
6.015,29.165,88.705
6.014,29.447,88.690
6.016,29.561,88.710
6.015,29.600,88.631
6.016,29.459,88.651
6.015,29.293,88.633
6.016,29.241,88.614
6.013,29.546,88.624
6.014,29.707,88.576
6.014,29.137,88.650
6.013,29.540,88.639
6.015,29.434,88.634
6.013,29.360,88.608
6.014,28.836,88.638
6.013,28.981,88.640
6.012,29.591,88.635
6.014,29.429,88.651
6.014,29.394,88.683
6.014,29.602,88.682
6.013,29.729,88.710
6.014,29.359,88.703
6.014,29.266,88.736
6.014,29.590,88.732
6.013,29.573,88.731
6.014,29.298,88.732
6.013,29.281,88.727
6.014,28.966,88.716
6.015,29.475,88.699
6.015,29.472,88.681
6.015,29.537,88.656
6.015,28.985,88.685
6.012,29.486,88.748
6.013,28.676,88.674
6.013,29.243,88.581
6.012,29.182,88.588
6.011,29.555,88.581
6.014,29.565,88.596
6.012,29.519,88.573
6.012,29.500,88.592
6.012,29.473,88.589
6.012,29.289,88.725
6.014,29.491,88.751
6.014,29.645,88.740
6.013,28.796,88.717
6.013,29.584,88.758
6.013,29.598,88.704
6.014,29.119,88.692
6.015,28.959,88.664
6.014,29.044,88.660
6.012,29.591,88.640
6.014,29.553,88.663
6.014,28.950,88.671
6.013,28.736,88.647
6.012,29.369,88.701
6.014,29.455,88.719
6.013,28.621,88.724
6.014,29.476,88.702
6.013,29.247,88.708
6.014,29.526,88.694
6.012,29.496,88.686
6.013,29.504,88.721
6.011,28.972,88.644
3.678,20.037,85.505
3.676,20.031,85.018
3.065,15.490,84.495
3.064,15.490,84.479
3.064,15.485,84.434
3.065,15.550,84.702
3.065,15.605,85.100
3.066,15.691,85.325
3.065,15.632,85.223
3.066,15.600,85.205
3.065,15.593,85.177
3.064,15.595,85.176
6.010,29.370,88.559
6.009,29.515,89.282
6.010,29.566,89.409
6.010,29.576,89.405
6.009,29.624,89.432
6.009,29.631,89.377
6.010,29.675,89.377
6.011,29.459,89.395
6.010,29.355,89.421
6.010,29.451,89.410
3.064,15.361,86.407
3.064,15.373,84.853
3.064,15.366,84.577
3.064,15.363,84.481
3.064,15.347,84.464
3.064,15.400,84.918
3.065,15.420,85.196
3.064,15.470,85.247
3.065,15.476,85.266
3.064,15.448,85.233
3.062,15.427,85.255
3.063,15.419,85.311
3.063,15.437,85.353
6.011,29.516,89.349
6.010,29.535,89.536
6.010,29.453,89.546
6.010,29.133,89.556
6.011,29.442,89.579
6.011,29.435,89.551
6.010,29.463,89.600
6.012,29.422,89.512
6.011,29.389,89.486
3.063,15.139,86.044
3.064,15.132,85.497
3.064,15.135,85.329
3.064,15.149,85.261
3.063,15.135,85.275
3.064,15.213,85.308
3.064,15.235,85.296
3.064,15.236,85.314
3.065,15.241,85.274
3.064,15.238,85.285
3.065,15.234,85.290
3.063,15.240,85.334
3.063,15.239,85.360
6.011,29.409,88.578
6.011,28.893,88.754
6.013,29.468,88.847
6.012,28.813,88.913
6.013,29.340,88.888
6.012,29.382,88.859
6.012,29.319,88.894
6.012,29.370,88.883
6.014,29.367,88.863
2.455,13.737,84.260
2.453,13.924,85.499
2.454,13.908,85.707
2.453,13.912,85.735
2.454,13.942,85.746
2.455,13.942,85.770
2.454,13.961,85.814
2.454,14.016,85.891
2.455,14.021,85.867
2.452,14.010,85.819
2.452,14.020,85.795
2.452,14.022,85.876
2.452,14.024,85.959
6.011,28.792,88.842
6.011,28.326,88.903
6.012,28.320,88.888
6.013,28.244,88.910
6.012,28.301,88.934
6.012,28.882,88.910
6.013,28.200,88.909
6.011,28.155,88.905
6.012,28.585,88.933
2.454,14.631,87.776
2.454,14.441,85.657
2.453,14.414,85.144
2.453,14.349,84.516
2.453,14.351,84.207
2.453,14.361,84.154
2.453,14.349,84.147
2.453,14.356,84.141
2.454,14.351,84.185
2.453,14.336,84.181
2.453,14.300,84.169
2.452,14.282,84.174
2.453,14.272,84.225
6.011,29.207,88.764
6.013,28.921,88.857
6.011,28.580,88.917
6.011,29.056,88.959
6.012,28.982,88.950
6.014,29.035,88.892
6.012,28.447,88.917
6.012,28.756,88.889
6.015,28.667,88.868
6.014,28.896,88.883
6.013,29.042,88.933
6.014,29.089,88.932
6.014,28.965,88.873
6.013,28.976,88.823
6.015,29.098,88.833
6.013,28.974,88.829
6.014,28.919,88.836
6.014,29.126,88.798
6.014,29.000,88.829
6.015,29.034,88.853
6.015,28.559,88.868
6.015,28.939,88.892
6.014,28.961,88.882
6.014,28.960,88.891
6.014,28.979,88.902
6.014,28.998,88.866
6.013,28.975,88.830
6.014,28.918,88.814
6.012,28.921,88.849
6.014,28.982,88.850
6.013,29.019,88.863
6.014,29.028,88.909
6.014,29.015,88.940
6.014,28.930,88.931
6.015,29.017,88.938
6.015,28.488,88.967
6.015,28.988,88.959
6.015,28.940,88.922
6.016,28.885,88.949
6.016,28.781,88.959
6.016,28.889,88.949
6.015,28.939,88.989
6.014,28.842,88.980
6.015,28.927,88.982
6.013,28.374,88.957
6.013,28.844,88.977
6.014,28.838,88.957
6.015,28.736,88.935
6.014,28.585,88.936
6.015,28.597,88.621
6.013,28.570,88.635
6.010,28.688,88.885
6.011,28.761,89.111
2.455,14.903,86.298
2.453,14.892,84.664
2.453,14.889,84.287
2.454,14.924,84.210
2.454,14.886,84.151
2.454,14.913,84.112
2.454,14.894,84.122
2.454,14.919,84.095
2.454,14.910,84.108
2.453,14.880,84.113
2.454,14.876,84.114
2.454,14.869,84.169
2.454,14.874,84.232
6.014,29.258,88.856
6.012,29.156,88.829
6.013,29.519,88.844
6.014,28.979,88.893
6.013,29.366,88.910
6.013,29.086,88.891
6.014,29.492,88.944
6.015,29.246,88.859
6.015,28.911,88.873
2.454,14.680,85.045
2.454,14.518,84.186
2.454,14.536,84.181
2.454,14.551,84.197
2.455,14.551,84.176
2.454,14.545,84.154
2.454,14.554,84.189
2.454,14.561,84.203
2.454,14.542,84.196
2.454,14.553,84.179
2.453,14.543,84.198
2.454,15.010,84.169
2.455,15.045,84.171
6.012,29.469,89.019
6.012,29.695,88.748
6.012,29.588,88.773
