CD,FI3312A,TI3302A
6.011,29.550,88.727
6.012,29.689,88.703
6.015,29.792,88.727
6.013,29.020,88.726
6.011,29.716,88.728
6.013,29.441,88.734
6.012,29.691,88.736
6.013,29.687,88.775
6.013,29.685,88.786
6.014,29.417,88.842
6.014,29.636,88.841
6.015,29.220,88.829
6.015,29.702,88.779
6.013,29.838,88.708
6.014,29.437,88.672
6.013,29.711,88.660
6.013,29.716,88.714
6.011,29.872,88.737
6.010,29.534,88.688
6.012,29.662,88.717
6.012,29.779,88.700
6.011,29.797,88.737
6.012,29.658,88.704
6.013,29.796,88.731
6.014,29.657,88.710
6.013,28.938,88.722
6.013,29.738,88.717
6.013,29.799,88.758
6.014,29.755,88.764
6.013,29.377,88.814
5.982,29.848,88.765
6.013,29.983,88.838
6.013,29.619,88.853
6.014,29.812,88.847
6.012,29.805,88.829
6.014,29.460,88.794
6.013,29.581,88.786
6.013,29.093,88.699
6.012,29.074,88.662
6.013,29.739,88.693
6.012,29.652,88.759
6.012,29.318,88.709
6.014,29.391,88.720
6.011,29.652,88.739
6.011,29.854,88.781
6.011,29.724,88.756
6.011,29.670,88.744
6.011,29.902,88.727
6.010,29.674,88.748
6.010,29.809,88.751
6.013,29.853,88.731
6.014,29.491,88.718
6.014,29.191,88.750
6.013,29.838,88.775
6.013,29.721,88.793
6.014,29.699,88.839
6.015,29.632,88.828
6.015,29.731,88.735
6.014,29.660,88.692
6.014,29.831,88.567
6.014,29.720,88.581
6.012,29.850,88.633
6.014,29.896,88.714
6.013,29.310,88.706
6.013,29.722,88.631
6.012,29.623,88.645
6.013,29.874,88.681
6.012,29.696,88.619
6.011,29.819,88.635
6.011,29.421,88.627
6.014,28.992,88.626
6.013,29.603,88.626
6.011,29.857,88.671
6.012,29.677,88.732
6.013,29.820,88.783
6.014,29.793,88.762
6.014,29.100,88.752
6.014,29.802,88.739
6.014,29.717,88.765
6.013,29.163,88.737
6.015,29.245,88.768
6.014,29.497,88.710
6.014,29.715,88.705
6.013,29.701,88.694
6.012,29.571,88.719
6.013,29.419,88.738
6.013,29.356,88.792
6.014,29.452,88.794
6.012,29.591,88.775
6.013,29.549,88.796
6.010,29.619,88.762
6.012,28.791,88.750
6.012,28.755,88.733
6.011,29.130,88.746
6.011,29.317,88.776
6.013,29.526,88.794
6.012,29.570,88.815
6.013,29.336,88.806
6.012,29.337,88.880
6.014,28.833,88.900
6.014,29.452,88.845
6.013,29.428,88.833
6.013,28.829,88.833
6.013,29.487,88.751
6.013,29.581,88.754
6.013,28.759,88.761
6.012,29.202,88.787
6.013,29.785,88.784
6.012,29.126,88.814
6.012,29.557,88.786
6.012,28.791,88.777
6.010,29.557,88.758
6.012,29.210,88.758
6.010,28.844,88.751
6.010,29.370,88.764
6.010,29.650,88.759
6.010,28.880,88.791
6.011,29.533,88.774
6.011,29.681,88.806
6.012,29.297,88.807
6.011,29.524,88.733
6.010,29.537,88.625
6.009,29.551,88.591
6.009,29.432,88.638
6.009,29.474,88.728
6.009,29.807,88.727
6.010,29.388,88.755
6.011,29.645,88.757
6.010,29.413,88.803
6.009,28.950,88.765
6.010,29.465,88.721
6.009,29.523,88.745
6.009,29.504,88.739
6.010,29.493,88.755
6.012,29.334,88.783
6.011,29.350,88.766
6.012,29.502,88.776
6.011,28.884,88.790
6.009,29.607,88.804
6.010,29.567,88.820
6.012,29.121,88.854
6.013,29.570,88.849
6.014,29.756,88.872
6.015,29.204,88.882
6.014,29.448,88.865
6.014,29.793,88.843
6.014,29.051,88.803
6.013,29.548,88.774
6.013,28.800,88.767
6.013,29.766,88.736
6.013,29.565,88.780
6.015,29.637,88.789
6.014,29.347,88.784
6.013,29.463,88.800
6.011,29.521,88.794
6.012,29.565,88.774
6.011,29.616,88.778
6.013,29.228,88.772
6.011,29.665,88.752
6.011,29.651,88.750
6.009,29.745,88.642
6.012,29.652,88.801
6.013,29.478,88.804
6.011,29.697,88.803
6.016,29.642,88.862
6.015,29.706,88.851
6.015,28.958,88.853
6.014,29.492,88.756
6.014,29.706,88.819
6.014,29.560,88.801
6.012,29.648,88.814
6.013,29.724,88.794
6.013,29.430,88.768
6.014,29.530,88.810
6.013,29.511,88.864
6.012,29.840,88.814
6.013,29.507,88.814
6.012,29.550,88.807
6.011,29.323,88.558
6.009,29.451,88.412
6.010,29.880,88.645
6.010,29.620,88.686
6.010,28.909,88.752
6.012,28.940,88.814
6.011,29.025,88.827
6.012,29.726,88.722
6.012,29.892,88.743
6.013,29.876,88.793
6.013,29.947,88.795
6.014,29.890,88.789
6.013,29.982,88.798
6.012,29.031,88.776
6.012,29.894,88.770
6.012,29.991,88.722
6.013,29.840,88.724
6.012,30.008,88.747
6.012,29.813,88.815
6.012,29.829,88.800
6.013,29.880,88.774
6.012,29.345,88.753
6.012,29.858,88.773
6.011,29.747,88.751
6.013,29.889,88.763
6.013,29.387,88.755
6.012,29.690,88.784
6.014,29.549,88.792
6.013,29.694,88.866
6.013,29.943,88.846
6.013,29.750,88.837
6.014,29.836,88.851
6.014,29.810,88.826
6.014,29.913,88.795
6.013,29.746,88.769
6.013,29.712,88.756
6.013,29.829,88.813
6.012,29.958,88.843
6.013,29.769,88.819
