DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
128.875,3.064,15.455,30.565,84.700,83.189
128.958,5.491,27.522,31.270,87.941,86.264
129.000,5.490,27.593,31.291,88.143,86.421
129.042,5.491,26.992,31.129,88.123,86.357
129.083,5.491,27.360,31.157,88.242,86.530
129.125,5.490,27.192,31.217,88.233,86.533
129.167,5.490,27.597,31.234,88.157,86.495
129.208,5.490,27.509,30.930,88.189,86.452
129.250,5.491,27.511,31.160,88.156,86.422
129.292,5.490,27.571,31.250,88.116,86.395
129.375,2.759,15.040,30.655,86.852,85.387
129.417,2.759,14.968,30.621,85.564,84.195
129.458,2.759,14.967,30.825,85.389,84.006
129.500,2.760,14.960,30.610,85.338,83.968
129.542,2.759,14.863,30.625,85.303,83.932
129.583,2.759,14.931,30.635,85.305,83.975
129.625,2.760,14.929,30.680,85.343,83.979
129.667,2.759,14.970,30.675,85.264,83.904
129.708,2.759,14.939,30.550,85.276,83.834
129.750,2.759,14.991,30.699,85.397,83.970
129.792,2.759,14.984,30.687,85.401,83.960
129.833,2.758,14.942,30.579,85.426,83.931
129.875,2.758,14.965,30.616,85.460,83.975
129.958,5.490,27.674,31.363,88.799,87.116
130.000,5.489,27.601,31.177,88.812,87.080
130.042,5.490,27.583,31.172,88.820,87.137
130.083,5.490,27.566,31.276,88.825,87.065
130.125,5.490,27.741,31.061,88.900,87.107
130.167,5.489,27.616,31.046,88.884,87.151
130.208,5.489,27.697,31.219,88.887,87.161
130.250,5.490,27.572,31.067,88.838,87.017
130.292,5.491,27.736,31.252,88.865,87.116
130.375,3.065,15.960,30.574,85.435,83.984
130.417,3.066,15.925,30.889,84.817,83.319
130.458,3.065,15.938,30.798,84.694,83.286
130.500,3.064,15.938,30.725,84.624,83.256
130.542,3.065,15.943,30.531,84.653,83.266
130.583,3.064,15.962,30.680,84.707,83.358
130.625,3.064,15.942,30.723,84.710,83.231
130.667,3.064,15.996,30.750,84.730,83.238
130.708,3.064,15.946,30.843,84.704,83.174
130.750,3.062,15.683,30.726,84.610,83.106
130.792,3.062,15.676,30.732,84.696,83.248
130.833,3.061,15.890,30.421,84.740,83.217
130.875,3.062,15.863,30.658,84.710,83.134
130.958,5.489,26.726,31.363,88.866,87.144
131.000,5.490,26.659,31.221,89.012,87.302
131.042,5.489,26.645,31.443,89.033,87.242
131.083,5.488,26.898,31.506,89.088,87.349
131.125,5.488,26.857,31.365,89.163,87.406
131.167,5.487,26.757,31.404,89.197,87.423
131.208,5.488,26.888,31.440,89.077,87.344
131.250,5.488,26.876,31.265,88.967,87.206
131.292,5.490,26.675,31.582,88.953,87.241
131.375,5.491,26.973,31.287,88.981,87.318
131.417,5.490,26.837,31.244,88.948,87.285
131.458,5.490,26.885,31.417,88.950,87.307
131.500,5.489,26.881,31.283,88.916,87.226
131.542,5.489,26.902,31.405,88.910,87.261
131.583,5.489,27.080,31.283,88.909,87.200
131.625,5.490,27.029,31.158,88.842,87.225
131.667,5.487,26.496,31.142,88.612,86.892
131.708,5.488,26.897,31.160,88.662,86.954
131.750,5.486,26.957,31.260,88.734,87.055
131.792,5.486,27.008,31.043,88.814,87.187
131.833,5.487,26.760,30.967,88.945,87.175
131.875,5.487,26.976,31.306,88.899,87.164
131.958,5.488,26.964,31.222,88.901,87.147
132.000,5.487,26.892,30.988,88.911,87.149
132.042,5.487,27.007,31.314,88.886,87.168
132.083,5.488,26.386,31.277,88.936,87.191
132.125,5.487,26.920,31.141,88.948,87.208
132.167,5.487,26.949,31.088,88.956,87.151
132.208,5.488,26.947,31.266,88.932,87.186
132.250,5.486,26.899,31.184,88.936,87.213
132.292,5.487,27.026,31.076,88.895,87.214
132.375,5.487,26.881,31.161,88.943,87.215
132.417,5.487,26.864,30.776,88.933,87.308
132.458,5.489,26.895,31.073,88.958,87.343
132.500,5.488,26.603,31.140,88.969,87.260
132.542,5.489,26.848,31.174,88.944,87.339
132.583,5.488,26.924,31.154,88.910,87.285
132.625,5.490,26.938,31.408,88.847,87.251
132.667,5.489,26.904,31.156,88.844,87.232
132.708,5.491,26.811,31.318,88.902,87.213
132.750,5.491,26.855,31.245,88.900,87.243
132.792,5.489,26.885,31.142,88.923,87.243
132.833,5.490,26.921,31.113,88.927,87.213
132.875,5.492,26.896,31.079,88.963,87.318
132.958,5.489,26.641,31.073,88.943,87.272
133.000,5.490,26.926,31.147,88.936,87.282
133.042,5.490,26.488,31.106,88.930,87.252
133.083,5.490,26.919,31.147,88.926,87.222
133.125,5.488,26.232,31.232,88.904,87.237
133.167,5.489,26.888,31.328,88.917,87.238
133.208,5.491,26.906,31.057,88.890,87.242
133.250,5.489,26.559,31.167,88.894,87.242
133.292,5.489,26.825,31.248,88.874,87.230
133.375,3.065,15.470,30.676,86.048,84.682
133.417,3.062,15.458,30.747,85.574,84.128
133.458,3.064,15.538,30.505,85.501,84.106
133.500,3.064,15.539,30.892,85.514,84.037
133.542,3.065,15.522,30.611,85.498,84.142
133.583,3.065,15.516,30.878,85.518,84.149
133.625,3.064,15.480,30.789,85.503,84.059
133.667,3.064,15.496,30.610,85.486,84.042
133.708,3.063,15.001,30.460,85.477,83.933
133.750,3.062,15.278,30.729,85.499,84.015
133.792,3.062,15.366,30.676,85.512,83.984
133.833,3.062,15.297,30.748,85.619,84.080
133.875,3.062,15.553,30.573,86.292,84.668
133.958,6.009,30.084,31.220,90.104,88.354
134.000,6.010,29.824,31.466,89.971,88.227
134.042,6.013,29.978,31.168,89.994,88.204
134.083,6.012,30.166,31.124,89.846,88.106
134.125,6.011,30.088,31.236,89.793,88.130
134.167,6.009,29.960,31.131,89.827,88.053
134.208,6.010,29.914,31.407,89.819,88.021
134.250,6.011,30.167,31.063,89.774,88.024
134.292,6.012,30.038,31.249,89.808,88.016
134.375,3.062,15.219,30.656,86.208,84.707
134.417,3.063,15.136,30.662,85.575,84.149
134.458,3.063,14.975,30.627,85.457,84.018
134.500,3.065,15.249,30.803,85.491,84.140
134.542,3.065,15.244,30.551,85.567,84.115
134.583,3.064,15.246,30.772,85.537,84.120
134.625,3.065,15.215,30.576,85.503,84.086
134.667,3.065,15.271,30.553,85.725,84.340
134.708,3.064,15.207,30.856,85.610,84.204
134.750,3.065,15.207,30.614,85.593,84.154
134.792,3.064,15.102,30.534,85.743,84.079
134.833,3.063,15.062,30.491,86.022,84.412
134.875,3.063,15.032,30.542,86.123,84.431
134.958,6.009,29.997,31.181,90.289,88.498
135.000,6.009,29.896,31.407,89.801,88.023
135.042,6.009,29.947,31.340,89.756,88.018
135.083,6.009,29.734,31.066,89.767,87.987
135.125,6.008,29.813,31.320,89.845,88.028
135.167,6.010,29.935,31.372,89.920,88.086
135.208,6.010,29.866,31.195,89.948,88.119
135.250,6.009,29.805,31.110,89.940,88.062
135.292,6.009,29.679,31.177,89.914,88.093
135.375,6.011,29.374,30.951,89.856,88.022
135.417,6.010,29.657,31.214,89.772,88.113
135.458,6.011,29.788,31.380,89.843,88.158
135.500,6.013,29.548,31.291,89.852,88.200
135.542,6.013,29.685,31.347,89.871,88.206
135.583,6.013,29.543,31.301,89.865,88.228
135.625,6.014,29.644,31.198,89.886,88.124
135.667,6.015,29.780,31.237,89.800,88.115
135.708,6.013,29.696,31.187,89.799,88.007
135.750,6.011,29.688,31.128,89.821,88.051
135.792,6.012,29.786,31.153,90.030,88.238
135.833,6.012,29.673,31.114,89.761,88.001
135.875,6.011,29.689,31.156,89.792,87.969
135.958,6.013,29.795,31.332,89.781,88.071
136.000,6.011,29.811,31.371,89.776,88.145
136.042,6.012,29.812,31.466,89.761,88.089
136.083,6.011,29.606,31.287,89.769,88.039
136.125,6.011,29.813,31.363,89.725,88.056
136.167,6.011,29.794,31.406,89.729,88.007
136.208,6.011,29.848,31.295,89.730,87.990
136.250,6.011,29.801,31.179,89.738,88.000
136.292,6.011,29.660,31.206,89.708,88.040
136.375,6.011,29.446,31.385,89.634,87.897
136.417,6.012,29.721,31.429,89.659,87.997
136.458,6.013,29.743,31.471,89.781,88.064
136.500,6.014,29.758,31.404,89.884,88.256
136.542,6.015,29.791,31.395,89.848,88.229
136.583,6.017,29.854,31.361,89.797,88.186
136.625,6.017,29.784,31.561,89.711,88.116
136.667,6.015,29.432,31.367,89.619,87.996
136.708,6.013,29.813,31.140,89.627,87.988
136.750,6.013,29.796,31.372,89.625,87.888
136.792,6.013,29.662,31.213,89.623,87.950
136.833,6.012,29.790,31.289,89.688,87.964
136.875,6.010,30.064,31.064,89.653,87.932
136.958,6.013,29.913,31.340,89.676,87.991
137.000,6.013,29.748,31.193,89.745,87.988
137.042,6.012,29.760,31.564,89.725,88.031
137.083,6.012,29.716,31.016,89.689,87.974
137.125,6.012,29.821,31.270,89.672,88.008
137.167,6.012,29.624,31.349,89.660,87.991
137.208,6.012,29.716,31.242,89.654,87.951
137.250,6.010,29.670,31.307,89.697,88.017
137.292,6.011,29.854,31.427,89.688,87.949
137.375,6.012,29.785,31.416,89.689,87.966
137.417,2.758,14.529,30.599,85.827,84.454
137.458,2.758,14.627,30.819,84.882,83.498
137.500,2.758,14.664,30.480,84.660,83.373
137.542,2.758,14.659,30.745,84.629,83.323
137.583,2.758,14.664,30.645,84.649,83.321
137.625,2.758,14.660,30.661,84.653,83.252
137.667,2.758,14.691,30.532,84.681,83.310
137.708,2.758,14.652,30.892,84.672,83.219
137.750,2.757,14.684,30.602,84.690,83.216
137.792,2.757,14.637,30.843,84.667,83.205
137.833,2.757,14.675,30.529,84.708,83.228
137.875,2.757,14.661,30.671,84.707,83.216
137.958,6.011,29.305,31.378,89.253,87.512
138.000,6.013,29.043,31.186,89.937,88.239
138.042,6.014,29.214,31.206,90.023,88.327
138.083,6.013,29.314,31.372,89.994,88.363
138.125,6.012,29.294,31.112,90.036,88.325
138.167,6.012,29.454,31.120,90.008,88.243
138.208,6.012,29.334,31.268,89.965,88.270
138.250,6.012,29.243,31.086,89.962,88.223
138.292,6.012,29.053,31.081,89.916,88.231
138.375,6.011,28.909,31.243,89.954,88.216
138.417,6.011,28.934,31.060,89.941,88.287
138.458,6.013,29.344,31.309,89.918,88.265
138.500,6.013,29.104,31.335,89.911,88.298
138.542,6.014,29.203,30.948,89.876,88.250
138.583,6.014,29.289,31.056,89.891,88.278
138.625,6.012,29.060,31.128,89.897,88.289
138.667,6.012,29.127,31.050,89.908,88.322
138.708,6.013,29.102,31.144,89.919,88.279
138.750,6.013,29.128,31.169,89.913,88.210
138.792,6.013,29.153,31.321,89.909,88.219
138.833,6.014,29.130,31.068,89.924,88.245
138.875,6.014,29.044,31.139,89.878,88.235
138.958,6.013,29.162,31.131,89.901,88.184
139.000,6.012,29.286,31.062,89.927,88.184
139.042,6.012,29.169,31.138,89.923,88.247
139.083,6.013,29.085,31.149,89.900,88.215
139.125,6.013,29.435,31.437,89.895,88.165
139.167,6.012,29.092,31.134,89.863,88.127
139.208,6.011,29.161,31.130,89.921,88.212
139.250,6.012,29.112,30.998,89.937,88.226
139.292,6.011,29.101,31.043,89.961,88.308
139.375,6.012,29.233,31.098,89.959,88.374
139.417,6.012,29.005,31.034,89.942,88.362
139.458,6.012,29.373,31.053,89.964,88.316
139.500,6.014,28.775,31.143,89.952,88.330
139.542,6.013,28.921,30.939,89.927,88.280
139.583,6.012,29.090,31.087,89.980,88.342
139.625,6.014,28.823,31.242,89.919,88.334
139.667,6.014,29.215,31.147,89.925,88.350
139.708,6.014,29.035,31.365,89.954,88.335
139.750,6.014,29.459,31.073,89.935,88.299
139.792,6.014,29.306,31.341,89.972,88.297
139.833,6.013,29.400,31.216,89.948,88.241
139.875,6.014,29.024,31.379,89.965,88.290
139.958,6.012,29.288,31.334,89.960,88.344
140.000,6.014,29.251,31.259,89.984,88.242
140.042,6.014,29.025,31.249,89.964,88.303
140.083,6.014,29.401,31.033,89.934,88.281
140.125,6.015,29.157,31.081,89.940,88.281
140.167,6.012,29.290,30.904,89.902,88.219
140.208,6.013,29.155,31.197,89.891,88.213
140.250,6.012,29.285,31.173,89.953,88.277
140.292,6.012,29.301,30.800,89.918,88.272
140.375,4.229,24.300,31.404,89.236,87.670
140.417,3.062,15.041,31.253,86.805,85.442
140.458,3.064,15.109,31.301,86.659,85.288
140.500,3.065,15.109,31.387,86.868,85.445
140.542,3.066,15.092,31.282,86.859,85.489
140.583,3.068,15.079,31.061,86.990,85.572
140.625,3.067,15.064,30.981,87.029,85.617
140.667,3.066,14.964,31.015,86.921,85.558
140.708,3.065,14.988,30.792,87.012,85.675
140.750,3.066,14.865,30.967,86.911,85.451
140.792,3.066,14.901,30.965,86.976,85.468
140.833,3.065,14.835,30.901,86.939,85.433
140.875,3.064,14.823,30.795,86.932,85.421
140.958,6.012,28.933,31.624,90.215,88.569
141.000,6.013,28.824,31.597,90.001,88.403
141.042,6.014,28.902,31.105,90.091,88.478
141.083,6.013,29.069,31.402,90.061,88.426
141.125,6.013,28.513,31.443,90.082,88.473
141.167,6.012,29.063,31.487,90.060,88.429
141.208,6.012,29.087,31.525,90.020,88.450
141.250,6.011,28.695,31.599,90.011,88.388
141.292,6.011,29.116,32.118,89.974,88.324
141.375,3.678,18.459,31.361,86.261,84.825
141.417,3.678,18.481,31.515,85.458,84.093
141.458,3.678,18.457,31.402,85.449,84.054
141.500,3.679,18.437,31.431,85.464,84.115
141.542,3.679,18.440,31.286,85.673,84.263
141.583,3.678,18.437,31.496,85.696,84.333
141.625,3.678,18.446,31.485,85.761,84.333
141.667,3.678,18.420,31.488,85.825,84.406
141.708,3.678,18.375,31.485,85.855,84.380
141.750,3.677,18.405,31.489,85.810,84.392
141.792,3.678,18.428,31.833,85.848,84.436
141.833,3.678,18.454,31.633,85.972,84.472
141.875,3.677,18.395,31.309,85.981,84.504
141.958,6.012,29.635,32.146,89.823,88.234
142.000,6.013,29.356,31.785,89.905,88.301
142.042,6.012,29.531,31.928,89.929,88.390
142.083,6.013,29.535,31.788,89.898,88.348
142.125,6.013,29.497,31.618,89.947,88.288
142.167,6.014,29.470,31.675,89.893,88.292
142.208,6.013,29.670,31.709,89.834,88.265
142.250,6.013,29.563,31.883,89.857,88.301
142.292,6.015,29.577,31.872,89.950,88.330
142.375,6.015,29.575,31.874,89.872,88.403
142.417,6.014,29.693,32.070,89.893,88.399
142.458,6.012,29.628,31.964,89.871,88.410
142.500,6.015,29.576,31.721,89.796,88.238
142.542,6.015,29.630,31.811,89.699,88.170
142.583,6.013,29.423,31.609,89.676,88.135
142.625,6.013,29.754,31.680,89.683,88.100
142.667,6.014,29.771,31.834,89.715,88.132
142.708,6.014,29.667,31.818,89.750,88.133
142.750,6.013,29.633,31.860,89.709,88.075
142.792,6.014,29.899,31.851,89.795,88.211
142.833,6.013,29.761,31.811,89.847,88.201
142.875,6.014,29.575,31.757,89.823,88.219
142.958,6.012,29.679,31.561,89.741,88.153
143.000,6.013,29.696,31.645,89.741,88.150
143.042,6.013,29.712,31.612,89.746,88.190
143.083,6.012,29.467,31.289,89.471,87.795
143.125,6.010,29.234,31.699,89.499,87.906
143.167,6.010,29.586,31.957,89.555,87.949
143.208,6.010,29.753,31.631,89.659,87.959
143.250,6.010,29.423,31.704,89.795,88.174
143.292,6.010,29.801,31.748,89.848,88.253
143.375,6.010,29.689,31.582,89.508,87.806
143.417,6.008,29.705,31.537,89.537,87.867
143.458,6.010,29.474,31.375,89.261,87.633
143.500,6.009,29.347,30.491,88.057,86.303
143.542,6.010,29.552,30.497,87.796,86.157
143.583,6.010,29.386,30.659,88.048,86.517
143.625,6.011,29.670,30.716,88.451,86.902
143.667,6.011,29.595,31.485,88.455,86.868
143.708,6.011,29.934,31.487,87.677,86.138
143.750,6.012,29.224,30.420,88.066,86.417
143.792,6.012,29.357,30.503,89.032,87.421
143.833,6.010,29.456,30.535,89.090,87.520
143.875,6.012,29.511,30.690,89.097,87.546
143.958,6.009,29.578,30.652,88.968,87.477
144.000,6.011,29.546,30.935,89.022,87.520
144.042,6.011,30.099,30.856,89.059,87.516
144.083,6.012,29.509,30.872,89.068,87.541
144.125,6.011,29.943,30.892,89.081,87.536
144.167,6.011,29.656,30.874,89.128,87.593
144.208,6.012,29.456,30.914,89.119,87.565
144.250,6.012,29.936,30.814,89.113,87.540
144.292,6.012,29.583,30.847,89.101,87.563
144.375,6.011,30.218,31.089,89.106,87.538
144.417,6.012,29.588,30.978,89.170,87.617
144.458,6.012,29.804,31.015,89.191,87.737
144.500,6.013,30.322,30.974,89.608,88.153
144.542,6.013,29.698,31.012,89.631,88.181
144.583,6.014,29.609,31.016,89.596,88.115
144.625,6.014,30.267,30.913,89.543,88.117
144.667,6.015,29.670,31.024,89.502,88.013
144.708,6.016,29.619,31.033,89.524,87.990
144.750,6.016,30.283,30.865,89.517,87.990
144.792,6.014,30.082,30.855,89.532,87.973
144.833,6.015,29.687,30.730,89.538,88.010
144.875,6.016,29.664,31.197,89.536,87.908
144.958,6.016,29.547,31.003,89.529,87.972
145.000,6.015,29.720,31.015,89.572,87.970
145.042,6.012,29.680,30.863,89.472,87.813
145.083,6.012,30.037,31.124,89.377,87.751
145.125,6.010,29.703,30.921,89.502,87.902
145.167,6.011,29.685,30.872,89.509,87.908
145.208,6.011,29.995,30.999,89.557,87.964
145.250,6.011,29.962,30.930,89.506,87.875
145.292,6.011,30.010,30.971,89.551,87.963
145.375,6.013,29.779,30.832,89.628,88.124
145.417,6.012,30.018,30.827,89.659,88.160
145.458,6.013,29.764,30.754,89.671,88.173
145.500,6.015,29.742,30.866,89.648,88.216
145.542,6.013,29.821,30.783,89.656,88.194
145.583,6.013,29.466,30.701,89.657,88.151
145.625,6.014,29.637,30.790,89.604,88.051
145.667,6.013,29.656,30.879,89.565,88.006
145.708,6.013,29.562,30.940,89.585,88.013
145.750,6.013,29.675,30.870,89.573,87.986
145.792,6.011,29.916,30.895,89.599,88.047
145.833,6.013,29.237,30.855,89.666,88.105
145.875,6.013,29.606,31.252,89.664,88.186
145.958,6.014,29.964,30.935,89.630,88.114
146.000,6.013,30.018,31.014,89.659,88.147
146.042,6.013,29.753,31.070,89.670,88.108
146.083,6.014,29.710,30.721,89.686,88.121
146.125,6.013,29.627,30.942,89.648,88.095
146.167,6.012,29.843,31.087,89.635,88.081
146.208,6.012,29.972,31.001,89.661,88.082
146.250,6.011,29.820,30.821,89.654,88.066
146.292,6.014,30.295,30.647,89.621,88.033
146.375,6.012,29.732,30.962,89.669,88.143
146.417,6.013,29.663,31.233,89.694,88.207
146.458,6.012,29.572,30.972,89.682,88.183
146.500,6.013,29.769,30.899,89.658,88.210
146.542,6.014,29.719,30.998,89.699,88.264
146.583,6.014,29.706,30.997,89.657,88.222
146.625,6.015,29.744,30.851,89.634,88.201
146.667,6.015,29.876,30.850,89.621,88.165
146.708,6.014,29.797,30.920,89.584,88.100
146.750,6.016,29.762,30.957,89.594,88.105
146.792,6.014,29.813,31.109,89.637,88.114
146.833,6.014,29.659,30.964,89.636,88.053
146.875,6.013,29.856,30.550,89.585,87.979
146.958,6.012,29.665,30.688,89.704,88.143
147.000,6.012,30.162,30.805,89.681,88.155
147.042,6.012,29.768,30.644,89.676,88.089
147.083,6.013,29.952,30.806,89.685,88.128
147.125,6.010,29.539,30.862,89.671,88.118
147.167,6.013,29.724,30.873,89.671,88.055
147.208,6.013,29.766,30.842,89.641,88.089
147.250,6.013,29.562,30.537,89.582,87.944
147.292,6.013,29.866,31.012,89.485,87.923
147.375,4.262,21.637,30.735,86.525,85.130
147.417,4.262,21.798,30.319,86.668,85.224
147.458,4.260,21.779,30.520,86.652,85.215
147.500,4.262,21.694,30.469,86.738,85.335
147.542,4.262,21.793,30.267,86.793,85.387
147.583,4.263,21.855,30.555,86.792,85.338
147.625,4.262,21.791,30.425,86.733,85.409
147.667,4.263,21.838,30.454,86.763,85.371
147.708,4.264,21.816,30.502,86.805,85.403
147.750,4.263,21.859,30.193,86.838,85.388
147.792,4.262,21.856,30.685,86.945,85.486
147.833,4.262,21.796,30.359,86.941,85.472
147.875,4.262,21.881,30.758,86.944,85.494
147.958,6.010,28.961,30.981,89.760,88.228
148.000,6.012,28.780,30.837,89.790,88.260
148.042,6.011,29.258,30.903,89.812,88.285
148.083,6.013,29.092,30.979,89.792,88.231
148.125,6.013,29.009,30.789,89.768,88.236
148.167,6.012,28.816,30.745,89.808,88.247
148.208,6.012,28.915,30.834,89.842,88.301
