CD,FI3312A,FI3312B,TI3302A
6.012,28.882,30.493,89.258
6.012,28.811,30.526,89.337
6.012,28.806,30.746,89.367
6.014,28.768,30.478,89.373
6.012,28.847,30.349,89.352
6.012,28.392,30.548,89.361
6.011,28.743,30.445,89.380
6.011,28.881,30.161,89.383
6.013,28.842,30.156,89.364
6.012,28.649,30.393,89.385
6.012,28.748,30.431,89.646
6.012,28.825,30.459,89.651
6.013,28.744,30.265,89.671
6.012,28.872,30.364,89.628
6.013,28.776,30.466,89.630
6.013,28.861,30.450,89.675
6.013,28.852,30.499,89.682
6.013,28.937,30.217,89.618
6.013,28.958,30.448,89.664
6.013,28.919,30.295,89.679
6.014,28.883,30.404,89.588
6.015,28.503,30.451,89.634
6.012,29.008,30.528,89.650
6.012,28.838,30.326,89.636
6.014,28.983,30.350,89.646
6.014,28.888,30.047,89.637
6.014,29.005,30.054,89.638
6.012,28.509,30.185,89.609
6.013,28.646,30.240,89.595
6.014,28.861,30.142,89.610
6.012,28.844,30.225,89.642
6.012,28.857,30.109,89.636
6.011,28.992,30.256,89.654
6.012,28.653,30.335,88.721
6.012,28.847,30.100,88.729
6.013,28.041,30.281,88.748
6.013,28.503,30.006,88.733
6.013,28.130,30.081,88.738
6.013,28.861,30.369,88.709
6.014,28.596,30.186,88.736
6.013,28.166,30.154,88.705
6.012,28.744,30.219,88.701
6.013,28.621,30.279,88.902
6.012,28.134,30.162,88.985
6.013,28.562,30.132,89.009
6.013,28.816,30.316,88.997
6.012,28.283,30.311,88.994
6.013,28.914,30.207,88.997
6.014,28.829,30.338,89.004
6.015,28.869,30.304,89.002
6.014,28.809,30.119,88.983
6.014,28.537,30.265,88.965
6.013,28.176,30.164,88.980
6.012,28.266,30.171,88.990
6.013,28.827,30.173,88.907
6.012,28.474,30.034,89.039
6.013,28.949,30.160,89.037
6.013,28.801,30.080,89.075
6.013,28.805,30.252,88.982
6.015,28.912,30.198,88.695
6.015,28.445,30.072,88.680
6.016,28.043,30.231,88.709
6.015,28.869,30.169,88.680
6.014,28.597,30.225,88.638
6.015,28.139,30.000,88.617
6.014,28.801,30.154,88.613
6.014,28.258,30.066,88.624
6.014,28.227,30.155,88.580
6.014,28.576,29.964,88.773
6.014,28.785,30.173,88.992
6.014,28.328,29.973,89.001
6.014,28.495,29.992,88.983
6.012,28.856,30.266,88.977
6.012,28.254,30.072,88.969
6.013,28.755,29.755,88.965
6.015,28.485,30.074,88.977
6.012,28.463,29.922,88.964
6.012,28.883,30.134,88.996
6.013,28.829,30.168,88.972
6.013,28.486,29.880,89.018
6.015,28.987,29.869,89.053
6.017,28.990,30.271,88.992
6.013,29.085,30.147,89.029
6.014,29.143,30.094,89.100
6.015,28.888,30.077,88.757
6.014,28.968,30.118,88.683
6.015,28.303,30.180,88.678
6.015,28.231,30.231,88.670
6.014,28.327,30.377,88.679
6.013,28.710,30.140,88.638
6.015,28.142,30.372,88.645
6.013,28.726,30.066,88.625
6.013,28.845,30.177,88.646
6.014,28.644,30.231,88.643
6.014,28.200,30.091,88.621
6.012,28.355,30.226,88.621
6.013,28.343,30.223,88.629
6.014,28.438,30.088,88.639
6.012,28.746,30.068,88.656
6.013,28.166,30.121,88.675
6.013,28.032,30.105,88.754
6.014,28.381,30.297,88.789
6.014,28.575,30.170,88.795
6.014,28.280,30.119,88.807
6.015,28.891,29.963,88.750
6.016,28.868,30.060,88.739
6.016,28.142,30.016,88.700
6.014,28.854,30.196,88.705
6.016,28.698,30.326,88.702
6.015,28.762,30.227,88.695
6.016,29.055,30.256,88.705
6.014,28.915,30.319,88.707
6.012,28.437,30.335,88.644
6.014,28.790,30.076,88.665
6.014,28.121,30.249,88.663
6.015,28.817,30.134,88.672
6.014,28.662,30.117,88.651
6.014,28.036,30.092,88.652
6.014,28.186,30.406,88.652
6.016,28.838,30.101,88.637
6.017,28.636,30.205,88.630
6.014,29.564,30.052,88.664
6.014,29.317,29.957,88.707
6.018,29.660,29.850,88.693
6.016,29.465,30.117,88.646
6.018,29.205,30.224,88.705
6.017,29.456,29.761,88.681
6.015,29.061,30.058,88.716
6.016,29.575,30.238,88.707
6.015,29.086,29.892,88.672
6.019,29.090,30.123,88.639
6.016,29.478,29.939,88.604
6.017,29.448,30.164,88.593
6.017,28.937,30.131,88.598
6.017,28.655,30.027,88.605
6.014,28.954,29.950,88.590
6.014,28.526,29.990,88.594
6.015,29.200,30.159,88.580
6.014,29.306,29.963,88.604
6.012,28.833,29.810,88.605
6.012,29.280,29.751,88.613
6.013,28.943,29.960,88.674
6.014,29.082,29.876,88.665
6.014,29.550,30.164,88.638
6.014,29.580,29.950,88.673
6.015,29.615,29.861,88.664
6.015,29.371,29.906,88.661
6.015,29.315,29.966,88.714
6.016,29.350,29.951,88.720
6.015,29.294,30.279,88.719
6.016,28.748,29.929,88.679
6.016,29.430,29.893,88.671
6.014,28.919,29.987,88.615
6.014,29.521,30.133,88.634
6.016,29.250,29.832,88.599
6.015,29.439,30.131,88.597
6.015,28.864,30.101,88.592
6.014,29.363,30.078,88.599
6.014,28.628,30.110,88.609
6.015,29.086,30.114,88.605
6.014,29.314,29.954,88.611
6.013,28.689,30.021,88.627
6.014,28.713,30.017,88.541
6.014,29.486,30.003,88.615
6.013,29.621,29.777,88.606
6.014,29.062,29.896,88.641
6.014,29.113,29.827,88.654
6.013,29.092,29.881,88.636
5.211,28.259,29.159,86.310
5.578,28.677,29.793,87.641
6.011,29.023,29.936,88.975
6.013,29.273,30.032,89.048
6.013,29.212,29.770,89.041
6.014,29.125,30.052,88.966
6.013,29.100,30.218,88.948
6.010,29.418,30.144,88.992
6.012,28.666,30.233,89.019
6.014,28.547,30.091,89.047
6.012,29.245,30.057,89.044
6.014,28.692,30.005,88.946
6.015,28.844,30.125,88.965
6.013,28.811,30.036,88.955
6.012,29.325,29.923,88.925
6.013,29.179,29.831,88.927
6.011,28.929,30.163,88.932
6.012,28.946,29.870,88.929
6.011,28.853,29.862,88.986
6.013,29.068,29.916,89.099
6.014,28.818,30.072,89.061
5.672,29.376,29.546,88.002
5.671,29.090,29.721,88.108
6.010,28.572,29.672,89.243
6.008,29.052,29.916,89.281
6.008,28.690,30.105,89.061
6.009,29.254,29.725,89.045
6.010,28.791,29.928,89.050
6.011,29.233,29.955,89.036
6.010,29.396,30.054,89.037
6.010,29.268,29.727,89.033
6.011,29.346,30.000,88.968
6.009,29.185,29.714,89.053
6.010,29.140,29.659,89.069
6.011,28.844,29.621,89.057
6.009,29.187,29.879,89.053
6.009,29.273,29.845,89.044
6.009,29.293,29.825,89.065
6.010,28.715,29.588,89.067
6.010,28.975,29.501,89.060
6.009,28.879,29.601,89.049
6.009,29.182,29.538,89.043
6.010,29.280,29.769,89.067
6.009,29.158,29.444,89.051
6.010,28.602,29.754,89.057
6.011,29.148,29.911,89.094
6.010,28.628,29.720,89.080
6.011,29.033,29.706,88.993
6.010,28.966,29.833,89.058
6.010,29.106,30.368,88.945
6.010,29.335,30.425,88.965
6.012,29.657,30.506,89.001
6.011,28.992,30.156,88.982
6.011,29.363,30.243,88.984
6.011,29.055,30.206,88.977
6.010,29.725,30.281,89.268
6.012,29.736,30.279,89.321
6.011,29.749,30.190,89.310
6.011,29.449,30.493,89.334
6.011,29.614,30.256,89.355
6.010,29.588,30.071,89.318
6.010,29.923,30.082,89.254
6.010,29.745,29.855,89.261
6.011,29.124,30.156,89.342
6.014,29.756,30.181,89.385
6.014,29.951,30.461,89.373
6.014,29.076,30.109,89.323
6.014,29.510,30.288,89.406
6.013,29.886,30.302,89.433
6.014,29.992,30.179,89.140
6.014,29.732,30.422,89.030
6.013,29.460,30.188,88.990
6.013,29.285,30.325,88.966
6.014,29.079,30.156,89.005
6.014,29.908,29.991,88.996
6.014,29.193,29.868,89.019
6.014,29.193,30.404,89.286
6.013,29.359,30.313,89.307
6.014,29.944,30.263,89.288
6.015,30.050,30.173,89.297
6.013,30.153,29.960,89.286
6.012,30.011,30.506,89.275
6.012,30.026,30.161,89.298
6.012,30.277,30.246,89.261
6.011,29.464,30.064,89.319
6.012,29.535,30.287,89.376
6.013,29.859,30.088,89.343
6.012,29.903,30.078,89.382
6.013,29.918,30.199,89.366
6.013,29.622,30.030,89.365
6.014,29.633,30.118,89.354
6.012,29.363,30.158,89.363
6.012,29.847,30.123,89.352
6.013,29.761,30.284,89.357
6.013,29.860,30.198,89.336
6.012,29.807,30.127,89.317
6.012,29.530,30.127,89.319
6.014,29.856,30.350,89.322
6.012,29.822,29.994,89.336
6.012,29.609,30.143,89.341
6.013,29.667,30.041,89.314
6.014,29.076,29.870,89.315
6.014,29.928,30.060,89.313
6.014,29.159,29.972,89.321
6.013,29.222,30.040,89.346
6.013,29.610,30.063,89.360
6.013,29.964,30.138,89.360
6.014,29.455,30.061,89.414
6.014,29.872,30.139,89.392
6.014,29.904,30.082,89.417
6.015,29.882,29.876,89.450
6.014,29.726,30.087,89.474
6.015,30.028,29.841,89.465
6.014,29.928,30.052,89.394
6.014,30.285,30.211,89.347
6.015,29.453,29.963,89.029
6.014,29.974,29.857,89.012
6.014,30.161,30.089,89.051
6.013,29.428,30.136,89.074
6.014,30.020,30.097,89.092
6.014,29.934,30.054,89.079
6.014,29.502,30.109,89.043
6.014,29.627,29.990,89.052
6.013,30.159,30.125,89.011
6.014,29.475,30.040,89.016
6.013,29.427,30.137,89.015
6.015,29.368,29.956,89.026
6.014,30.036,29.939,89.036
6.014,30.083,30.067,89.002
6.014,29.394,30.079,89.083
6.013,30.137,30.016,89.075
6.014,29.352,29.994,89.129
6.015,29.317,30.152,89.192
6.014,30.091,30.014,89.156
6.014,29.554,30.117,89.157
6.015,30.157,29.870,89.138
6.015,29.971,30.154,89.117
6.015,29.886,29.959,89.111
6.015,30.083,29.852,89.074
6.016,29.718,30.283,88.976
6.014,30.002,29.941,88.902
6.015,29.432,29.963,88.883
6.014,30.139,30.070,88.959
6.015,29.252,30.196,89.007
6.013,29.130,30.184,88.980
6.014,29.922,30.095,88.961
6.012,30.128,29.917,88.969
6.012,29.485,30.081,88.999
6.013,30.178,29.950,88.985
6.013,29.420,29.946,88.986
6.013,30.309,30.236,88.993
6.011,30.024,29.942,89.009
6.014,30.137,29.888,89.040
6.014,29.300,29.970,89.088
6.014,29.674,30.137,89.126
6.014,29.358,29.837,89.113
6.016,30.147,30.006,89.081
6.014,30.159,30.104,89.056
6.015,29.370,30.113,88.993
6.014,30.269,30.132,88.985
6.015,29.871,30.066,88.942
6.015,29.548,30.044,88.919
6.014,30.158,29.909,88.932
6.014,29.328,29.994,88.953
6.015,30.131,30.028,88.950
6.013,29.833,29.837,88.929
6.013,30.141,30.038,88.922
6.013,29.857,29.881,88.919
6.014,30.056,29.997,88.905
6.013,29.727,30.031,88.912
6.013,29.751,30.060,88.916
6.015,29.966,29.913,88.956
6.013,29.902,30.010,88.976
6.014,30.355,30.016,88.913
6.014,29.727,29.802,88.958
6.014,30.304,29.911,89.003
6.015,30.115,29.919,89.057
6.014,29.546,29.707,89.076
6.014,30.084,30.042,89.023
6.015,29.478,29.854,89.019
6.015,29.930,29.752,88.866
6.015,30.561,29.915,88.924
6.015,29.817,29.997,88.897
6.014,30.413,30.019,88.874
6.014,30.462,29.827,88.869
6.015,30.020,30.798,88.966
6.013,29.532,30.996,88.982
6.014,29.401,30.748,88.961
6.015,30.183,30.525,88.972
6.014,30.167,30.753,88.925
6.013,29.604,30.556,88.910
6.013,29.443,30.685,88.939
6.014,30.160,30.669,88.972
6.014,29.892,30.856,88.959
6.014,30.119,30.474,88.962
6.014,30.416,30.695,88.976
6.014,29.509,30.765,88.952
6.014,29.570,30.680,88.977
6.015,29.924,30.729,89.018
6.015,29.626,30.669,89.050
6.014,29.536,30.651,89.068
6.014,30.359,30.656,89.059
6.013,30.256,30.887,89.045
6.014,30.053,30.622,89.011
6.014,29.434,30.753,88.974
6.014,30.306,30.825,88.934
6.014,29.465,30.806,88.923
6.012,30.205,30.833,88.933
6.013,30.221,30.749,88.976
6.013,29.897,30.698,88.958
6.013,30.066,30.862,88.972
6.013,30.125,30.695,88.958
6.012,29.750,30.773,88.939
6.011,29.848,30.707,88.957
6.012,29.591,30.425,88.992
6.013,30.190,30.588,88.977
6.012,30.107,30.551,88.968
6.014,30.262,30.653,88.621
6.014,29.357,30.687,88.630
6.014,30.109,30.810,88.669
6.014,30.121,30.906,88.682
6.016,29.440,30.646,88.737
6.015,29.766,30.601,88.738
6.015,29.487,30.665,88.711
6.017,29.787,30.695,88.641
6.017,29.516,30.618,88.591
6.016,30.173,30.673,88.632
6.016,30.088,30.516,88.947
6.014,30.024,30.658,88.980
6.016,29.593,30.818,88.964
6.016,29.792,30.785,88.967
6.016,29.444,30.507,88.988
6.016,29.359,30.557,88.967
6.016,29.976,30.935,88.943
6.013,29.651,30.671,88.949
6.014,29.961,30.651,88.964
6.014,29.885,30.675,88.966
6.014,29.815,30.420,88.967
6.013,29.754,30.671,88.967
6.014,29.686,30.521,89.014
6.016,30.075,30.753,89.026
6.015,29.597,30.703,89.049
6.016,30.206,30.742,89.103
6.016,29.232,30.702,89.100
6.016,30.167,30.694,89.105
6.016,30.036,30.608,89.050
6.015,29.333,30.798,88.950
6.015,29.302,30.651,88.959
6.016,30.319,30.796,88.952
6.015,29.724,30.627,88.929
6.015,30.046,30.808,88.930
6.015,29.847,30.940,88.955
6.015,29.840,30.687,88.957
6.014,29.886,30.506,89.030
6.013,29.200,30.584,89.003
6.011,29.031,30.692,89.033
6.012,29.960,30.650,89.038
6.013,29.645,30.691,89.024
6.013,29.690,30.652,89.032
6.014,29.428,30.609,89.034
6.013,29.396,30.457,89.006
6.014,29.292,30.673,89.025
6.015,29.773,30.648,89.065
6.015,29.510,30.704,89.082
6.015,29.980,30.543,89.105
6.014,29.747,30.766,89.108
6.016,29.397,30.751,89.105
6.015,29.700,30.915,89.030
6.016,29.662,30.838,89.056
6.017,29.278,30.527,89.035
6.015,29.684,30.850,89.025
6.015,30.047,30.916,89.022
6.015,29.087,30.945,89.043
6.015,29.135,30.633,89.017
6.013,29.744,30.834,89.004
6.014,29.906,30.822,89.040
6.015,29.686,31.031,89.055
6.015,30.221,30.806,89.020
6.015,29.840,30.872,89.011
6.016,29.422,30.814,88.946
6.014,29.358,30.666,88.956
6.015,29.937,30.589,89.030
6.016,29.097,30.801,89.037
6.015,29.928,30.813,89.095
6.015,29.485,30.801,89.176
6.017,29.458,31.009,89.203
6.017,29.273,30.776,89.173
6.017,30.228,30.639,89.157
6.016,30.097,30.532,89.165
6.016,29.586,30.898,89.052
6.014,29.285,30.660,89.013
6.016,29.465,30.376,89.034
6.014,29.766,30.662,88.978
6.014,29.647,30.710,88.982
6.015,29.692,30.644,88.989
6.015,29.331,30.600,88.978
6.014,29.684,30.792,89.054
6.015,30.100,30.596,89.005
6.015,29.393,30.737,88.995
6.015,29.495,30.572,88.955
6.014,29.024,30.797,88.957
6.015,29.497,30.654,88.961
6.015,29.891,30.738,89.004
6.015,29.638,30.369,88.924
6.013,29.790,30.481,88.992
6.012,29.723,30.154,89.045
6.014,29.860,30.666,89.030
6.012,29.797,30.536,89.013
6.013,29.986,30.362,89.035
6.015,29.462,30.517,89.027
6.013,29.463,30.311,89.075
6.014,29.246,30.655,89.076
6.013,30.064,30.615,89.063
6.014,29.705,30.532,89.126
6.012,29.084,30.520,89.023
6.014,30.386,30.359,88.969
6.011,30.255,30.650,88.946
6.014,30.202,30.553,88.944
6.014,29.672,30.465,88.947
6.013,30.368,30.726,88.920
6.014,30.480,30.545,89.158
6.014,30.394,30.489,89.236
6.014,30.282,30.523,89.251
6.014,30.486,30.342,89.215
6.014,30.366,30.337,89.225
6.014,30.054,30.248,89.224
6.012,29.650,30.285,89.185
4.247,24.899,29.420,89.589
2.451,13.575,30.126,86.229
2.452,13.596,30.405,85.606
2.451,13.565,30.311,85.477
2.451,13.570,30.466,85.513
2.452,13.604,30.514,85.569
2.453,13.641,30.679,85.580
2.453,13.611,30.110,85.528
2.452,13.601,30.263,85.440
2.452,13.579,30.385,85.446
2.451,13.523,30.030,85.440
2.451,13.450,30.519,85.452
2.452,13.436,30.038,85.423
6.010,30.046,31.413,88.872
6.009,29.862,31.191,88.939
6.010,29.112,31.109,88.916
6.010,29.907,31.177,88.904
6.009,29.257,31.180,88.933
6.009,29.704,31.074,88.929
6.009,29.385,31.175,88.946
6.009,29.394,31.123,88.945
6.009,29.126,31.048,88.922
2.756,14.648,30.486,85.998
2.756,14.652,30.683,85.490
2.757,14.611,30.398,85.404
2.756,14.630,30.521,85.413
2.757,14.745,30.393,85.415
2.757,14.756,30.462,85.446
2.758,14.864,30.557,85.466
2.757,14.896,30.439,85.459
2.757,14.890,30.534,85.442
2.758,14.939,30.405,85.437
2.757,14.896,30.121,85.403
2.757,14.810,30.454,85.435
2.756,14.856,30.188,85.477
6.010,29.593,31.093,89.263
6.008,29.890,30.989,88.910
6.009,29.655,31.003,88.927
6.008,29.677,30.959,89.003
6.008,29.913,30.988,89.020
6.007,29.544,30.816,89.041
6.008,29.802,31.012,89.029
6.008,29.365,30.969,89.008
6.008,29.179,30.952,88.983
6.008,29.847,31.092,89.031
6.010,29.737,30.884,89.123
6.011,29.710,31.110,89.180
6.012,29.958,30.927,89.201
6.012,29.954,31.027,89.140
6.013,29.838,31.367,89.120
6.013,29.820,31.106,89.026
6.011,29.740,31.400,89.052
6.011,30.047,31.116,89.110
6.013,29.578,31.042,89.104
6.012,30.330,31.004,89.085
6.012,29.919,31.212,89.095
6.012,29.878,30.976,89.117
6.011,29.298,30.922,89.089
6.010,29.932,31.118,89.086
6.012,29.992,31.075,89.097
6.010,29.697,31.072,89.057
6.010,29.621,30.717,89.063
6.009,29.819,31.125,89.053
6.009,29.833,30.972,89.063
6.010,29.841,30.979,89.075
6.011,29.270,30.775,89.078
2.726,14.908,30.118,84.726
2.726,14.853,30.534,84.068
2.726,14.866,30.169,83.869
2.727,14.925,30.340,83.816
2.727,14.974,30.622,83.819
2.726,14.990,30.649,83.802
2.726,14.968,30.399,83.831
3.309,17.416,29.971,85.024
3.309,17.036,30.379,85.598
3.308,17.223,30.208,85.985
3.307,17.263,30.413,86.096
3.307,17.287,30.197,86.117
3.308,17.283,30.139,86.132
6.009,29.013,31.061,88.990
6.008,29.796,30.958,89.178
6.009,29.725,31.013,89.290
6.010,29.853,30.967,89.324
6.012,29.838,30.923,89.314
6.010,29.836,30.863,89.293
6.010,29.151,30.525,89.324
6.011,29.851,30.943,89.271
6.010,28.912,31.065,89.166
3.282,16.295,30.284,86.205
3.282,16.379,30.694,85.639
3.283,16.306,30.408,85.523
3.282,16.318,30.542,85.554
3.282,16.300,30.410,85.549
3.282,16.288,30.119,85.506
3.281,16.286,30.367,85.496
3.281,16.447,31.334,85.461
3.280,17.120,31.237,85.311
3.280,17.149,30.588,84.836
2.759,14.970,30.855,83.755
2.758,14.979,30.783,84.083
2.759,15.018,30.932,84.335
6.012,28.846,31.144,88.826
6.012,29.458,31.095,89.174
6.012,29.470,30.394,89.273
6.013,29.238,30.420,89.253
6.011,29.080,30.418,89.157
6.010,29.110,30.293,89.117
6.011,28.754,30.530,89.089
6.012,29.297,30.267,89.118
6.013,29.117,30.462,89.164
6.012,28.928,30.855,89.254
6.015,28.748,30.888,89.304
6.016,28.985,30.713,89.282
6.016,29.359,30.640,89.284
6.015,29.265,30.575,89.227
6.014,28.689,30.789,89.136
6.012,29.108,30.865,88.744
6.012,28.462,31.147,88.261
6.015,29.588,30.919,87.719
6.015,28.985,30.747,87.755
6.016,29.468,31.024,87.696
6.014,29.386,30.775,87.670
6.014,28.941,30.686,87.665
6.014,29.471,30.694,87.607
6.012,29.353,30.626,87.573
6.011,28.713,30.751,87.702
6.012,29.206,30.652,87.647
6.010,29.110,30.606,87.609
6.010,29.366,30.731,87.687
6.012,29.399,30.857,87.705
6.011,29.392,30.853,87.660
6.010,28.658,30.556,87.684
6.014,28.925,30.615,87.760
6.014,28.963,31.036,87.789
6.014,29.660,31.032,87.753
6.015,29.422,30.885,87.813
6.016,29.505,30.841,87.804
6.016,28.956,31.016,87.761
6.016,29.627,30.986,87.736
6.016,29.189,30.719,87.721
6.015,29.485,31.030,87.707
6.015,29.506,30.802,87.705
6.016,29.055,30.828,87.697
6.015,29.263,30.964,87.711
6.015,28.991,31.028,87.722
6.013,29.587,30.883,87.583
6.014,29.233,30.797,87.697
6.014,29.473,30.775,87.693
6.015,29.401,31.029,87.672
6.013,28.807,30.933,87.668
6.014,29.373,30.941,87.681
6.013,28.874,30.398,87.688
6.013,28.734,30.627,87.680
6.013,29.253,30.535,87.714
3.039,17.906,30.199,87.625
2.456,14.133,29.952,85.276
2.455,14.140,30.385,84.899
2.455,14.120,30.077,84.878
2.455,14.181,30.296,84.881
2.455,14.159,29.919,84.809
2.454,14.156,29.913,84.792
2.454,14.120,30.129,84.775
2.454,14.125,29.827,84.811
2.452,14.059,30.038,84.720
2.453,14.064,29.785,84.693
2.452,13.981,29.888,84.626
2.453,14.051,29.987,84.724
6.012,29.036,30.630,87.867
6.012,28.892,30.805,87.809
6.014,28.839,30.707,87.867
6.013,29.203,30.818,87.931
6.013,28.615,30.686,87.880
6.012,28.883,30.706,87.706
6.012,28.343,30.985,87.566
6.011,29.576,30.840,87.609
6.012,28.744,30.921,87.699
2.728,15.047,29.926,88.530
2.453,13.586,30.995,85.416
2.453,13.569,31.164,84.864
2.452,13.470,30.642,84.628
2.453,13.535,30.719,84.562
2.452,13.533,30.895,84.547
2.452,13.539,30.708,84.520
2.452,13.634,30.897,84.554
2.453,13.584,30.793,84.672
2.453,13.553,30.865,84.655
2.452,13.550,30.680,84.673
2.452,13.519,30.950,84.679
2.452,13.526,30.924,84.739
6.013,28.553,31.959,88.030
6.012,28.266,31.859,87.909
6.013,28.294,31.861,87.896
6.011,28.295,31.825,87.905
6.011,28.459,31.899,87.905
6.011,28.138,31.885,87.876
6.012,28.076,31.797,87.878
6.011,28.513,31.927,87.915
6.012,28.059,31.819,87.900
3.219,15.995,30.875,85.149
2.454,14.876,31.148,82.888
2.454,14.866,31.035,83.503
2.454,14.756,31.049,84.287
2.453,14.746,30.871,84.444
2.453,14.767,31.035,84.496
2.453,14.763,31.010,84.532
2.453,14.716,30.855,84.542
2.453,14.719,30.945,84.546
2.453,14.703,30.773,84.559
2.454,14.746,30.596,84.571
2.452,14.744,30.981,84.596
2.452,14.729,30.943,84.608
6.011,29.574,30.981,88.856
6.013,29.067,31.056,88.881
6.012,29.714,30.796,88.900
6.012,29.645,30.744,88.945
6.012,29.616,30.711,89.036
6.012,29.706,30.738,89.058
6.013,29.595,30.810,89.103
6.012,29.585,30.896,89.061
6.013,29.157,30.993,89.048
2.454,14.140,29.719,85.446
2.454,14.725,30.065,84.831
2.454,14.742,29.986,84.688
2.454,14.749,30.036,84.635
2.452,14.714,29.965,84.603
2.453,14.826,30.120,84.566
2.453,14.815,29.951,84.552
2.453,14.941,29.915,84.483
2.453,14.947,30.013,84.489
2.452,14.950,30.048,84.518
2.452,14.950,29.888,84.563
2.453,14.965,29.992,84.584
2.452,14.862,30.212,84.578
6.012,29.458,30.816,88.890
6.013,29.840,31.159,89.008
6.013,29.958,30.946,88.978
6.011,29.945,30.774,88.934
6.011,29.803,30.885,88.954
6.011,29.892,30.675,88.995
6.011,29.909,30.720,89.012
6.012,29.595,30.824,89.057
6.011,29.871,30.861,89.007
2.453,14.148,30.054,85.303
2.453,14.190,30.121,84.007
2.454,14.205,30.300,83.512
2.454,14.232,30.044,83.384
2.454,14.219,30.236,83.374
2.454,14.217,30.340,83.346
2.454,14.302,30.276,83.642
2.453,14.411,30.058,84.484
2.454,14.373,29.970,84.648
2.454,14.347,29.899,84.635
2.453,14.356,30.048,84.824
2.453,14.355,29.970,84.950
2.453,14.341,30.048,84.978
6.012,29.507,31.152,87.620
6.013,29.496,30.899,87.686
6.014,29.362,30.840,87.664
6.012,29.454,30.988,87.702
6.012,29.401,30.946,87.695
6.011,29.358,30.826,87.740
6.012,29.678,31.087,87.692
6.013,29.431,31.045,87.666
6.011,29.356,31.159,87.675
6.013,29.371,30.700,87.845
6.013,29.128,30.822,87.857
6.014,29.373,30.580,87.886
6.014,28.808,30.805,87.914
6.014,29.428,30.643,87.885
6.015,29.253,30.708,87.860
6.015,29.325,30.653,87.842
6.016,29.400,30.982,87.785
6.014,29.284,30.681,87.823
6.016,29.140,30.767,87.839
6.016,29.128,30.764,87.799
6.016,29.293,30.590,87.843
6.016,29.258,30.611,87.833
6.015,29.266,30.649,87.851
6.015,29.403,30.725,87.836
6.015,29.318,30.842,87.839
6.014,29.176,30.780,87.832
6.014,29.158,30.799,87.813
6.014,29.310,30.565,87.791
6.014,29.050,30.839,87.803
6.014,29.324,30.904,87.856
6.013,29.275,30.471,87.887
6.014,29.296,30.639,87.929
6.013,29.332,30.665,87.934
6.014,28.663,30.791,87.929
6.014,29.205,30.757,87.906
6.016,29.254,30.829,87.793
6.014,28.961,30.815,87.719
6.014,29.308,30.813,87.755
6.015,29.236,30.811,87.848
6.014,29.191,30.785,87.847
6.015,29.380,30.791,87.784
6.014,29.355,31.007,87.782
6.014,28.771,30.812,87.813
6.014,28.914,30.979,87.826
6.014,29.158,30.912,87.857
6.012,29.320,31.069,87.849
6.014,29.184,31.227,87.845
6.013,29.215,30.917,87.814
6.014,29.122,30.966,87.801
6.012,28.805,30.925,87.808
6.014,29.359,30.915,87.816
6.012,29.373,30.936,87.826
6.012,29.400,30.953,87.787
2.761,16.997,29.878,85.264
2.760,14.975,30.039,84.803
2.761,15.119,29.913,84.725
2.761,15.007,29.962,84.661
2.759,14.974,29.941,84.571
2.758,15.008,29.776,84.563
2.758,15.044,29.905,84.640
2.759,15.100,30.055,84.716
2.758,15.028,30.223,84.764
2.759,15.158,29.899,84.772
2.759,15.207,30.023,84.774
2.758,15.164,29.880,84.852
2.759,15.059,29.961,84.900
6.012,29.122,30.863,87.947
6.014,28.586,30.875,88.122
6.012,28.648,30.708,88.135
6.011,28.755,30.653,88.175
6.011,28.711,30.625,88.236
6.011,28.745,30.924,88.270
6.013,28.576,30.349,88.284
6.010,28.486,30.631,88.247
6.011,28.835,30.515,88.249
2.759,15.360,29.947,84.462
2.759,15.358,29.852,84.600
2.759,15.220,29.768,84.615
2.759,15.290,29.960,84.679
2.760,15.341,30.152,84.723
2.759,15.291,30.168,84.698
2.759,15.352,29.920,84.728
2.760,15.365,30.105,84.762
2.760,15.354,29.874,84.762
2.760,15.348,30.119,84.751
2.759,15.317,30.105,84.747
2.759,15.259,29.825,84.735
2.759,15.216,29.755,84.709
6.011,28.493,30.835,87.932
6.009,28.338,30.600,87.837
6.009,28.121,30.771,87.897
6.010,28.580,30.967,87.943
6.011,28.648,30.650,88.048
6.011,28.733,30.625,87.999
6.011,28.424,30.705,87.913
6.010,28.593,30.884,87.954
6.010,28.635,30.718,87.971
2.759,14.607,30.026,86.971
2.759,14.458,29.814,85.253
2.759,14.443,30.076,84.852
2.759,14.447,30.127,84.772
2.759,14.460,30.143,84.782
2.759,14.456,30.064,84.714
2.759,14.453,29.881,84.684
2.759,14.449,30.048,84.708
2.759,14.453,30.146,84.754
2.759,14.456,29.932,84.808
2.758,14.449,29.850,84.812
2.758,14.455,30.016,84.845
2.758,14.446,30.057,84.835
6.011,28.836,30.541,87.849
6.009,29.203,30.623,87.853
6.010,29.385,30.701,87.889
6.009,29.082,30.561,87.896
6.009,29.082,30.921,87.879
6.011,29.338,30.633,87.790
6.011,29.306,30.534,87.767
6.013,29.197,30.563,87.785
6.012,29.233,30.589,87.768
2.758,15.726,29.983,87.353
2.758,15.395,30.126,84.885
2.758,15.436,30.083,84.660
2.758,15.438,30.010,84.604
