DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
7.000,6.014,28.269,31.402,88.496,86.867
7.042,6.012,28.679,31.559,88.469,86.838
7.083,6.011,28.002,31.593,88.476,86.831
7.125,6.011,28.409,31.742,88.466,86.843
7.167,6.012,28.631,31.809,88.489,86.833
7.208,6.011,28.049,31.598,88.454,86.821
7.250,6.012,28.019,31.854,88.464,86.814
7.292,6.011,28.472,31.638,88.451,86.811
7.375,4.293,21.429,31.593,86.606,85.094
7.417,4.261,21.012,31.283,86.421,84.931
7.458,4.260,21.204,31.373,86.438,84.996
7.500,4.261,20.972,31.301,86.457,85.017
7.542,4.261,20.943,31.219,86.450,85.013
7.583,4.260,21.051,31.054,86.450,85.036
7.625,4.262,21.199,31.101,86.403,84.974
7.667,4.261,21.199,30.986,86.408,84.913
7.708,4.260,21.132,31.254,86.383,84.901
7.750,4.260,21.202,30.869,86.349,84.830
7.792,4.260,20.859,31.298,86.334,84.798
7.833,4.260,21.158,31.353,86.344,84.809
7.875,4.260,20.921,31.068,86.364,84.818
7.958,6.011,29.296,31.746,88.273,86.659
8.000,6.012,29.263,31.697,88.269,86.631
8.042,6.011,29.439,31.422,88.109,86.472
8.083,6.011,29.432,31.336,88.213,86.476
8.125,6.009,29.368,31.577,88.314,86.595
8.167,6.010,29.432,31.352,88.326,86.621
8.208,6.009,29.070,31.435,88.318,86.591
8.250,6.009,29.342,31.384,88.384,86.639
8.292,6.011,29.524,31.461,88.348,86.653
8.375,6.010,29.266,31.600,88.326,86.634
8.417,6.010,29.445,31.470,88.373,86.623
8.458,6.011,29.362,31.448,88.368,86.692
8.500,6.011,29.362,31.590,88.355,86.744
8.542,6.011,29.376,31.705,88.353,86.652
8.583,6.012,29.405,31.464,88.357,86.746
8.625,6.012,29.501,31.716,88.353,86.703
8.667,6.012,29.420,31.585,88.383,86.753
8.708,6.011,29.432,31.599,88.346,86.661
8.750,6.011,29.492,31.573,88.363,86.704
8.792,6.011,29.440,31.747,88.345,86.709
8.833,6.011,29.367,31.801,88.653,86.944
8.875,6.011,29.387,31.623,88.645,86.976
8.958,6.014,29.651,31.846,88.756,87.081
9.000,6.010,29.713,31.758,88.716,87.080
9.042,6.011,29.678,31.768,88.729,87.118
9.083,6.011,29.071,31.613,88.717,87.073
9.125,6.014,29.342,31.519,88.709,87.083
9.167,6.012,29.572,31.440,88.699,86.968
9.208,6.012,29.480,31.268,88.713,87.026
9.250,6.011,29.570,31.447,88.748,87.057
9.292,6.011,29.608,31.734,88.740,87.089
9.375,6.012,29.546,31.605,88.710,87.075
9.417,6.013,29.434,31.574,88.705,87.127
9.458,6.014,29.722,31.756,88.758,87.173
9.500,6.013,29.646,31.926,88.762,87.196
9.542,6.013,29.686,31.480,88.736,87.153
9.583,6.012,29.553,31.363,88.752,87.208
9.625,6.013,29.561,31.534,88.735,87.216
