DOL,CD,FI3312A,TI3302A
41.000,6.014,28.768,89.373
41.042,6.012,28.847,89.352
41.083,6.012,28.392,89.361
41.125,6.011,28.743,89.380
41.167,6.011,28.881,89.383
41.208,6.013,28.842,89.364
41.250,6.012,28.649,89.385
41.292,6.012,28.748,89.646
41.375,6.012,28.825,89.651
41.417,6.013,28.744,89.671
41.458,6.012,28.872,89.628
41.500,6.013,28.776,89.630
41.542,6.013,28.861,89.675
41.583,6.013,28.852,89.682
41.625,6.013,28.937,89.618
41.667,6.013,28.958,89.664
41.708,6.013,28.919,89.679
41.750,6.014,28.883,89.588
41.792,6.015,28.503,89.634
41.833,6.012,29.008,89.650
41.875,6.012,28.838,89.636
41.958,6.014,28.983,89.646
42.000,6.014,28.888,89.637
42.042,6.014,29.005,89.638
42.083,6.012,28.509,89.609
42.125,6.013,28.646,89.595
42.167,6.014,28.861,89.610
42.208,6.012,28.844,89.642
42.250,6.012,28.857,89.636
42.292,6.011,28.992,89.654
42.375,6.012,28.653,88.721
42.417,6.012,28.847,88.729
42.458,6.013,28.041,88.748
42.500,6.013,28.503,88.733
42.542,6.013,28.130,88.738
42.583,6.013,28.861,88.709
42.625,6.014,28.596,88.736
42.667,6.013,28.166,88.705
42.708,6.012,28.744,88.701
42.750,6.013,28.621,88.902
42.792,6.012,28.134,88.985
42.833,6.013,28.562,89.009
42.875,6.013,28.816,88.997
42.958,6.012,28.283,88.994
43.000,6.013,28.914,88.997
43.042,6.014,28.829,89.004
43.083,6.015,28.869,89.002
43.125,6.014,28.809,88.983
43.167,6.014,28.537,88.965
43.208,6.013,28.176,88.980
43.250,6.012,28.266,88.990
43.292,6.013,28.827,88.907
43.375,6.012,28.474,89.039
43.417,6.013,28.949,89.037
43.458,6.013,28.801,89.075
43.500,6.013,28.805,88.982
43.542,6.015,28.912,88.695
43.583,6.015,28.445,88.680
43.625,6.016,28.043,88.709
43.667,6.015,28.869,88.680
43.708,6.014,28.597,88.638
43.750,6.015,28.139,88.617
43.792,6.014,28.801,88.613
43.833,6.014,28.258,88.624
43.875,6.014,28.227,88.580
43.958,6.014,28.576,88.773
44.000,6.014,28.785,88.992
44.042,6.014,28.328,89.001
44.083,6.014,28.495,88.983
44.125,6.012,28.856,88.977
44.167,6.012,28.254,88.969
44.208,6.013,28.755,88.965
44.250,6.015,28.485,88.977
44.292,6.012,28.463,88.964
44.375,6.012,28.883,88.996
44.417,6.013,28.829,88.972
44.458,6.013,28.486,89.018
44.500,6.015,28.987,89.053
44.542,6.017,28.990,88.992
44.583,6.013,29.085,89.029
44.625,6.014,29.143,89.100
44.667,6.015,28.888,88.757
44.708,6.014,28.968,88.683
44.750,6.015,28.303,88.678
44.792,6.015,28.231,88.670
44.833,6.014,28.327,88.679
44.875,6.013,28.710,88.638
44.958,6.015,28.142,88.645
45.000,6.013,28.726,88.625
45.042,6.013,28.845,88.646
45.083,6.014,28.644,88.643
45.125,6.014,28.200,88.621
45.167,6.012,28.355,88.621
45.208,6.013,28.343,88.629
45.250,6.014,28.438,88.639
45.292,6.012,28.746,88.656
45.375,6.013,28.166,88.675
45.417,6.013,28.032,88.754
45.458,6.014,28.381,88.789
45.500,6.014,28.575,88.795
45.542,6.014,28.280,88.807
45.583,6.015,28.891,88.750
45.625,6.016,28.868,88.739
45.667,6.016,28.142,88.700
45.708,6.014,28.854,88.705
45.750,6.016,28.698,88.702
45.792,6.015,28.762,88.695
45.833,6.016,29.055,88.705
45.875,6.014,28.915,88.707
45.958,6.012,28.437,88.644
46.000,6.014,28.790,88.665
46.042,6.014,28.121,88.663
46.083,6.015,28.817,88.672
46.125,6.014,28.662,88.651
46.167,6.014,28.036,88.652
46.208,6.014,28.186,88.652
46.250,6.016,28.838,88.637
46.292,6.017,28.636,88.630
46.375,6.014,29.564,88.664
46.417,6.014,29.317,88.707
46.458,6.018,29.660,88.693
46.500,6.016,29.465,88.646
46.542,6.018,29.205,88.705
46.583,6.017,29.456,88.681
46.625,6.015,29.061,88.716
46.667,6.016,29.575,88.707
46.708,6.015,29.086,88.672
46.750,6.019,29.090,88.639
46.792,6.016,29.478,88.604
46.833,6.017,29.448,88.593
46.875,6.017,28.937,88.598
46.958,6.017,28.655,88.605
47.000,6.014,28.954,88.590
47.042,6.014,28.526,88.594
47.083,6.015,29.200,88.580
47.125,6.014,29.306,88.604
47.167,6.012,28.833,88.605
47.208,6.012,29.280,88.613
47.250,6.013,28.943,88.674
47.292,6.014,29.082,88.665
47.375,6.014,29.550,88.638
47.417,6.014,29.580,88.673
47.458,6.015,29.615,88.664
47.500,6.015,29.371,88.661
47.542,6.015,29.315,88.714
47.583,6.016,29.350,88.720
47.625,6.015,29.294,88.719
47.667,6.016,28.748,88.679
47.708,6.016,29.430,88.671
47.750,6.014,28.919,88.615
47.792,6.014,29.521,88.634
47.833,6.016,29.250,88.599
47.875,6.015,29.439,88.597
47.958,6.015,28.864,88.592
48.000,6.014,29.363,88.599
48.042,6.014,28.628,88.609
48.083,6.015,29.086,88.605
48.125,6.014,29.314,88.611
48.167,6.013,28.689,88.627
48.208,6.014,28.713,88.541
48.250,6.014,29.486,88.615
48.292,6.013,29.621,88.606
48.375,6.014,29.062,88.641
48.417,6.014,29.113,88.654
48.458,6.013,29.092,88.636
48.500,5.211,28.259,86.310
48.542,5.578,28.677,87.641
48.583,6.011,29.023,88.975
48.625,6.013,29.273,89.048
48.667,6.013,29.212,89.041
48.708,6.014,29.125,88.966
48.750,6.013,29.100,88.948
48.792,6.010,29.418,88.992
48.833,6.012,28.666,89.019
48.875,6.014,28.547,89.047
48.958,6.012,29.245,89.044
49.000,6.014,28.692,88.946
49.042,6.015,28.844,88.965
49.083,6.013,28.811,88.955
49.125,6.012,29.325,88.925
49.167,6.013,29.179,88.927
49.208,6.011,28.929,88.932
49.250,6.012,28.946,88.929
49.292,6.011,28.853,88.986
49.375,6.013,29.068,89.099
49.417,6.014,28.818,89.061
49.458,5.672,29.376,88.002
49.500,5.671,29.090,88.108
49.542,6.010,28.572,89.243
49.583,6.008,29.052,89.281
49.625,6.008,28.690,89.061
49.667,6.009,29.254,89.045
49.708,6.010,28.791,89.050
49.750,6.011,29.233,89.036
49.792,6.010,29.396,89.037
49.833,6.010,29.268,89.033
49.875,6.011,29.346,88.968
49.958,6.009,29.185,89.053
50.000,6.010,29.140,89.069
50.042,6.011,28.844,89.057
50.083,6.009,29.187,89.053
50.125,6.009,29.273,89.044
50.167,6.009,29.293,89.065
50.208,6.010,28.715,89.067
50.250,6.010,28.975,89.060
50.292,6.009,28.879,89.049
50.375,6.009,29.182,89.043
50.417,6.010,29.280,89.067
50.458,6.009,29.158,89.051
50.500,6.010,28.602,89.057
50.542,6.011,29.148,89.094
50.583,6.010,28.628,89.080
50.625,6.011,29.033,88.993
50.667,6.010,28.966,89.058
50.708,6.010,29.106,88.945
50.750,6.010,29.335,88.965
50.792,6.012,29.657,89.001
50.833,6.011,28.992,88.982
50.875,6.011,29.363,88.984
50.958,6.011,29.055,88.977
51.000,6.010,29.725,89.268
51.042,6.012,29.736,89.321
51.083,6.011,29.749,89.310
51.125,6.011,29.449,89.334
51.167,6.011,29.614,89.355
51.208,6.010,29.588,89.318
51.250,6.010,29.923,89.254
51.292,6.010,29.745,89.261
51.375,6.011,29.124,89.342
51.417,6.014,29.756,89.385
51.458,6.014,29.951,89.373
51.500,6.014,29.076,89.323
51.542,6.014,29.510,89.406
51.583,6.013,29.886,89.433
51.625,6.014,29.992,89.140
51.667,6.014,29.732,89.030
51.708,6.013,29.460,88.990
51.750,6.013,29.285,88.966
51.792,6.014,29.079,89.005
51.833,6.014,29.908,88.996
51.875,6.014,29.193,89.019
51.958,6.014,29.193,89.286
52.000,6.013,29.359,89.307
52.042,6.014,29.944,89.288
52.083,6.015,30.050,89.297
52.125,6.013,30.153,89.286
52.167,6.012,30.011,89.275
52.208,6.012,30.026,89.298
52.250,6.012,30.277,89.261
52.292,6.011,29.464,89.319
52.375,6.012,29.535,89.376
52.417,6.013,29.859,89.343
52.458,6.012,29.903,89.382
52.500,6.013,29.918,89.366
52.542,6.013,29.622,89.365
52.583,6.014,29.633,89.354
52.625,6.012,29.363,89.363
52.667,6.012,29.847,89.352
52.708,6.013,29.761,89.357
52.750,6.013,29.860,89.336
52.792,6.012,29.807,89.317
52.833,6.012,29.530,89.319
52.875,6.014,29.856,89.322
52.958,6.012,29.822,89.336
53.000,6.012,29.609,89.341
53.042,6.013,29.667,89.314
53.083,6.014,29.076,89.315
53.125,6.014,29.928,89.313
53.167,6.014,29.159,89.321
53.208,6.013,29.222,89.346
53.250,6.013,29.610,89.360
53.292,6.013,29.964,89.360
53.375,6.014,29.455,89.414
53.417,6.014,29.872,89.392
53.458,6.014,29.904,89.417
53.500,6.015,29.882,89.450
53.542,6.014,29.726,89.474
53.583,6.015,30.028,89.465
53.625,6.014,29.928,89.394
53.667,6.014,30.285,89.347
53.708,6.015,29.453,89.029
53.750,6.014,29.974,89.012
53.792,6.014,30.161,89.051
53.833,6.013,29.428,89.074
53.875,6.014,30.020,89.092
53.958,6.014,29.934,89.079
54.000,6.014,29.502,89.043
54.042,6.014,29.627,89.052
54.083,6.013,30.159,89.011
54.125,6.014,29.475,89.016
54.167,6.013,29.427,89.015
54.208,6.015,29.368,89.026
54.250,6.014,30.036,89.036
54.292,6.014,30.083,89.002
54.375,6.014,29.394,89.083
54.417,6.013,30.137,89.075
54.458,6.014,29.352,89.129
54.500,6.015,29.317,89.192
54.542,6.014,30.091,89.156
54.583,6.014,29.554,89.157
54.625,6.015,30.157,89.138
54.667,6.015,29.971,89.117
54.708,6.015,29.886,89.111
54.750,6.015,30.083,89.074
54.792,6.016,29.718,88.976
54.833,6.014,30.002,88.902
54.875,6.015,29.432,88.883
54.958,6.014,30.139,88.959
55.000,6.015,29.252,89.007
55.042,6.013,29.130,88.980
55.083,6.014,29.922,88.961
55.125,6.012,30.128,88.969
55.167,6.012,29.485,88.999
55.208,6.013,30.178,88.985
55.250,6.013,29.420,88.986
55.292,6.013,30.309,88.993
55.375,6.011,30.024,89.009
55.417,6.014,30.137,89.040
55.458,6.014,29.300,89.088
55.500,6.014,29.674,89.126
55.542,6.014,29.358,89.113
55.583,6.016,30.147,89.081
55.625,6.014,30.159,89.056
55.667,6.015,29.370,88.993
55.708,6.014,30.269,88.985
55.750,6.015,29.871,88.942
55.792,6.015,29.548,88.919
55.833,6.014,30.158,88.932
55.875,6.014,29.328,88.953
55.958,6.015,30.131,88.950
56.000,6.013,29.833,88.929
56.042,6.013,30.141,88.922
56.083,6.013,29.857,88.919
56.125,6.014,30.056,88.905
56.167,6.013,29.727,88.912
56.208,6.013,29.751,88.916
56.250,6.015,29.966,88.956
56.292,6.013,29.902,88.976
56.375,6.014,30.355,88.913
56.417,6.014,29.727,88.958
56.458,6.014,30.304,89.003
56.500,6.015,30.115,89.057
56.542,6.014,29.546,89.076
56.583,6.014,30.084,89.023
56.625,6.015,29.478,89.019
56.667,6.015,29.930,88.866
56.708,6.015,30.561,88.924
56.750,6.015,29.817,88.897
56.792,6.014,30.413,88.874
56.833,6.014,30.462,88.869
56.875,6.015,30.020,88.966
56.958,6.013,29.532,88.982
57.000,6.014,29.401,88.961
57.042,6.015,30.183,88.972
57.083,6.014,30.167,88.925
57.125,6.013,29.604,88.910
57.167,6.013,29.443,88.939
57.208,6.014,30.160,88.972
57.250,6.014,29.892,88.959
57.292,6.014,30.119,88.962
57.375,6.014,30.416,88.976
57.417,6.014,29.509,88.952
57.458,6.014,29.570,88.977
57.500,6.015,29.924,89.018
57.542,6.015,29.626,89.050
57.583,6.014,29.536,89.068
57.625,6.014,30.359,89.059
57.667,6.013,30.256,89.045
57.708,6.014,30.053,89.011
57.750,6.014,29.434,88.974
57.792,6.014,30.306,88.934
57.833,6.014,29.465,88.923
57.875,6.012,30.205,88.933
57.958,6.013,30.221,88.976
58.000,6.013,29.897,88.958
58.042,6.013,30.066,88.972
58.083,6.013,30.125,88.958
58.125,6.012,29.750,88.939
58.167,6.011,29.848,88.957
58.208,6.012,29.591,88.992
58.250,6.013,30.190,88.977
58.292,6.012,30.107,88.968
58.375,6.014,30.262,88.621
58.417,6.014,29.357,88.630
58.458,6.014,30.109,88.669
58.500,6.014,30.121,88.682
58.542,6.016,29.440,88.737
58.583,6.015,29.766,88.738
58.625,6.015,29.487,88.711
58.667,6.017,29.787,88.641
58.708,6.017,29.516,88.591
58.750,6.016,30.173,88.632
58.792,6.016,30.088,88.947
58.833,6.014,30.024,88.980
58.875,6.016,29.593,88.964
58.958,6.016,29.792,88.967
59.000,6.016,29.444,88.988
59.042,6.016,29.359,88.967
59.083,6.016,29.976,88.943
59.125,6.013,29.651,88.949
59.167,6.014,29.961,88.964
59.208,6.014,29.885,88.966
59.250,6.014,29.815,88.967
59.292,6.013,29.754,88.967
59.375,6.014,29.686,89.014
59.417,6.016,30.075,89.026
59.458,6.015,29.597,89.049
59.500,6.016,30.206,89.103
59.542,6.016,29.232,89.100
59.583,6.016,30.167,89.105
59.625,6.016,30.036,89.050
59.667,6.015,29.333,88.950
59.708,6.015,29.302,88.959
59.750,6.016,30.319,88.952
59.792,6.015,29.724,88.929
59.833,6.015,30.046,88.930
59.875,6.015,29.847,88.955
59.958,6.015,29.840,88.957
60.000,6.014,29.886,89.030
60.042,6.013,29.200,89.003
60.083,6.011,29.031,89.033
60.125,6.012,29.960,89.038
60.167,6.013,29.645,89.024
60.208,6.013,29.690,89.032
60.250,6.014,29.428,89.034
60.292,6.013,29.396,89.006
60.375,6.014,29.292,89.025
60.417,6.015,29.773,89.065
60.458,6.015,29.510,89.082
60.500,6.015,29.980,89.105
60.542,6.014,29.747,89.108
60.583,6.016,29.397,89.105
60.625,6.015,29.700,89.030
60.667,6.016,29.662,89.056
60.708,6.017,29.278,89.035
60.750,6.015,29.684,89.025
60.792,6.015,30.047,89.022
60.833,6.015,29.087,89.043
60.875,6.015,29.135,89.017
60.958,6.013,29.744,89.004
61.000,6.014,29.906,89.040
61.042,6.015,29.686,89.055
61.083,6.015,30.221,89.020
61.125,6.015,29.840,89.011
61.167,6.016,29.422,88.946
61.208,6.014,29.358,88.956
61.250,6.015,29.937,89.030
61.292,6.016,29.097,89.037
61.375,6.015,29.928,89.095
61.417,6.015,29.485,89.176
61.458,6.017,29.458,89.203
61.500,6.017,29.273,89.173
61.542,6.017,30.228,89.157
61.583,6.016,30.097,89.165
61.625,6.016,29.586,89.052
61.667,6.014,29.285,89.013
61.708,6.016,29.465,89.034
61.750,6.014,29.766,88.978
61.792,6.014,29.647,88.982
61.833,6.015,29.692,88.989
61.875,6.015,29.331,88.978
61.958,6.014,29.684,89.054
62.000,6.015,30.100,89.005
62.042,6.015,29.393,88.995
62.083,6.015,29.495,88.955
62.125,6.014,29.024,88.957
62.167,6.015,29.497,88.961
62.208,6.015,29.891,89.004
62.250,6.015,29.638,88.924
62.292,6.013,29.790,88.992
62.375,6.012,29.723,89.045
62.417,6.014,29.860,89.030
62.458,6.012,29.797,89.013
62.500,6.013,29.986,89.035
62.542,6.015,29.462,89.027
62.583,6.013,29.463,89.075
62.625,6.014,29.246,89.076
62.667,6.013,30.064,89.063
62.708,6.014,29.705,89.126
62.750,6.012,29.084,89.023
62.792,6.014,30.386,88.969
62.833,6.011,30.255,88.946
62.875,6.014,30.202,88.944
62.958,6.014,29.672,88.947
63.000,6.013,30.368,88.920
63.042,6.014,30.480,89.158
63.083,6.014,30.394,89.236
63.125,6.014,30.282,89.251
63.167,6.014,30.486,89.215
63.208,6.014,30.366,89.225
63.250,6.014,30.054,89.224
63.292,6.012,29.650,89.185
63.375,4.247,24.899,89.589
63.417,2.451,13.575,86.229
63.458,2.452,13.596,85.606
63.500,2.451,13.565,85.477
63.542,2.451,13.570,85.513
63.583,2.452,13.604,85.569
63.625,2.453,13.641,85.580
63.667,2.453,13.611,85.528
63.708,2.452,13.601,85.440
63.750,2.452,13.579,85.446
63.792,2.451,13.523,85.440
63.833,2.451,13.450,85.452
63.875,2.452,13.436,85.423
63.958,6.010,30.046,88.872
64.000,6.009,29.862,88.939
64.042,6.010,29.112,88.916
64.083,6.010,29.907,88.904
64.125,6.009,29.257,88.933
64.167,6.009,29.704,88.929
64.208,6.009,29.385,88.946
64.250,6.009,29.394,88.945
64.292,6.009,29.126,88.922
64.375,2.756,14.648,85.998
64.417,2.756,14.652,85.490
64.458,2.757,14.611,85.404
64.500,2.756,14.630,85.413
64.542,2.757,14.745,85.415
64.583,2.757,14.756,85.446
64.625,2.758,14.864,85.466
64.667,2.757,14.896,85.459
64.708,2.757,14.890,85.442
64.750,2.758,14.939,85.437
64.792,2.757,14.896,85.403
64.833,2.757,14.810,85.435
64.875,2.756,14.856,85.477
64.958,6.010,29.593,89.263
65.000,6.008,29.890,88.910
65.042,6.009,29.655,88.927
65.083,6.008,29.677,89.003
65.125,6.008,29.913,89.020
65.167,6.007,29.544,89.041
65.208,6.008,29.802,89.029
65.250,6.008,29.365,89.008
65.292,6.008,29.179,88.983
65.375,6.008,29.847,89.031
65.417,6.010,29.737,89.123
65.458,6.011,29.710,89.180
65.500,6.012,29.958,89.201
65.542,6.012,29.954,89.140
65.583,6.013,29.838,89.120
65.625,6.013,29.820,89.026
65.667,6.011,29.740,89.052
65.708,6.011,30.047,89.110
65.750,6.013,29.578,89.104
65.792,6.012,30.330,89.085
65.833,6.012,29.919,89.095
65.875,6.012,29.878,89.117
65.958,6.011,29.298,89.089
66.000,6.010,29.932,89.086
66.042,6.012,29.992,89.097
66.083,6.010,29.697,89.057
66.125,6.010,29.621,89.063
66.167,6.009,29.819,89.053
66.208,6.009,29.833,89.063
66.250,6.010,29.841,89.075
66.292,6.011,29.270,89.078
66.375,2.726,14.908,84.726
66.417,2.726,14.853,84.068
66.458,2.726,14.866,83.869
66.500,2.727,14.925,83.816
66.542,2.727,14.974,83.819
66.583,2.726,14.990,83.802
66.625,2.726,14.968,83.831
66.667,3.309,17.416,85.024
66.708,3.309,17.036,85.598
66.750,3.308,17.223,85.985
66.792,3.307,17.263,86.096
66.833,3.307,17.287,86.117
66.875,3.308,17.283,86.132
66.958,6.009,29.013,88.990
67.000,6.008,29.796,89.178
67.042,6.009,29.725,89.290
67.083,6.010,29.853,89.324
67.125,6.012,29.838,89.314
67.167,6.010,29.836,89.293
67.208,6.010,29.151,89.324
67.250,6.011,29.851,89.271
67.292,6.010,28.912,89.166
67.375,3.282,16.295,86.205
67.417,3.282,16.379,85.639
67.458,3.283,16.306,85.523
67.500,3.282,16.318,85.554
67.542,3.282,16.300,85.549
67.583,3.282,16.288,85.506
67.625,3.281,16.286,85.496
67.667,3.281,16.447,85.461
67.708,3.280,17.120,85.311
67.750,3.280,17.149,84.836
67.792,2.759,14.970,83.755
67.833,2.758,14.979,84.083
67.875,2.759,15.018,84.335
67.958,6.012,28.846,88.826
68.000,6.012,29.458,89.174
68.042,6.012,29.470,89.273
68.083,6.013,29.238,89.253
68.125,6.011,29.080,89.157
68.167,6.010,29.110,89.117
68.208,6.011,28.754,89.089
68.250,6.012,29.297,89.118
68.292,6.013,29.117,89.164
68.375,6.012,28.928,89.254
68.417,6.015,28.748,89.304
68.458,6.016,28.985,89.282
68.500,6.016,29.359,89.284
68.542,6.015,29.265,89.227
68.583,6.014,28.689,89.136
68.625,6.012,29.108,88.744
68.667,6.012,28.462,88.261
68.708,6.015,29.588,87.719
68.750,6.015,28.985,87.755
68.792,6.016,29.468,87.696
68.833,6.014,29.386,87.670
68.875,6.014,28.941,87.665
68.958,6.014,29.471,87.607
69.000,6.012,29.353,87.573
69.042,6.011,28.713,87.702
69.083,6.012,29.206,87.647
69.125,6.010,29.110,87.609
69.167,6.010,29.366,87.687
69.208,6.012,29.399,87.705
69.250,6.011,29.392,87.660
69.292,6.010,28.658,87.684
69.375,6.014,28.925,87.760
69.417,6.014,28.963,87.789
69.458,6.014,29.660,87.753
69.500,6.015,29.422,87.813
69.542,6.016,29.505,87.804
69.583,6.016,28.956,87.761
69.625,6.016,29.627,87.736
69.667,6.016,29.189,87.721
69.708,6.015,29.485,87.707
69.750,6.015,29.506,87.705
69.792,6.016,29.055,87.697
69.833,6.015,29.263,87.711
69.875,6.015,28.991,87.722
69.958,6.013,29.587,87.583
70.000,6.014,29.233,87.697
70.042,6.014,29.473,87.693
70.083,6.015,29.401,87.672
70.125,6.013,28.807,87.668
70.167,6.014,29.373,87.681
70.208,6.013,28.874,87.688
70.250,6.013,28.734,87.680
70.292,6.013,29.253,87.714
70.375,3.039,17.906,87.625
70.417,2.456,14.133,85.276
70.458,2.455,14.140,84.899
70.500,2.455,14.120,84.878
70.542,2.455,14.181,84.881
70.583,2.455,14.159,84.809
70.625,2.454,14.156,84.792
70.667,2.454,14.120,84.775
70.708,2.454,14.125,84.811
70.750,2.452,14.059,84.720
70.792,2.453,14.064,84.693
70.833,2.452,13.981,84.626
70.875,2.453,14.051,84.724
70.958,6.012,29.036,87.867
71.000,6.012,28.892,87.809
71.042,6.014,28.839,87.867
71.083,6.013,29.203,87.931
71.125,6.013,28.615,87.880
71.167,6.012,28.883,87.706
71.208,6.012,28.343,87.566
71.250,6.011,29.576,87.609
71.292,6.012,28.744,87.699
71.375,2.728,15.047,88.530
71.417,2.453,13.586,85.416
71.458,2.453,13.569,84.864
71.500,2.452,13.470,84.628
71.542,2.453,13.535,84.562
71.583,2.452,13.533,84.547
71.625,2.452,13.539,84.520
71.667,2.452,13.634,84.554
71.708,2.453,13.584,84.672
71.750,2.453,13.553,84.655
71.792,2.452,13.550,84.673
71.833,2.452,13.519,84.679
71.875,2.452,13.526,84.739
71.958,6.013,28.553,88.030
72.000,6.012,28.266,87.909
72.042,6.013,28.294,87.896
72.083,6.011,28.295,87.905
72.125,6.011,28.459,87.905
72.167,6.011,28.138,87.876
72.208,6.012,28.076,87.878
72.250,6.011,28.513,87.915
72.292,6.012,28.059,87.900
72.375,3.219,15.995,85.149
72.417,2.454,14.876,82.888
72.458,2.454,14.866,83.503
72.500,2.454,14.756,84.287
72.542,2.453,14.746,84.444
72.583,2.453,14.767,84.496
72.625,2.453,14.763,84.532
72.667,2.453,14.716,84.542
72.708,2.453,14.719,84.546
72.750,2.453,14.703,84.559
72.792,2.454,14.746,84.571
72.833,2.452,14.744,84.596
72.875,2.452,14.729,84.608
72.958,6.011,29.574,88.856
73.000,6.013,29.067,88.881
73.042,6.012,29.714,88.900
73.083,6.012,29.645,88.945
73.125,6.012,29.616,89.036
73.167,6.012,29.706,89.058
73.208,6.013,29.595,89.103
73.250,6.012,29.585,89.061
73.292,6.013,29.157,89.048
73.375,2.454,14.140,85.446
73.417,2.454,14.725,84.831
73.458,2.454,14.742,84.688
73.500,2.454,14.749,84.635
73.542,2.452,14.714,84.603
73.583,2.453,14.826,84.566
73.625,2.453,14.815,84.552
73.667,2.453,14.941,84.483
73.708,2.453,14.947,84.489
73.750,2.452,14.950,84.518
73.792,2.452,14.950,84.563
73.833,2.453,14.965,84.584
73.875,2.452,14.862,84.578
73.958,6.012,29.458,88.890
74.000,6.013,29.840,89.008
74.042,6.013,29.958,88.978
74.083,6.011,29.945,88.934
74.125,6.011,29.803,88.954
74.167,6.011,29.892,88.995
74.208,6.011,29.909,89.012
74.250,6.012,29.595,89.057
74.292,6.011,29.871,89.007
74.375,2.453,14.148,85.303
74.417,2.453,14.190,84.007
74.458,2.454,14.205,83.512
74.500,2.454,14.232,83.384
74.542,2.454,14.219,83.374
74.583,2.454,14.217,83.346
74.625,2.454,14.302,83.642
74.667,2.453,14.411,84.484
74.708,2.454,14.373,84.648
74.750,2.454,14.347,84.635
74.792,2.453,14.356,84.824
74.833,2.453,14.355,84.950
74.875,2.453,14.341,84.978
74.958,6.012,29.507,87.620
75.000,6.013,29.496,87.686
75.042,6.014,29.362,87.664
75.083,6.012,29.454,87.702
75.125,6.012,29.401,87.695
75.167,6.011,29.358,87.740
75.208,6.012,29.678,87.692
75.250,6.013,29.431,87.666
75.292,6.011,29.356,87.675
75.375,6.013,29.371,87.845
75.417,6.013,29.128,87.857
75.458,6.014,29.373,87.886
75.500,6.014,28.808,87.914
75.542,6.014,29.428,87.885
75.583,6.015,29.253,87.860
75.625,6.015,29.325,87.842
75.667,6.016,29.400,87.785
75.708,6.014,29.284,87.823
75.750,6.016,29.140,87.839
75.792,6.016,29.128,87.799
75.833,6.016,29.293,87.843
75.875,6.016,29.258,87.833
75.958,6.015,29.266,87.851
76.000,6.015,29.403,87.836
76.042,6.015,29.318,87.839
76.083,6.014,29.176,87.832
76.125,6.014,29.158,87.813
76.167,6.014,29.310,87.791
76.208,6.014,29.050,87.803
76.250,6.014,29.324,87.856
76.292,6.013,29.275,87.887
76.375,6.014,29.296,87.929
76.417,6.013,29.332,87.934
76.458,6.014,28.663,87.929
76.500,6.014,29.205,87.906
76.542,6.016,29.254,87.793
76.583,6.014,28.961,87.719
76.625,6.014,29.308,87.755
76.667,6.015,29.236,87.848
76.708,6.014,29.191,87.847
76.750,6.015,29.380,87.784
76.792,6.014,29.355,87.782
76.833,6.014,28.771,87.813
76.875,6.014,28.914,87.826
76.958,6.014,29.158,87.857
77.000,6.012,29.320,87.849
77.042,6.014,29.184,87.845
77.083,6.013,29.215,87.814
77.125,6.014,29.122,87.801
77.167,6.012,28.805,87.808
77.208,6.014,29.359,87.816
77.250,6.012,29.373,87.826
77.292,6.012,29.400,87.787
77.375,2.761,16.997,85.264
77.417,2.760,14.975,84.803
77.458,2.761,15.119,84.725
77.500,2.761,15.007,84.661
77.542,2.759,14.974,84.571
77.583,2.758,15.008,84.563
77.625,2.758,15.044,84.640
77.667,2.759,15.100,84.716
77.708,2.758,15.028,84.764
77.750,2.759,15.158,84.772
77.792,2.759,15.207,84.774
77.833,2.758,15.164,84.852
77.875,2.759,15.059,84.900
77.958,6.012,29.122,87.947
78.000,6.014,28.586,88.122
78.042,6.012,28.648,88.135
78.083,6.011,28.755,88.175
78.125,6.011,28.711,88.236
78.167,6.011,28.745,88.270
78.208,6.013,28.576,88.284
78.250,6.010,28.486,88.247
78.292,6.011,28.835,88.249
78.375,2.759,15.360,84.462
78.417,2.759,15.358,84.600
78.458,2.759,15.220,84.615
78.500,2.759,15.290,84.679
78.542,2.760,15.341,84.723
78.583,2.759,15.291,84.698
78.625,2.759,15.352,84.728
78.667,2.760,15.365,84.762
78.708,2.760,15.354,84.762
78.750,2.760,15.348,84.751
78.792,2.759,15.317,84.747
78.833,2.759,15.259,84.735
78.875,2.759,15.216,84.709
78.958,6.011,28.493,87.932
79.000,6.009,28.338,87.837
79.042,6.009,28.121,87.897
79.083,6.010,28.580,87.943
79.125,6.011,28.648,88.048
79.167,6.011,28.733,87.999
79.208,6.011,28.424,87.913
79.250,6.010,28.593,87.954
79.292,6.010,28.635,87.971
79.375,2.759,14.607,86.971
79.417,2.759,14.458,85.253
79.458,2.759,14.443,84.852
79.500,2.759,14.447,84.772
79.542,2.759,14.460,84.782
79.583,2.759,14.456,84.714
79.625,2.759,14.453,84.684
79.667,2.759,14.449,84.708
79.708,2.759,14.453,84.754
79.750,2.759,14.456,84.808
79.792,2.758,14.449,84.812
79.833,2.758,14.455,84.845
79.875,2.758,14.446,84.835
79.958,6.011,28.836,87.849
80.000,6.009,29.203,87.853
80.042,6.010,29.385,87.889
80.083,6.009,29.082,87.896
80.125,6.009,29.082,87.879
80.167,6.011,29.338,87.790
80.208,6.011,29.306,87.767
80.250,6.013,29.197,87.785
80.292,6.012,29.233,87.768
80.375,2.758,15.726,87.353
80.417,2.758,15.395,84.885
80.458,2.758,15.436,84.660
80.500,2.758,15.438,84.604
80.542,2.758,15.489,84.586
80.583,2.759,15.515,84.592
80.625,2.759,15.519,84.588
