DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
61.375,6.015,29.928,30.813,89.095,87.530
61.417,6.015,29.485,30.801,89.176,87.671
61.458,6.017,29.458,31.009,89.203,87.700
61.500,6.017,29.273,30.776,89.173,87.588
61.542,6.017,30.228,30.639,89.157,87.592
61.583,6.016,30.097,30.532,89.165,87.618
61.625,6.016,29.586,30.898,89.052,87.404
61.667,6.014,29.285,30.660,89.013,87.473
61.708,6.016,29.465,30.376,89.034,87.459
61.750,6.014,29.766,30.662,88.978,87.407
61.792,6.014,29.647,30.710,88.982,87.418
61.833,6.015,29.692,30.644,88.989,87.423
61.875,6.015,29.331,30.600,88.978,87.432
61.958,6.014,29.684,30.792,89.054,87.455
62.000,6.015,30.100,30.596,89.005,87.435
62.042,6.015,29.393,30.737,88.995,87.437
62.083,6.015,29.495,30.572,88.955,87.422
62.125,6.014,29.024,30.797,88.957,87.394
62.167,6.015,29.497,30.654,88.961,87.395
62.208,6.015,29.891,30.738,89.004,87.412
62.250,6.015,29.638,30.369,88.924,87.329
62.292,6.013,29.790,30.481,88.992,87.315
62.375,6.012,29.723,30.154,89.045,87.402
62.417,6.014,29.860,30.666,89.030,87.429
62.458,6.012,29.797,30.536,89.013,87.341
62.500,6.013,29.986,30.362,89.035,87.511
62.542,6.015,29.462,30.517,89.027,87.472
62.583,6.013,29.463,30.311,89.075,87.523
62.625,6.014,29.246,30.655,89.076,87.468
62.667,6.013,30.064,30.615,89.063,87.464
62.708,6.014,29.705,30.532,89.126,87.519
62.750,6.012,29.084,30.520,89.023,87.427
62.792,6.014,30.386,30.359,88.969,87.317
62.833,6.011,30.255,30.650,88.946,87.342
62.875,6.014,30.202,30.553,88.944,87.317
62.958,6.014,29.672,30.465,88.947,87.361
63.000,6.013,30.368,30.726,88.920,87.325
63.042,6.014,30.480,30.545,89.158,87.531
63.083,6.014,30.394,30.489,89.236,87.632
63.125,6.014,30.282,30.523,89.251,87.736
63.167,6.014,30.486,30.342,89.215,87.595
63.208,6.014,30.366,30.337,89.225,87.593
63.250,6.014,30.054,30.248,89.224,87.573
63.292,6.012,29.650,30.285,89.185,87.518
63.375,4.247,24.899,29.420,89.589,87.942
63.417,2.451,13.575,30.126,86.229,84.779
63.458,2.452,13.596,30.405,85.606,84.255
63.500,2.451,13.565,30.311,85.477,84.127
63.542,2.451,13.570,30.466,85.513,84.211
63.583,2.452,13.604,30.514,85.569,84.280
63.625,2.453,13.641,30.679,85.580,84.290
63.667,2.453,13.611,30.110,85.528,84.205
63.708,2.452,13.601,30.263,85.440,84.160
63.750,2.452,13.579,30.385,85.446,84.063
63.792,2.451,13.523,30.030,85.440,83.974
63.833,2.451,13.450,30.519,85.452,84.005
63.875,2.452,13.436,30.038,85.423,83.895
63.958,6.010,30.046,31.413,88.872,87.291
64.000,6.009,29.862,31.191,88.939,87.247
64.042,6.010,29.112,31.109,88.916,87.236
64.083,6.010,29.907,31.177,88.904,87.298
64.125,6.009,29.257,31.180,88.933,87.283
64.167,6.009,29.704,31.074,88.929,87.374
64.208,6.009,29.385,31.175,88.946,87.401
64.250,6.009,29.394,31.123,88.945,87.376
64.292,6.009,29.126,31.048,88.922,87.372
64.375,2.756,14.648,30.486,85.998,84.571
64.417,2.756,14.652,30.683,85.490,84.104
64.458,2.757,14.611,30.398,85.404,83.917
64.500,2.756,14.630,30.521,85.413,83.981
64.542,2.757,14.745,30.393,85.415,84.129
64.583,2.757,14.756,30.462,85.446,84.081
64.625,2.758,14.864,30.557,85.466,84.100
64.667,2.757,14.896,30.439,85.459,84.096
64.708,2.757,14.890,30.534,85.442,83.999
64.750,2.758,14.939,30.405,85.437,84.011
64.792,2.757,14.896,30.121,85.403,83.940
64.833,2.757,14.810,30.454,85.435,83.973
64.875,2.756,14.856,30.188,85.477,84.026
64.958,6.010,29.593,31.093,89.263,87.675
65.000,6.008,29.890,30.989,88.910,87.314
65.042,6.009,29.655,31.003,88.927,87.311
65.083,6.008,29.677,30.959,89.003,87.335
65.125,6.008,29.913,30.988,89.020,87.396
65.167,6.007,29.544,30.816,89.041,87.334
65.208,6.008,29.802,31.012,89.029,87.360
65.250,6.008,29.365,30.969,89.008,87.401
65.292,6.008,29.179,30.952,88.983,87.373
65.375,6.008,29.847,31.092,89.031,87.465
65.417,6.010,29.737,30.884,89.123,87.425
65.458,6.011,29.710,31.110,89.180,87.614
