DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
339.542,4.566,24.211,30.421,83.444,82.580
339.583,4.567,24.487,30.643,83.275,82.432
339.625,4.566,24.088,30.468,83.233,82.391
339.667,4.566,24.435,30.647,83.226,82.358
339.708,4.567,24.304,30.472,83.240,82.307
339.750,4.566,24.204,30.557,83.216,82.210
339.792,4.566,24.496,30.622,83.235,82.288
339.833,4.565,24.611,30.458,83.903,82.954
339.875,4.565,24.449,30.617,84.390,83.453
339.958,5.950,29.733,30.654,87.409,86.203
340.000,5.950,29.708,30.713,87.326,86.125
340.042,5.951,29.295,30.897,87.352,86.081
340.083,5.949,29.518,30.721,87.328,86.097
340.125,5.951,30.100,30.691,87.302,86.129
340.167,5.948,29.515,30.741,87.312,86.127
340.208,5.950,30.077,31.011,87.292,86.018
340.250,5.949,29.736,30.829,87.283,86.088
340.292,5.950,29.916,30.833,87.307,86.088
340.375,5.951,28.193,30.903,87.478,86.291
340.417,5.950,28.912,30.647,87.447,86.239
340.458,5.951,28.889,30.803,87.459,86.293
340.500,5.953,29.205,30.762,87.463,86.319
340.542,5.952,28.974,30.524,87.455,86.285
340.583,5.952,28.636,30.843,87.442,86.292
340.625,5.953,28.947,30.388,87.313,86.145
340.667,5.952,29.225,30.572,87.282,86.056
340.708,5.952,29.121,30.558,87.302,86.076
340.750,5.952,28.595,30.904,87.324,86.108
340.792,5.952,29.179,30.745,87.288,86.064
340.833,5.951,28.455,30.903,87.261,86.040
340.875,5.951,28.515,30.849,87.292,86.052
340.958,5.950,28.704,30.944,86.967,85.780
341.000,5.948,29.178,30.668,87.203,85.962
341.042,5.949,28.415,30.642,87.288,86.069
341.083,5.948,28.887,30.837,87.312,86.104
341.125,5.948,28.937,30.856,87.334,86.140
341.167,5.948,28.892,30.811,87.306,86.130
341.208,5.949,28.968,30.575,87.339,86.075
341.250,5.948,28.277,30.468,87.344,86.033
341.292,5.949,28.746,30.592,87.350,86.052
341.375,5.951,28.938,30.582,87.444,86.218
341.417,5.949,28.904,30.779,87.459,86.261
341.458,5.951,29.075,30.804,87.531,86.421
341.500,5.950,28.449,30.841,87.484,86.379
341.542,5.952,28.407,30.841,87.397,86.234
341.583,5.952,28.449,31.034,87.383,86.242
341.625,5.950,29.234,30.528,87.317,86.159
341.667,5.951,29.152,30.667,87.328,86.115
341.708,5.952,29.318,30.569,87.318,86.108
341.750,5.951,29.097,30.657,87.300,86.062
341.792,5.951,28.870,30.602,87.280,86.076
341.833,5.950,29.181,30.786,87.321,86.113
341.875,5.951,28.819,30.660,87.335,86.113
341.958,5.951,29.250,30.605,87.368,86.177
342.000,5.951,29.035,30.808,87.372,86.179
342.042,5.951,28.851,30.876,87.378,86.187
342.083,5.951,29.191,30.732,87.383,86.181
342.125,5.950,28.599,30.755,87.372,86.167
342.167,5.950,29.042,30.646,87.360,86.170
342.208,5.951,28.947,30.806,87.404,86.195
342.250,5.950,28.379,30.612,87.367,86.166
342.292,5.950,29.139,30.921,87.344,86.117
342.375,5.952,28.387,30.730,87.362,86.069
342.417,5.952,28.883,30.942,87.401,86.230
342.458,5.951,29.002,30.897,87.422,86.256
342.500,5.954,28.436,30.548,87.447,86.313
342.542,5.953,29.214,30.568,87.455,86.314
342.583,5.953,29.204,30.815,87.384,86.251
342.625,5.951,28.606,30.769,87.355,86.222
342.667,5.953,29.187,30.818,87.354,86.232
342.708,5.953,29.030,30.910,87.350,86.172
342.750,5.952,28.909,30.689,87.343,86.175
342.792,5.950,29.211,30.605,87.324,86.150
342.833,5.950,29.385,30.671,87.372,86.137
342.875,5.950,29.040,30.769,87.396,86.211
342.958,5.950,29.182,30.596,87.388,86.146
343.000,5.952,29.126,30.536,87.404,86.165
343.042,5.953,29.133,30.839,87.377,86.168
343.083,5.952,29.134,30.864,87.356,86.170
343.125,5.950,28.435,30.580,87.411,86.175
343.167,5.951,29.131,30.802,87.362,86.175
343.208,5.949,28.798,30.904,87.391,86.166
343.250,5.951,28.896,30.769,87.382,86.182
343.292,5.950,29.199,30.969,87.369,86.158
343.375,5.949,29.783,30.755,87.342,86.092
343.417,5.950,29.564,30.739,87.341,86.171
343.458,5.951,29.381,30.826,87.379,86.257
343.500,5.951,29.908,30.635,87.346,86.225
343.542,5.952,29.470,30.656,87.374,86.239
343.583,5.952,29.703,30.506,87.346,86.238
343.625,5.952,29.086,30.764,87.336,86.207
343.667,5.952,29.945,30.744,87.307,86.174
343.708,5.952,29.795,30.624,87.280,86.006
343.750,5.952,29.778,30.558,87.287,86.081
343.792,5.951,29.015,30.689,87.294,86.056
343.833,5.952,29.133,30.585,87.281,86.086
343.875,5.951,29.204,30.700,87.273,86.056
343.958,5.951,28.934,30.800,87.243,86.054
344.000,5.950,29.872,30.706,87.263,86.018
344.042,5.952,29.899,30.657,87.238,86.036
344.083,5.951,29.643,30.777,87.238,86.038
344.125,5.951,29.782,30.638,87.246,86.072
344.167,5.949,29.095,30.503,87.250,86.100
344.208,5.951,29.631,30.699,87.252,86.107
344.250,5.950,29.737,30.562,87.254,86.105
344.292,5.951,29.117,30.601,87.279,86.083
344.375,4.261,21.500,30.565,84.772,83.923
344.417,4.261,21.725,30.495,84.541,83.724
344.458,4.262,21.853,30.662,84.441,83.620
344.500,4.262,21.616,30.452,84.456,83.651
344.542,4.262,21.373,30.454,84.551,83.785
344.583,4.261,21.782,30.712,84.571,83.785
344.625,4.261,21.836,30.540,84.470,83.665
344.667,4.262,21.811,30.444,84.469,83.657
344.708,4.261,21.283,30.697,84.481,83.669
344.750,4.261,21.382,30.391,84.536,83.623
344.792,4.261,21.530,30.254,84.476,83.602
344.833,4.260,21.618,30.681,84.340,83.466
344.875,4.260,21.610,30.383,84.402,83.548
344.958,5.951,29.256,30.829,87.283,86.078
345.000,5.951,28.612,30.494,87.406,86.134
345.042,5.951,29.190,30.745,87.400,86.194
345.083,5.950,29.074,30.597,87.410,86.206
345.125,5.951,29.143,30.623,87.406,86.171
345.167,5.948,29.208,30.700,87.413,86.176
345.208,5.950,29.069,30.672,87.403,86.189
345.250,5.950,28.428,30.391,87.390,86.223
345.292,5.950,29.154,30.792,87.431,86.215
345.375,4.260,21.837,30.405,84.876,84.013
345.417,4.260,21.720,30.486,84.614,83.843
345.458,4.261,21.874,30.823,84.622,83.904
345.500,4.261,21.435,30.500,84.601,83.792
345.542,4.261,21.290,30.374,84.608,83.717
345.583,4.260,21.492,30.548,84.576,83.768
345.625,4.261,21.476,30.607,84.527,83.722
345.667,4.261,21.615,30.224,84.474,83.647
345.708,4.261,21.620,30.499,84.418,83.600
345.750,4.261,21.639,30.416,84.412,83.572
345.792,4.261,21.418,30.409,84.404,83.531
345.833,4.260,21.616,30.334,84.417,83.561
345.875,4.260,21.628,30.313,84.427,83.522
345.958,5.951,28.401,30.790,87.291,86.040
346.000,5.951,29.016,30.662,87.411,86.154
346.042,5.951,28.671,30.505,87.408,86.180
346.083,5.950,28.941,30.444,87.422,86.149
