DOL,CD,TI3302A
13.042,6.011,88.727
13.083,6.012,88.703
13.125,6.015,88.727
13.167,6.013,88.726
13.208,6.011,88.728
13.250,6.013,88.734
13.292,6.012,88.736
13.375,6.013,88.775
13.417,6.013,88.786
13.458,6.014,88.842
13.500,6.014,88.841
13.542,6.015,88.829
13.583,6.015,88.779
13.625,6.013,88.708
13.667,6.014,88.672
13.708,6.013,88.660
13.750,6.013,88.714
13.792,6.011,88.737
13.833,6.010,88.688
13.875,6.012,88.717
13.958,6.012,88.700
14.000,6.011,88.737
14.042,6.012,88.704
14.083,6.013,88.731
14.125,6.014,88.710
14.167,6.013,88.722
14.208,6.013,88.717
14.250,6.013,88.758
14.292,6.014,88.764
14.375,6.013,88.814
14.417,5.982,88.765
14.458,6.013,88.838
14.500,6.013,88.853
14.542,6.014,88.847
14.583,6.012,88.829
14.625,6.014,88.794
14.667,6.013,88.786
14.708,6.013,88.699
14.750,6.012,88.662
14.792,6.013,88.693
14.833,6.012,88.759
14.875,6.012,88.709
14.958,6.014,88.720
15.000,6.011,88.739
15.042,6.011,88.781
15.083,6.011,88.756
15.125,6.011,88.744
15.167,6.011,88.727
15.208,6.010,88.748
15.250,6.010,88.751
15.292,6.013,88.731
15.375,6.014,88.718
15.417,6.014,88.750
15.458,6.013,88.775
15.500,6.013,88.793
15.542,6.014,88.839
15.583,6.015,88.828
15.625,6.015,88.735
15.667,6.014,88.692
15.708,6.014,88.567
15.750,6.014,88.581
15.792,6.012,88.633
15.833,6.014,88.714
15.875,6.013,88.706
15.958,6.013,88.631
16.000,6.012,88.645
16.042,6.013,88.681
16.083,6.012,88.619
16.125,6.011,88.635
16.167,6.011,88.627
16.208,6.014,88.626
16.250,6.013,88.626
16.292,6.011,88.671
16.375,6.012,88.732
16.417,6.013,88.783
16.458,6.014,88.762
16.500,6.014,88.752
16.542,6.014,88.739
16.583,6.014,88.765
16.625,6.013,88.737
16.667,6.015,88.768
16.708,6.014,88.710
16.750,6.014,88.705
16.792,6.013,88.694
16.833,6.012,88.719
16.875,6.013,88.738
16.958,6.013,88.792
17.000,6.014,88.794
17.042,6.012,88.775
17.083,6.013,88.796
17.125,6.010,88.762
17.167,6.012,88.750
17.208,6.012,88.733
17.250,6.011,88.746
17.292,6.011,88.776
17.375,6.013,88.794
17.417,6.012,88.815
17.458,6.013,88.806
17.500,6.012,88.880
17.542,6.014,88.900
17.583,6.014,88.845
17.625,6.013,88.833
17.667,6.013,88.833
17.708,6.013,88.751
17.750,6.013,88.754
17.792,6.013,88.761
17.833,6.012,88.787
17.875,6.013,88.784
17.958,6.012,88.814
18.000,6.012,88.786
18.042,6.012,88.777
18.083,6.010,88.758
18.125,6.012,88.758
18.167,6.010,88.751
18.208,6.010,88.764
18.250,6.010,88.759
18.292,6.010,88.791
18.375,6.011,88.774
18.417,6.011,88.806
18.458,6.012,88.807
18.500,6.011,88.733
18.542,6.010,88.625
18.583,6.009,88.591
18.625,6.009,88.638
18.667,6.009,88.728
18.708,6.009,88.727
18.750,6.010,88.755
18.792,6.011,88.757
18.833,6.010,88.803
18.875,6.009,88.765
18.958,6.010,88.721
19.000,6.009,88.745
19.042,6.009,88.739
19.083,6.010,88.755
19.125,6.012,88.783
19.167,6.011,88.766
19.208,6.012,88.776
19.250,6.011,88.790
19.292,6.009,88.804
19.375,6.010,88.820
19.417,6.012,88.854
19.458,6.013,88.849
19.500,6.014,88.872
19.542,6.015,88.882
19.583,6.014,88.865
19.625,6.014,88.843
19.667,6.014,88.803
19.708,6.013,88.774
19.750,6.013,88.767
19.792,6.013,88.736
19.833,6.013,88.780
19.875,6.015,88.789
19.958,6.014,88.784
20.000,6.013,88.800
20.042,6.011,88.794
20.083,6.012,88.774
20.125,6.011,88.778
20.167,6.013,88.772
20.208,6.011,88.752
20.250,6.011,88.750
20.292,6.009,88.642
20.375,6.012,88.801
20.417,6.013,88.804
20.458,6.011,88.803
20.500,6.016,88.862
20.542,6.015,88.851
20.583,6.015,88.853
20.625,6.014,88.756
20.667,6.014,88.819
20.708,6.014,88.801
20.750,6.012,88.814
20.792,6.013,88.794
20.833,6.013,88.768
20.875,6.014,88.810
20.958,6.013,88.864
21.000,6.012,88.814
21.042,6.013,88.814
21.083,6.012,88.807
21.125,6.011,88.558
21.167,6.009,88.412
21.208,6.010,88.645
21.250,6.010,88.686
21.292,6.010,88.752
21.375,6.012,88.814
21.417,6.011,88.827
21.458,6.012,88.722
21.500,6.012,88.743
21.542,6.013,88.793
21.583,6.013,88.795
21.625,6.014,88.789
21.667,6.013,88.798
