DOL,CD,FI3312B,TI3302A
10.000,6.009,31.653,88.690
10.042,6.010,31.676,88.673
10.083,6.012,31.835,88.688
10.125,6.011,31.698,88.673
10.167,6.010,31.576,88.659
10.208,6.013,31.587,88.662
10.250,6.011,31.648,88.659
10.292,6.011,31.417,88.680
10.375,6.012,31.740,88.754
10.417,6.012,31.834,88.791
10.458,6.012,31.708,88.751
10.500,6.012,31.578,88.807
10.542,6.012,31.606,88.746
10.583,6.013,31.493,88.758
10.625,6.013,31.628,88.700
10.667,6.013,31.510,88.691
10.708,6.012,31.767,88.700
10.750,6.011,31.961,88.730
10.792,6.012,31.677,88.729
10.833,6.010,31.665,88.724
10.875,6.011,31.902,88.730
10.958,6.010,31.607,88.704
11.000,6.010,31.715,88.716
11.042,6.009,31.586,88.710
11.083,6.011,31.798,88.690
11.125,6.010,31.618,88.694
11.167,6.011,31.640,88.674
11.208,6.011,31.376,88.656
11.250,6.011,31.473,88.687
11.292,6.011,31.665,88.701
11.375,6.009,31.415,88.725
11.417,6.012,31.661,88.765
11.458,6.013,31.632,88.774
11.500,6.012,31.707,88.799
11.542,6.012,31.785,88.793
11.583,6.013,31.538,88.740
11.625,6.013,31.879,88.693
11.667,6.012,31.652,88.672
11.708,6.013,31.695,88.701
11.750,6.012,31.622,88.683
11.792,6.012,31.648,88.691
11.833,6.011,31.673,88.720
11.875,6.011,31.625,88.760
11.958,6.013,31.826,88.742
12.000,6.010,31.757,88.712
12.042,6.010,31.734,88.700
12.083,6.011,31.676,88.729
12.125,6.010,31.539,88.725
12.167,6.012,31.502,88.696
12.208,6.011,31.638,88.695
12.250,6.010,31.541,88.715
12.292,6.011,31.630,88.728
12.375,6.010,31.560,88.784
12.417,6.013,32.056,88.809
12.458,6.013,31.377,88.825
12.500,6.013,31.794,88.835
12.542,6.012,31.629,88.825
12.583,6.014,31.716,88.809
12.625,6.014,31.750,88.766
12.667,6.014,31.419,88.684
12.708,6.013,31.796,88.651
12.750,6.014,31.516,88.700
12.792,6.012,31.561,88.735
12.833,6.012,31.595,88.795
12.875,6.011,31.862,88.775
12.958,6.012,31.666,88.757
13.000,6.012,31.512,88.732
13.042,6.011,31.699,88.727
13.083,6.012,31.623,88.703
13.125,6.015,31.855,88.727
13.167,6.013,31.800,88.726
13.208,6.011,31.711,88.728
13.250,6.013,31.787,88.734
13.292,6.012,31.510,88.736
13.375,6.013,31.754,88.775
13.417,6.013,31.517,88.786
13.458,6.014,31.762,88.842
13.500,6.014,31.622,88.841
13.542,6.015,31.731,88.829
13.583,6.015,31.542,88.779
13.625,6.013,31.638,88.708
13.667,6.014,31.756,88.672
13.708,6.013,31.650,88.660
13.750,6.013,31.722,88.714
13.792,6.011,31.724,88.737
13.833,6.010,31.561,88.688
13.875,6.012,31.511,88.717
13.958,6.012,31.826,88.700
14.000,6.011,31.477,88.737
14.042,6.012,31.484,88.704
14.083,6.013,31.592,88.731
14.125,6.014,31.547,88.710
14.167,6.013,31.558,88.722
14.208,6.013,31.583,88.717
14.250,6.013,31.622,88.758
14.292,6.014,31.636,88.764
14.375,6.013,31.702,88.814
14.417,5.982,31.648,88.765
14.458,6.013,31.639,88.838
14.500,6.013,31.740,88.853
14.542,6.014,31.757,88.847
14.583,6.012,31.496,88.829
14.625,6.014,31.637,88.794
14.667,6.013,31.632,88.786
14.708,6.013,31.548,88.699
14.750,6.012,31.755,88.662
14.792,6.013,31.343,88.693
14.833,6.012,31.608,88.759
14.875,6.012,31.716,88.709
14.958,6.014,31.446,88.720
15.000,6.011,31.408,88.739
15.042,6.011,31.823,88.781
15.083,6.011,31.686,88.756
15.125,6.011,31.626,88.744
15.167,6.011,31.700,88.727
15.208,6.010,31.475,88.748
15.250,6.010,31.603,88.751
15.292,6.013,31.644,88.731
15.375,6.014,31.725,88.718
15.417,6.014,31.956,88.750
15.458,6.013,31.675,88.775
15.500,6.013,31.619,88.793
15.542,6.014,31.552,88.839
15.583,6.015,31.662,88.828
15.625,6.015,31.495,88.735
15.667,6.014,31.598,88.692
15.708,6.014,31.741,88.567
15.750,6.014,31.742,88.581
15.792,6.012,31.733,88.633
15.833,6.014,31.654,88.714
15.875,6.013,31.646,88.706
15.958,6.013,31.784,88.631
16.000,6.012,31.718,88.645
16.042,6.013,31.703,88.681
16.083,6.012,31.464,88.619
16.125,6.011,31.439,88.635
16.167,6.011,31.627,88.627
16.208,6.014,31.613,88.626
16.250,6.013,31.593,88.626
16.292,6.011,31.506,88.671
16.375,6.012,31.752,88.732
16.417,6.013,31.532,88.783
16.458,6.014,31.480,88.762
16.500,6.014,31.691,88.752
16.542,6.014,31.287,88.739
16.583,6.014,31.506,88.765
16.625,6.013,31.686,88.737
16.667,6.015,31.679,88.768
16.708,6.014,31.584,88.710
16.750,6.014,31.815,88.705
16.792,6.013,31.464,88.694
16.833,6.012,31.743,88.719
16.875,6.013,31.884,88.738
16.958,6.013,31.698,88.792
17.000,6.014,31.753,88.794
17.042,6.012,31.672,88.775
17.083,6.013,31.688,88.796
17.125,6.010,31.723,88.762
17.167,6.012,31.661,88.750
17.208,6.012,31.582,88.733
17.250,6.011,31.899,88.746
17.292,6.011,31.902,88.776
17.375,6.013,31.681,88.794
17.417,6.012,31.550,88.815
17.458,6.013,31.369,88.806
17.500,6.012,31.274,88.880
17.542,6.014,31.578,88.900
17.583,6.014,31.651,88.845
17.625,6.013,31.654,88.833
17.667,6.013,31.456,88.833
17.708,6.013,31.562,88.751
17.750,6.013,31.733,88.754
17.792,6.013,31.590,88.761
17.833,6.012,31.704,88.787
17.875,6.013,31.673,88.784
17.958,6.012,31.405,88.814
18.000,6.012,31.661,88.786
18.042,6.012,31.468,88.777
18.083,6.010,31.455,88.758
18.125,6.012,31.575,88.758
18.167,6.010,31.709,88.751
18.208,6.010,31.731,88.764
18.250,6.010,31.610,88.759
18.292,6.010,31.494,88.791
18.375,6.011,31.647,88.774
18.417,6.011,31.572,88.806
18.458,6.012,31.622,88.807
18.500,6.011,31.535,88.733
18.542,6.010,31.502,88.625
18.583,6.009,31.410,88.591
18.625,6.009,31.447,88.638
18.667,6.009,31.821,88.728
18.708,6.009,31.817,88.727
18.750,6.010,31.790,88.755
18.792,6.011,31.548,88.757
18.833,6.010,31.799,88.803
18.875,6.009,31.503,88.765
18.958,6.010,31.488,88.721
19.000,6.009,31.495,88.745
19.042,6.009,31.472,88.739
19.083,6.010,31.434,88.755
19.125,6.012,31.181,88.783
19.167,6.011,31.691,88.766
19.208,6.012,31.570,88.776
19.250,6.011,31.690,88.790
19.292,6.009,31.539,88.804
19.375,6.010,31.465,88.820
