DOL,CD,FI3312B,TI3302A
40.792,6.013,30.398,89.271
40.833,6.012,30.493,89.258
40.875,6.012,30.526,89.337
40.958,6.012,30.746,89.367
41.000,6.014,30.478,89.373
41.042,6.012,30.349,89.352
41.083,6.012,30.548,89.361
41.125,6.011,30.445,89.380
41.167,6.011,30.161,89.383
41.208,6.013,30.156,89.364
41.250,6.012,30.393,89.385
41.292,6.012,30.431,89.646
41.375,6.012,30.459,89.651
41.417,6.013,30.265,89.671
41.458,6.012,30.364,89.628
41.500,6.013,30.466,89.630
41.542,6.013,30.450,89.675
41.583,6.013,30.499,89.682
41.625,6.013,30.217,89.618
41.667,6.013,30.448,89.664
41.708,6.013,30.295,89.679
41.750,6.014,30.404,89.588
41.792,6.015,30.451,89.634
41.833,6.012,30.528,89.650
41.875,6.012,30.326,89.636
41.958,6.014,30.350,89.646
42.000,6.014,30.047,89.637
42.042,6.014,30.054,89.638
42.083,6.012,30.185,89.609
42.125,6.013,30.240,89.595
42.167,6.014,30.142,89.610
42.208,6.012,30.225,89.642
42.250,6.012,30.109,89.636
42.292,6.011,30.256,89.654
42.375,6.012,30.335,88.721
42.417,6.012,30.100,88.729
42.458,6.013,30.281,88.748
42.500,6.013,30.006,88.733
42.542,6.013,30.081,88.738
42.583,6.013,30.369,88.709
42.625,6.014,30.186,88.736
42.667,6.013,30.154,88.705
42.708,6.012,30.219,88.701
42.750,6.013,30.279,88.902
42.792,6.012,30.162,88.985
42.833,6.013,30.132,89.009
42.875,6.013,30.316,88.997
42.958,6.012,30.311,88.994
43.000,6.013,30.207,88.997
43.042,6.014,30.338,89.004
43.083,6.015,30.304,89.002
43.125,6.014,30.119,88.983
43.167,6.014,30.265,88.965
43.208,6.013,30.164,88.980
43.250,6.012,30.171,88.990
43.292,6.013,30.173,88.907
43.375,6.012,30.034,89.039
43.417,6.013,30.160,89.037
43.458,6.013,30.080,89.075
43.500,6.013,30.252,88.982
43.542,6.015,30.198,88.695
43.583,6.015,30.072,88.680
43.625,6.016,30.231,88.709
43.667,6.015,30.169,88.680
43.708,6.014,30.225,88.638
43.750,6.015,30.000,88.617
43.792,6.014,30.154,88.613
43.833,6.014,30.066,88.624
43.875,6.014,30.155,88.580
43.958,6.014,29.964,88.773
44.000,6.014,30.173,88.992
44.042,6.014,29.973,89.001
44.083,6.014,29.992,88.983
44.125,6.012,30.266,88.977
44.167,6.012,30.072,88.969
44.208,6.013,29.755,88.965
44.250,6.015,30.074,88.977
44.292,6.012,29.922,88.964
44.375,6.012,30.134,88.996
44.417,6.013,30.168,88.972
44.458,6.013,29.880,89.018
44.500,6.015,29.869,89.053
44.542,6.017,30.271,88.992
44.583,6.013,30.147,89.029
44.625,6.014,30.094,89.100
44.667,6.015,30.077,88.757
44.708,6.014,30.118,88.683
44.750,6.015,30.180,88.678
44.792,6.015,30.231,88.670
44.833,6.014,30.377,88.679
44.875,6.013,30.140,88.638
44.958,6.015,30.372,88.645
45.000,6.013,30.066,88.625
45.042,6.013,30.177,88.646
45.083,6.014,30.231,88.643
45.125,6.014,30.091,88.621
45.167,6.012,30.226,88.621
45.208,6.013,30.223,88.629
45.250,6.014,30.088,88.639
45.292,6.012,30.068,88.656
45.375,6.013,30.121,88.675
45.417,6.013,30.105,88.754
45.458,6.014,30.297,88.789
45.500,6.014,30.170,88.795
45.542,6.014,30.119,88.807
45.583,6.015,29.963,88.750
45.625,6.016,30.060,88.739
45.667,6.016,30.016,88.700
45.708,6.014,30.196,88.705
45.750,6.016,30.326,88.702
45.792,6.015,30.227,88.695
45.833,6.016,30.256,88.705
45.875,6.014,30.319,88.707
45.958,6.012,30.335,88.644
46.000,6.014,30.076,88.665
46.042,6.014,30.249,88.663
46.083,6.015,30.134,88.672
46.125,6.014,30.117,88.651
46.167,6.014,30.092,88.652
46.208,6.014,30.406,88.652
46.250,6.016,30.101,88.637
46.292,6.017,30.205,88.630
46.375,6.014,30.052,88.664
46.417,6.014,29.957,88.707
46.458,6.018,29.850,88.693
46.500,6.016,30.117,88.646
46.542,6.018,30.224,88.705
46.583,6.017,29.761,88.681
46.625,6.015,30.058,88.716
46.667,6.016,30.238,88.707
46.708,6.015,29.892,88.672
46.750,6.019,30.123,88.639
46.792,6.016,29.939,88.604
46.833,6.017,30.164,88.593
46.875,6.017,30.131,88.598
46.958,6.017,30.027,88.605
47.000,6.014,29.950,88.590
47.042,6.014,29.990,88.594
47.083,6.015,30.159,88.580
47.125,6.014,29.963,88.604
47.167,6.012,29.810,88.605
47.208,6.012,29.751,88.613
47.250,6.013,29.960,88.674
47.292,6.014,29.876,88.665
47.375,6.014,30.164,88.638
47.417,6.014,29.950,88.673
47.458,6.015,29.861,88.664
47.500,6.015,29.906,88.661
47.542,6.015,29.966,88.714
47.583,6.016,29.951,88.720
47.625,6.015,30.279,88.719
47.667,6.016,29.929,88.679
47.708,6.016,29.893,88.671
47.750,6.014,29.987,88.615
47.792,6.014,30.133,88.634
47.833,6.016,29.832,88.599
47.875,6.015,30.131,88.597
47.958,6.015,30.101,88.592
48.000,6.014,30.078,88.599
48.042,6.014,30.110,88.609
48.083,6.015,30.114,88.605
48.125,6.014,29.954,88.611
48.167,6.013,30.021,88.627
48.208,6.014,30.017,88.541
48.250,6.014,30.003,88.615
48.292,6.013,29.777,88.606
48.375,6.014,29.896,88.641
48.417,6.014,29.827,88.654
48.458,6.013,29.881,88.636
48.500,5.211,29.159,86.310
48.542,5.578,29.793,87.641
48.583,6.011,29.936,88.975
48.625,6.013,30.032,89.048
48.667,6.013,29.770,89.041
48.708,6.014,30.052,88.966
48.750,6.013,30.218,88.948
48.792,6.010,30.144,88.992
48.833,6.012,30.233,89.019
48.875,6.014,30.091,89.047
48.958,6.012,30.057,89.044
49.000,6.014,30.005,88.946
49.042,6.015,30.125,88.965
49.083,6.013,30.036,88.955
49.125,6.012,29.923,88.925
49.167,6.013,29.831,88.927
49.208,6.011,30.163,88.932
49.250,6.012,29.870,88.929
49.292,6.011,29.862,88.986
49.375,6.013,29.916,89.099
49.417,6.014,30.072,89.061
49.458,5.672,29.546,88.002
49.500,5.671,29.721,88.108
49.542,6.010,29.672,89.243
49.583,6.008,29.916,89.281
49.625,6.008,30.105,89.061
49.667,6.009,29.725,89.045
49.708,6.010,29.928,89.050
49.750,6.011,29.955,89.036
49.792,6.010,30.054,89.037
49.833,6.010,29.727,89.033
49.875,6.011,30.000,88.968
49.958,6.009,29.714,89.053
50.000,6.010,29.659,89.069
50.042,6.011,29.621,89.057
50.083,6.009,29.879,89.053
50.125,6.009,29.845,89.044
50.167,6.009,29.825,89.065
50.208,6.010,29.588,89.067
50.250,6.010,29.501,89.060
50.292,6.009,29.601,89.049
50.375,6.009,29.538,89.043
50.417,6.010,29.769,89.067
50.458,6.009,29.444,89.051
50.500,6.010,29.754,89.057
50.542,6.011,29.911,89.094
50.583,6.010,29.720,89.080
50.625,6.011,29.706,88.993
50.667,6.010,29.833,89.058
50.708,6.010,30.368,88.945
50.750,6.010,30.425,88.965
50.792,6.012,30.506,89.001
50.833,6.011,30.156,88.982
50.875,6.011,30.243,88.984
50.958,6.011,30.206,88.977
51.000,6.010,30.281,89.268
51.042,6.012,30.279,89.321
51.083,6.011,30.190,89.310
51.125,6.011,30.493,89.334
51.167,6.011,30.256,89.355
51.208,6.010,30.071,89.318
51.250,6.010,30.082,89.254
51.292,6.010,29.855,89.261
51.375,6.011,30.156,89.342
51.417,6.014,30.181,89.385
51.458,6.014,30.461,89.373
51.500,6.014,30.109,89.323
51.542,6.014,30.288,89.406
51.583,6.013,30.302,89.433
51.625,6.014,30.179,89.140
51.667,6.014,30.422,89.030
51.708,6.013,30.188,88.990
51.750,6.013,30.325,88.966
51.792,6.014,30.156,89.005
51.833,6.014,29.991,88.996
51.875,6.014,29.868,89.019
51.958,6.014,30.404,89.286
52.000,6.013,30.313,89.307
52.042,6.014,30.263,89.288
52.083,6.015,30.173,89.297
52.125,6.013,29.960,89.286
52.167,6.012,30.506,89.275
52.208,6.012,30.161,89.298
52.250,6.012,30.246,89.261
52.292,6.011,30.064,89.319
52.375,6.012,30.287,89.376
52.417,6.013,30.088,89.343
52.458,6.012,30.078,89.382
52.500,6.013,30.199,89.366
52.542,6.013,30.030,89.365
52.583,6.014,30.118,89.354
52.625,6.012,30.158,89.363
52.667,6.012,30.123,89.352
52.708,6.013,30.284,89.357
52.750,6.013,30.198,89.336
52.792,6.012,30.127,89.317
52.833,6.012,30.127,89.319
52.875,6.014,30.350,89.322
52.958,6.012,29.994,89.336
53.000,6.012,30.143,89.341
53.042,6.013,30.041,89.314
53.083,6.014,29.870,89.315
53.125,6.014,30.060,89.313
53.167,6.014,29.972,89.321
53.208,6.013,30.040,89.346
53.250,6.013,30.063,89.360
53.292,6.013,30.138,89.360
53.375,6.014,30.061,89.414
53.417,6.014,30.139,89.392
53.458,6.014,30.082,89.417
53.500,6.015,29.876,89.450
53.542,6.014,30.087,89.474
53.583,6.015,29.841,89.465
53.625,6.014,30.052,89.394
53.667,6.014,30.211,89.347
53.708,6.015,29.963,89.029
53.750,6.014,29.857,89.012
53.792,6.014,30.089,89.051
53.833,6.013,30.136,89.074
53.875,6.014,30.097,89.092
53.958,6.014,30.054,89.079
54.000,6.014,30.109,89.043
54.042,6.014,29.990,89.052
54.083,6.013,30.125,89.011
54.125,6.014,30.040,89.016
54.167,6.013,30.137,89.015
54.208,6.015,29.956,89.026
54.250,6.014,29.939,89.036
54.292,6.014,30.067,89.002
54.375,6.014,30.079,89.083
54.417,6.013,30.016,89.075
54.458,6.014,29.994,89.129
54.500,6.015,30.152,89.192
54.542,6.014,30.014,89.156
54.583,6.014,30.117,89.157
54.625,6.015,29.870,89.138
54.667,6.015,30.154,89.117
54.708,6.015,29.959,89.111
54.750,6.015,29.852,89.074
54.792,6.016,30.283,88.976
54.833,6.014,29.941,88.902
54.875,6.015,29.963,88.883
54.958,6.014,30.070,88.959
55.000,6.015,30.196,89.007
55.042,6.013,30.184,88.980
55.083,6.014,30.095,88.961
55.125,6.012,29.917,88.969
55.167,6.012,30.081,88.999
55.208,6.013,29.950,88.985
55.250,6.013,29.946,88.986
55.292,6.013,30.236,88.993
55.375,6.011,29.942,89.009
55.417,6.014,29.888,89.040
55.458,6.014,29.970,89.088
55.500,6.014,30.137,89.126
55.542,6.014,29.837,89.113
55.583,6.016,30.006,89.081
55.625,6.014,30.104,89.056
55.667,6.015,30.113,88.993
55.708,6.014,30.132,88.985
55.750,6.015,30.066,88.942
55.792,6.015,30.044,88.919
55.833,6.014,29.909,88.932
55.875,6.014,29.994,88.953
55.958,6.015,30.028,88.950
56.000,6.013,29.837,88.929
56.042,6.013,30.038,88.922
56.083,6.013,29.881,88.919
56.125,6.014,29.997,88.905
56.167,6.013,30.031,88.912
56.208,6.013,30.060,88.916
56.250,6.015,29.913,88.956
56.292,6.013,30.010,88.976
56.375,6.014,30.016,88.913
56.417,6.014,29.802,88.958
56.458,6.014,29.911,89.003
56.500,6.015,29.919,89.057
56.542,6.014,29.707,89.076
56.583,6.014,30.042,89.023
56.625,6.015,29.854,89.019
56.667,6.015,29.752,88.866
56.708,6.015,29.915,88.924
56.750,6.015,29.997,88.897
56.792,6.014,30.019,88.874
56.833,6.014,29.827,88.869
56.875,6.015,30.798,88.966
56.958,6.013,30.996,88.982
57.000,6.014,30.748,88.961
57.042,6.015,30.525,88.972
57.083,6.014,30.753,88.925
57.125,6.013,30.556,88.910
57.167,6.013,30.685,88.939
57.208,6.014,30.669,88.972
57.250,6.014,30.856,88.959
57.292,6.014,30.474,88.962
57.375,6.014,30.695,88.976
57.417,6.014,30.765,88.952
57.458,6.014,30.680,88.977
57.500,6.015,30.729,89.018
57.542,6.015,30.669,89.050
57.583,6.014,30.651,89.068
57.625,6.014,30.656,89.059
57.667,6.013,30.887,89.045
57.708,6.014,30.622,89.011
57.750,6.014,30.753,88.974
57.792,6.014,30.825,88.934
57.833,6.014,30.806,88.923
57.875,6.012,30.833,88.933
57.958,6.013,30.749,88.976
58.000,6.013,30.698,88.958
58.042,6.013,30.862,88.972
58.083,6.013,30.695,88.958
58.125,6.012,30.773,88.939
58.167,6.011,30.707,88.957
58.208,6.012,30.425,88.992
58.250,6.013,30.588,88.977
58.292,6.012,30.551,88.968
58.375,6.014,30.653,88.621
58.417,6.014,30.687,88.630
58.458,6.014,30.810,88.669
58.500,6.014,30.906,88.682
58.542,6.016,30.646,88.737
58.583,6.015,30.601,88.738
58.625,6.015,30.665,88.711
58.667,6.017,30.695,88.641
58.708,6.017,30.618,88.591
58.750,6.016,30.673,88.632
58.792,6.016,30.516,88.947
58.833,6.014,30.658,88.980
58.875,6.016,30.818,88.964
58.958,6.016,30.785,88.967
59.000,6.016,30.507,88.988
59.042,6.016,30.557,88.967
59.083,6.016,30.935,88.943
59.125,6.013,30.671,88.949
59.167,6.014,30.651,88.964
59.208,6.014,30.675,88.966
59.250,6.014,30.420,88.967
59.292,6.013,30.671,88.967
59.375,6.014,30.521,89.014
59.417,6.016,30.753,89.026
59.458,6.015,30.703,89.049
59.500,6.016,30.742,89.103
59.542,6.016,30.702,89.100
59.583,6.016,30.694,89.105
59.625,6.016,30.608,89.050
59.667,6.015,30.798,88.950
59.708,6.015,30.651,88.959
59.750,6.016,30.796,88.952
59.792,6.015,30.627,88.929
59.833,6.015,30.808,88.930
59.875,6.015,30.940,88.955
59.958,6.015,30.687,88.957
60.000,6.014,30.506,89.030
60.042,6.013,30.584,89.003
60.083,6.011,30.692,89.033
60.125,6.012,30.650,89.038
60.167,6.013,30.691,89.024
60.208,6.013,30.652,89.032
60.250,6.014,30.609,89.034
60.292,6.013,30.457,89.006
60.375,6.014,30.673,89.025
60.417,6.015,30.648,89.065
60.458,6.015,30.704,89.082
60.500,6.015,30.543,89.105
60.542,6.014,30.766,89.108
60.583,6.016,30.751,89.105
60.625,6.015,30.915,89.030
60.667,6.016,30.838,89.056
60.708,6.017,30.527,89.035
60.750,6.015,30.850,89.025
60.792,6.015,30.916,89.022
60.833,6.015,30.945,89.043
60.875,6.015,30.633,89.017
60.958,6.013,30.834,89.004
61.000,6.014,30.822,89.040
61.042,6.015,31.031,89.055
61.083,6.015,30.806,89.020
61.125,6.015,30.872,89.011
61.167,6.016,30.814,88.946
61.208,6.014,30.666,88.956
61.250,6.015,30.589,89.030
61.292,6.016,30.801,89.037
61.375,6.015,30.813,89.095
61.417,6.015,30.801,89.176
61.458,6.017,31.009,89.203
61.500,6.017,30.776,89.173
61.542,6.017,30.639,89.157
61.583,6.016,30.532,89.165
61.625,6.016,30.898,89.052
61.667,6.014,30.660,89.013
61.708,6.016,30.376,89.034
61.750,6.014,30.662,88.978
61.792,6.014,30.710,88.982
61.833,6.015,30.644,88.989
61.875,6.015,30.600,88.978
61.958,6.014,30.792,89.054
62.000,6.015,30.596,89.005
62.042,6.015,30.737,88.995
62.083,6.015,30.572,88.955
62.125,6.014,30.797,88.957
62.167,6.015,30.654,88.961
62.208,6.015,30.738,89.004
62.250,6.015,30.369,88.924
62.292,6.013,30.481,88.992
62.375,6.012,30.154,89.045
62.417,6.014,30.666,89.030
62.458,6.012,30.536,89.013
62.500,6.013,30.362,89.035
62.542,6.015,30.517,89.027
62.583,6.013,30.311,89.075
62.625,6.014,30.655,89.076
62.667,6.013,30.615,89.063
62.708,6.014,30.532,89.126
62.750,6.012,30.520,89.023
62.792,6.014,30.359,88.969
62.833,6.011,30.650,88.946
62.875,6.014,30.553,88.944
62.958,6.014,30.465,88.947
63.000,6.013,30.726,88.920
63.042,6.014,30.545,89.158
63.083,6.014,30.489,89.236
63.125,6.014,30.523,89.251
63.167,6.014,30.342,89.215
63.208,6.014,30.337,89.225
63.250,6.014,30.248,89.224
63.292,6.012,30.285,89.185
63.375,4.247,29.420,89.589
63.417,2.451,30.126,86.229
63.458,2.452,30.405,85.606
63.500,2.451,30.311,85.477
63.542,2.451,30.466,85.513
63.583,2.452,30.514,85.569
63.625,2.453,30.679,85.580
63.667,2.453,30.110,85.528
63.708,2.452,30.263,85.440
63.750,2.452,30.385,85.446
63.792,2.451,30.030,85.440
63.833,2.451,30.519,85.452
63.875,2.452,30.038,85.423
63.958,6.010,31.413,88.872
64.000,6.009,31.191,88.939
64.042,6.010,31.109,88.916
64.083,6.010,31.177,88.904
64.125,6.009,31.180,88.933
64.167,6.009,31.074,88.929
64.208,6.009,31.175,88.946
64.250,6.009,31.123,88.945
64.292,6.009,31.048,88.922
64.375,2.756,30.486,85.998
64.417,2.756,30.683,85.490
64.458,2.757,30.398,85.404
64.500,2.756,30.521,85.413
64.542,2.757,30.393,85.415
64.583,2.757,30.462,85.446
64.625,2.758,30.557,85.466
64.667,2.757,30.439,85.459
64.708,2.757,30.534,85.442
64.750,2.758,30.405,85.437
64.792,2.757,30.121,85.403
64.833,2.757,30.454,85.435
64.875,2.756,30.188,85.477
64.958,6.010,31.093,89.263
65.000,6.008,30.989,88.910
65.042,6.009,31.003,88.927
65.083,6.008,30.959,89.003
65.125,6.008,30.988,89.020
65.167,6.007,30.816,89.041
65.208,6.008,31.012,89.029
65.250,6.008,30.969,89.008
65.292,6.008,30.952,88.983
65.375,6.008,31.092,89.031
65.417,6.010,30.884,89.123
65.458,6.011,31.110,89.180
65.500,6.012,30.927,89.201
65.542,6.012,31.027,89.140
65.583,6.013,31.367,89.120
65.625,6.013,31.106,89.026
65.667,6.011,31.400,89.052
65.708,6.011,31.116,89.110
65.750,6.013,31.042,89.104
65.792,6.012,31.004,89.085
65.833,6.012,31.212,89.095
65.875,6.012,30.976,89.117
65.958,6.011,30.922,89.089
66.000,6.010,31.118,89.086
66.042,6.012,31.075,89.097
66.083,6.010,31.072,89.057
66.125,6.010,30.717,89.063
66.167,6.009,31.125,89.053
66.208,6.009,30.972,89.063
66.250,6.010,30.979,89.075
66.292,6.011,30.775,89.078
66.375,2.726,30.118,84.726
66.417,2.726,30.534,84.068
66.458,2.726,30.169,83.869
66.500,2.727,30.340,83.816
66.542,2.727,30.622,83.819
66.583,2.726,30.649,83.802
66.625,2.726,30.399,83.831
66.667,3.309,29.971,85.024
66.708,3.309,30.379,85.598
66.750,3.308,30.208,85.985
66.792,3.307,30.413,86.096
66.833,3.307,30.197,86.117
66.875,3.308,30.139,86.132
66.958,6.009,31.061,88.990
67.000,6.008,30.958,89.178
67.042,6.009,31.013,89.290
67.083,6.010,30.967,89.324
67.125,6.012,30.923,89.314
67.167,6.010,30.863,89.293
67.208,6.010,30.525,89.324
67.250,6.011,30.943,89.271
67.292,6.010,31.065,89.166
67.375,3.282,30.284,86.205
67.417,3.282,30.694,85.639
67.458,3.283,30.408,85.523
67.500,3.282,30.542,85.554
67.542,3.282,30.410,85.549
67.583,3.282,30.119,85.506
67.625,3.281,30.367,85.496
67.667,3.281,31.334,85.461
67.708,3.280,31.237,85.311
67.750,3.280,30.588,84.836
67.792,2.759,30.855,83.755
67.833,2.758,30.783,84.083
67.875,2.759,30.932,84.335
67.958,6.012,31.144,88.826
68.000,6.012,31.095,89.174
68.042,6.012,30.394,89.273
68.083,6.013,30.420,89.253
68.125,6.011,30.418,89.157
68.167,6.010,30.293,89.117
68.208,6.011,30.530,89.089
68.250,6.012,30.267,89.118
68.292,6.013,30.462,89.164
68.375,6.012,30.855,89.254
68.417,6.015,30.888,89.304
68.458,6.016,30.713,89.282
68.500,6.016,30.640,89.284
68.542,6.015,30.575,89.227
68.583,6.014,30.789,89.136
68.625,6.012,30.865,88.744
68.667,6.012,31.147,88.261
68.708,6.015,30.919,87.719
68.750,6.015,30.747,87.755
68.792,6.016,31.024,87.696
68.833,6.014,30.775,87.670
68.875,6.014,30.686,87.665
68.958,6.014,30.694,87.607
69.000,6.012,30.626,87.573
69.042,6.011,30.751,87.702
69.083,6.012,30.652,87.647
69.125,6.010,30.606,87.609
69.167,6.010,30.731,87.687
69.208,6.012,30.857,87.705
69.250,6.011,30.853,87.660
69.292,6.010,30.556,87.684
69.375,6.014,30.615,87.760
69.417,6.014,31.036,87.789
69.458,6.014,31.032,87.753
69.500,6.015,30.885,87.813
69.542,6.016,30.841,87.804
69.583,6.016,31.016,87.761
69.625,6.016,30.986,87.736
69.667,6.016,30.719,87.721
69.708,6.015,31.030,87.707
69.750,6.015,30.802,87.705
69.792,6.016,30.828,87.697
69.833,6.015,30.964,87.711
69.875,6.015,31.028,87.722
69.958,6.013,30.883,87.583
70.000,6.014,30.797,87.697
70.042,6.014,30.775,87.693
70.083,6.015,31.029,87.672
70.125,6.013,30.933,87.668
70.167,6.014,30.941,87.681
70.208,6.013,30.398,87.688
70.250,6.013,30.627,87.680
70.292,6.013,30.535,87.714
70.375,3.039,30.199,87.625
70.417,2.456,29.952,85.276
70.458,2.455,30.385,84.899
70.500,2.455,30.077,84.878
70.542,2.455,30.296,84.881
70.583,2.455,29.919,84.809
70.625,2.454,29.913,84.792
70.667,2.454,30.129,84.775
70.708,2.454,29.827,84.811
70.750,2.452,30.038,84.720
70.792,2.453,29.785,84.693
70.833,2.452,29.888,84.626
70.875,2.453,29.987,84.724
70.958,6.012,30.630,87.867
71.000,6.012,30.805,87.809
71.042,6.014,30.707,87.867
71.083,6.013,30.818,87.931
71.125,6.013,30.686,87.880
71.167,6.012,30.706,87.706
71.208,6.012,30.985,87.566
71.250,6.011,30.840,87.609
71.292,6.012,30.921,87.699
71.375,2.728,29.926,88.530
71.417,2.453,30.995,85.416
71.458,2.453,31.164,84.864
71.500,2.452,30.642,84.628
71.542,2.453,30.719,84.562
71.583,2.452,30.895,84.547
71.625,2.452,30.708,84.520
71.667,2.452,30.897,84.554
71.708,2.453,30.793,84.672
71.750,2.453,30.865,84.655
71.792,2.452,30.680,84.673
71.833,2.452,30.950,84.679
71.875,2.452,30.924,84.739
71.958,6.013,31.959,88.030
72.000,6.012,31.859,87.909
72.042,6.013,31.861,87.896
72.083,6.011,31.825,87.905
72.125,6.011,31.899,87.905
72.167,6.011,31.885,87.876
72.208,6.012,31.797,87.878
72.250,6.011,31.927,87.915
72.292,6.012,31.819,87.900
72.375,3.219,30.875,85.149
72.417,2.454,31.148,82.888
72.458,2.454,31.035,83.503
72.500,2.454,31.049,84.287
72.542,2.453,30.871,84.444
72.583,2.453,31.035,84.496
72.625,2.453,31.010,84.532
72.667,2.453,30.855,84.542
72.708,2.453,30.945,84.546
72.750,2.453,30.773,84.559
72.792,2.454,30.596,84.571
72.833,2.452,30.981,84.596
72.875,2.452,30.943,84.608
72.958,6.011,30.981,88.856
73.000,6.013,31.056,88.881
73.042,6.012,30.796,88.900
73.083,6.012,30.744,88.945
73.125,6.012,30.711,89.036
73.167,6.012,30.738,89.058
73.208,6.013,30.810,89.103
73.250,6.012,30.896,89.061
73.292,6.013,30.993,89.048
73.375,2.454,29.719,85.446
73.417,2.454,30.065,84.831
73.458,2.454,29.986,84.688
73.500,2.454,30.036,84.635
73.542,2.452,29.965,84.603
73.583,2.453,30.120,84.566
73.625,2.453,29.951,84.552
73.667,2.453,29.915,84.483
73.708,2.453,30.013,84.489
73.750,2.452,30.048,84.518
73.792,2.452,29.888,84.563
73.833,2.453,29.992,84.584
73.875,2.452,30.212,84.578
73.958,6.012,30.816,88.890
74.000,6.013,31.159,89.008
74.042,6.013,30.946,88.978
74.083,6.011,30.774,88.934
74.125,6.011,30.885,88.954
74.167,6.011,30.675,88.995
74.208,6.011,30.720,89.012
74.250,6.012,30.824,89.057
74.292,6.011,30.861,89.007
74.375,2.453,30.054,85.303
74.417,2.453,30.121,84.007
74.458,2.454,30.300,83.512
74.500,2.454,30.044,83.384
74.542,2.454,30.236,83.374
74.583,2.454,30.340,83.346
74.625,2.454,30.276,83.642
74.667,2.453,30.058,84.484
74.708,2.454,29.970,84.648
74.750,2.454,29.899,84.635
74.792,2.453,30.048,84.824
74.833,2.453,29.970,84.950
74.875,2.453,30.048,84.978
74.958,6.012,31.152,87.620
75.000,6.013,30.899,87.686
75.042,6.014,30.840,87.664
75.083,6.012,30.988,87.702
75.125,6.012,30.946,87.695
75.167,6.011,30.826,87.740
75.208,6.012,31.087,87.692
75.250,6.013,31.045,87.666
75.292,6.011,31.159,87.675
75.375,6.013,30.700,87.845
75.417,6.013,30.822,87.857
75.458,6.014,30.580,87.886
75.500,6.014,30.805,87.914
75.542,6.014,30.643,87.885
75.583,6.015,30.708,87.860
75.625,6.015,30.653,87.842
75.667,6.016,30.982,87.785
75.708,6.014,30.681,87.823
75.750,6.016,30.767,87.839
75.792,6.016,30.764,87.799
75.833,6.016,30.590,87.843
75.875,6.016,30.611,87.833
75.958,6.015,30.649,87.851
76.000,6.015,30.725,87.836
76.042,6.015,30.842,87.839
76.083,6.014,30.780,87.832
76.125,6.014,30.799,87.813
76.167,6.014,30.565,87.791
76.208,6.014,30.839,87.803
76.250,6.014,30.904,87.856
76.292,6.013,30.471,87.887
76.375,6.014,30.639,87.929
76.417,6.013,30.665,87.934
76.458,6.014,30.791,87.929
76.500,6.014,30.757,87.906
76.542,6.016,30.829,87.793
76.583,6.014,30.815,87.719
76.625,6.014,30.813,87.755
76.667,6.015,30.811,87.848
76.708,6.014,30.785,87.847
76.750,6.015,30.791,87.784
76.792,6.014,31.007,87.782
76.833,6.014,30.812,87.813
76.875,6.014,30.979,87.826
76.958,6.014,30.912,87.857
77.000,6.012,31.069,87.849
77.042,6.014,31.227,87.845
77.083,6.013,30.917,87.814
77.125,6.014,30.966,87.801
77.167,6.012,30.925,87.808
77.208,6.014,30.915,87.816
77.250,6.012,30.936,87.826
77.292,6.012,30.953,87.787
77.375,2.761,29.878,85.264
77.417,2.760,30.039,84.803
77.458,2.761,29.913,84.725
77.500,2.761,29.962,84.661
77.542,2.759,29.941,84.571
77.583,2.758,29.776,84.563
77.625,2.758,29.905,84.640
77.667,2.759,30.055,84.716
77.708,2.758,30.223,84.764
77.750,2.759,29.899,84.772
77.792,2.759,30.023,84.774
77.833,2.758,29.880,84.852
77.875,2.759,29.961,84.900
77.958,6.012,30.863,87.947
78.000,6.014,30.875,88.122
78.042,6.012,30.708,88.135
78.083,6.011,30.653,88.175
78.125,6.011,30.625,88.236
78.167,6.011,30.924,88.270
78.208,6.013,30.349,88.284
78.250,6.010,30.631,88.247
78.292,6.011,30.515,88.249
78.375,2.759,29.947,84.462
78.417,2.759,29.852,84.600
78.458,2.759,29.768,84.615
78.500,2.759,29.960,84.679
78.542,2.760,30.152,84.723
78.583,2.759,30.168,84.698
78.625,2.759,29.920,84.728
78.667,2.760,30.105,84.762
78.708,2.760,29.874,84.762
78.750,2.760,30.119,84.751
78.792,2.759,30.105,84.747
78.833,2.759,29.825,84.735
78.875,2.759,29.755,84.709
78.958,6.011,30.835,87.932
79.000,6.009,30.600,87.837
79.042,6.009,30.771,87.897
79.083,6.010,30.967,87.943
79.125,6.011,30.650,88.048
79.167,6.011,30.625,87.999
79.208,6.011,30.705,87.913
79.250,6.010,30.884,87.954
79.292,6.010,30.718,87.971
79.375,2.759,30.026,86.971
79.417,2.759,29.814,85.253
79.458,2.759,30.076,84.852
79.500,2.759,30.127,84.772
79.542,2.759,30.143,84.782
79.583,2.759,30.064,84.714
79.625,2.759,29.881,84.684
79.667,2.759,30.048,84.708
79.708,2.759,30.146,84.754
79.750,2.759,29.932,84.808
79.792,2.758,29.850,84.812
79.833,2.758,30.016,84.845
79.875,2.758,30.057,84.835
79.958,6.011,30.541,87.849
80.000,6.009,30.623,87.853
80.042,6.010,30.701,87.889
80.083,6.009,30.561,87.896
80.125,6.009,30.921,87.879
80.167,6.011,30.633,87.790
80.208,6.011,30.534,87.767
80.250,6.013,30.563,87.785
80.292,6.012,30.589,87.768
80.375,2.758,29.983,87.353
80.417,2.758,30.126,84.885
80.458,2.758,30.083,84.660
