DOL,CD,FI3312B
13.042,6.011,31.699
13.083,6.012,31.623
13.125,6.015,31.855
13.167,6.013,31.800
13.208,6.011,31.711
13.250,6.013,31.787
13.292,6.012,31.510
13.375,6.013,31.754
13.417,6.013,31.517
13.458,6.014,31.762
13.500,6.014,31.622
13.542,6.015,31.731
13.583,6.015,31.542
13.625,6.013,31.638
13.667,6.014,31.756
13.708,6.013,31.650
13.750,6.013,31.722
13.792,6.011,31.724
13.833,6.010,31.561
13.875,6.012,31.511
13.958,6.012,31.826
14.000,6.011,31.477
14.042,6.012,31.484
14.083,6.013,31.592
14.125,6.014,31.547
14.167,6.013,31.558
14.208,6.013,31.583
14.250,6.013,31.622
14.292,6.014,31.636
14.375,6.013,31.702
14.417,5.982,31.648
14.458,6.013,31.639
14.500,6.013,31.740
14.542,6.014,31.757
14.583,6.012,31.496
14.625,6.014,31.637
14.667,6.013,31.632
14.708,6.013,31.548
14.750,6.012,31.755
14.792,6.013,31.343
14.833,6.012,31.608
14.875,6.012,31.716
14.958,6.014,31.446
15.000,6.011,31.408
15.042,6.011,31.823
15.083,6.011,31.686
15.125,6.011,31.626
15.167,6.011,31.700
15.208,6.010,31.475
15.250,6.010,31.603
15.292,6.013,31.644
15.375,6.014,31.725
15.417,6.014,31.956
15.458,6.013,31.675
15.500,6.013,31.619
15.542,6.014,31.552
15.583,6.015,31.662
15.625,6.015,31.495
15.667,6.014,31.598
15.708,6.014,31.741
15.750,6.014,31.742
15.792,6.012,31.733
15.833,6.014,31.654
15.875,6.013,31.646
15.958,6.013,31.784
16.000,6.012,31.718
16.042,6.013,31.703
16.083,6.012,31.464
16.125,6.011,31.439
16.167,6.011,31.627
16.208,6.014,31.613
16.250,6.013,31.593
16.292,6.011,31.506
16.375,6.012,31.752
16.417,6.013,31.532
16.458,6.014,31.480
16.500,6.014,31.691
16.542,6.014,31.287
16.583,6.014,31.506
16.625,6.013,31.686
16.667,6.015,31.679
16.708,6.014,31.584
16.750,6.014,31.815
16.792,6.013,31.464
16.833,6.012,31.743
16.875,6.013,31.884
16.958,6.013,31.698
17.000,6.014,31.753
17.042,6.012,31.672
17.083,6.013,31.688
17.125,6.010,31.723
17.167,6.012,31.661
17.208,6.012,31.582
17.250,6.011,31.899
17.292,6.011,31.902
17.375,6.013,31.681
17.417,6.012,31.550
17.458,6.013,31.369
17.500,6.012,31.274
17.542,6.014,31.578
17.583,6.014,31.651
17.625,6.013,31.654
17.667,6.013,31.456
17.708,6.013,31.562
17.750,6.013,31.733
17.792,6.013,31.590
17.833,6.012,31.704
17.875,6.013,31.673
17.958,6.012,31.405
18.000,6.012,31.661
18.042,6.012,31.468
18.083,6.010,31.455
18.125,6.012,31.575
18.167,6.010,31.709
18.208,6.010,31.731
18.250,6.010,31.610
18.292,6.010,31.494
18.375,6.011,31.647
18.417,6.011,31.572
18.458,6.012,31.622
18.500,6.011,31.535
18.542,6.010,31.502
18.583,6.009,31.410
18.625,6.009,31.447
18.667,6.009,31.821
18.708,6.009,31.817
18.750,6.010,31.790
18.792,6.011,31.548
18.833,6.010,31.799
18.875,6.009,31.503
18.958,6.010,31.488
19.000,6.009,31.495
19.042,6.009,31.472
19.083,6.010,31.434
19.125,6.012,31.181
19.167,6.011,31.691
19.208,6.012,31.570
19.250,6.011,31.690
19.292,6.009,31.539
19.375,6.010,31.465
19.417,6.012,31.484
19.458,6.013,31.512
19.500,6.014,31.727
19.542,6.015,31.422
19.583,6.014,31.612
19.625,6.014,31.702
19.667,6.014,31.489
19.708,6.013,31.395
19.750,6.013,31.610
19.792,6.013,31.327
19.833,6.013,31.506
19.875,6.015,31.459
19.958,6.014,31.557
20.000,6.013,31.644
20.042,6.011,31.700
20.083,6.012,31.873
20.125,6.011,31.603
20.167,6.013,31.910
20.208,6.011,31.817
20.250,6.011,31.741
20.292,6.009,31.736
20.375,6.012,31.816
20.417,6.013,32.003
20.458,6.011,31.814
20.500,6.016,31.752
20.542,6.015,31.876
20.583,6.015,31.747
20.625,6.014,31.430
20.667,6.014,31.636
20.708,6.014,31.661
20.750,6.012,31.832
20.792,6.013,31.625
20.833,6.013,31.406
20.875,6.014,31.368
20.958,6.013,31.481
21.000,6.012,31.463
21.042,6.013,31.607
21.083,6.012,31.484
21.125,6.011,30.950
21.167,6.009,31.072
21.208,6.010,31.540
21.250,6.010,31.373
21.292,6.010,31.402
21.375,6.012,31.530
21.417,6.011,31.499
21.458,6.012,31.373
21.500,6.012,31.752
21.542,6.013,31.401
21.583,6.013,31.402
21.625,6.014,31.711
21.667,6.013,31.763
21.708,6.012,31.512
21.750,6.012,31.807
21.792,6.012,31.894
21.833,6.013,31.774
21.875,6.012,31.784
21.958,6.012,31.679
22.000,6.012,31.884
22.042,6.013,31.468
22.083,6.012,31.367
22.125,6.012,31.462
22.167,6.011,31.305
22.208,6.013,31.412
22.250,6.013,31.628
22.292,6.012,31.538
22.375,6.014,31.612
22.417,6.013,31.651
22.458,6.013,31.737
22.500,6.013,31.892
22.542,6.014,31.707
22.583,6.014,31.471
22.625,6.014,31.663
22.667,6.013,31.502
22.708,6.013,31.783
22.750,6.013,31.519
22.792,6.012,31.612
22.833,6.013,31.784
22.875,6.013,31.494
22.958,6.013,31.586
23.000,6.014,31.533
23.042,6.012,31.460
23.083,6.012,31.567
23.125,6.012,31.561
23.167,6.011,31.489
23.208,6.012,31.477
23.250,6.012,31.451
23.292,6.010,31.452
