CD,FI3312A,FI3312B
6.011,29.550,31.699
6.012,29.689,31.623
6.015,29.792,31.855
6.013,29.020,31.800
6.011,29.716,31.711
6.013,29.441,31.787
6.012,29.691,31.510
6.013,29.687,31.754
6.013,29.685,31.517
6.014,29.417,31.762
6.014,29.636,31.622
6.015,29.220,31.731
6.015,29.702,31.542
6.013,29.838,31.638
6.014,29.437,31.756
6.013,29.711,31.650
6.013,29.716,31.722
6.011,29.872,31.724
6.010,29.534,31.561
6.012,29.662,31.511
6.012,29.779,31.826
6.011,29.797,31.477
6.012,29.658,31.484
6.013,29.796,31.592
6.014,29.657,31.547
6.013,28.938,31.558
6.013,29.738,31.583
6.013,29.799,31.622
6.014,29.755,31.636
6.013,29.377,31.702
5.982,29.848,31.648
6.013,29.983,31.639
6.013,29.619,31.740
6.014,29.812,31.757
6.012,29.805,31.496
6.014,29.460,31.637
6.013,29.581,31.632
6.013,29.093,31.548
6.012,29.074,31.755
6.013,29.739,31.343
6.012,29.652,31.608
6.012,29.318,31.716
6.014,29.391,31.446
6.011,29.652,31.408
6.011,29.854,31.823
6.011,29.724,31.686
6.011,29.670,31.626
6.011,29.902,31.700
6.010,29.674,31.475
6.010,29.809,31.603
6.013,29.853,31.644
6.014,29.491,31.725
6.014,29.191,31.956
6.013,29.838,31.675
6.013,29.721,31.619
6.014,29.699,31.552
6.015,29.632,31.662
6.015,29.731,31.495
6.014,29.660,31.598
6.014,29.831,31.741
6.014,29.720,31.742
6.012,29.850,31.733
6.014,29.896,31.654
6.013,29.310,31.646
6.013,29.722,31.784
6.012,29.623,31.718
6.013,29.874,31.703
6.012,29.696,31.464
6.011,29.819,31.439
6.011,29.421,31.627
6.014,28.992,31.613
6.013,29.603,31.593
6.011,29.857,31.506
6.012,29.677,31.752
6.013,29.820,31.532
6.014,29.793,31.480
6.014,29.100,31.691
6.014,29.802,31.287
6.014,29.717,31.506
6.013,29.163,31.686
6.015,29.245,31.679
6.014,29.497,31.584
6.014,29.715,31.815
6.013,29.701,31.464
6.012,29.571,31.743
6.013,29.419,31.884
6.013,29.356,31.698
6.014,29.452,31.753
6.012,29.591,31.672
6.013,29.549,31.688
6.010,29.619,31.723
6.012,28.791,31.661
6.012,28.755,31.582
6.011,29.130,31.899
6.011,29.317,31.902
6.013,29.526,31.681
6.012,29.570,31.550
6.013,29.336,31.369
6.012,29.337,31.274
6.014,28.833,31.578
6.014,29.452,31.651
6.013,29.428,31.654
6.013,28.829,31.456
