DOL,CD,FI3312A,FI3312B
10.000,6.009,29.634,31.653
10.042,6.010,29.689,31.676
10.083,6.012,29.766,31.835
10.125,6.011,29.016,31.698
10.167,6.010,29.659,31.576
10.208,6.013,29.651,31.587
10.250,6.011,29.542,31.648
10.292,6.011,29.754,31.417
10.375,6.012,29.660,31.740
10.417,6.012,29.614,31.834
10.458,6.012,29.651,31.708
10.500,6.012,29.629,31.578
10.542,6.012,29.706,31.606
10.583,6.013,29.688,31.493
10.625,6.013,29.768,31.628
10.667,6.013,29.371,31.510
10.708,6.012,29.794,31.767
10.750,6.011,29.729,31.961
10.792,6.012,29.739,31.677
10.833,6.010,29.609,31.665
10.875,6.011,29.779,31.902
10.958,6.010,29.855,31.607
11.000,6.010,29.452,31.715
11.042,6.009,29.569,31.586
11.083,6.011,29.593,31.798
11.125,6.010,29.628,31.618
11.167,6.011,29.589,31.640
11.208,6.011,29.603,31.376
11.250,6.011,29.475,31.473
11.292,6.011,29.611,31.665
11.375,6.009,29.788,31.415
11.417,6.012,29.575,31.661
11.458,6.013,29.811,31.632
11.500,6.012,29.771,31.707
11.542,6.012,29.858,31.785
11.583,6.013,29.653,31.538
11.625,6.013,29.628,31.879
11.667,6.012,29.581,31.652
11.708,6.013,29.923,31.695
11.750,6.012,29.814,31.622
11.792,6.012,29.946,31.648
11.833,6.011,29.757,31.673
11.875,6.011,29.159,31.625
11.958,6.013,29.740,31.826
12.000,6.010,29.676,31.757
12.042,6.010,29.733,31.734
12.083,6.011,29.712,31.676
12.125,6.010,29.706,31.539
12.167,6.012,29.393,31.502
12.208,6.011,29.062,31.638
12.250,6.010,29.618,31.541
12.292,6.011,29.589,31.630
12.375,6.010,29.627,31.560
12.417,6.013,29.661,32.056
12.458,6.013,29.770,31.377
12.500,6.013,29.732,31.794
12.542,6.012,29.698,31.629
12.583,6.014,29.836,31.716
12.625,6.014,29.826,31.750
12.667,6.014,29.826,31.419
12.708,6.013,29.792,31.796
12.750,6.014,29.900,31.516
12.792,6.012,29.660,31.561
12.833,6.012,29.830,31.595
12.875,6.011,29.721,31.862
12.958,6.012,29.740,31.666
13.000,6.012,29.673,31.512
13.042,6.011,29.550,31.699
13.083,6.012,29.689,31.623
13.125,6.015,29.792,31.855
13.167,6.013,29.020,31.800
13.208,6.011,29.716,31.711
13.250,6.013,29.441,31.787
13.292,6.012,29.691,31.510
13.375,6.013,29.687,31.754
13.417,6.013,29.685,31.517
13.458,6.014,29.417,31.762
13.500,6.014,29.636,31.622
13.542,6.015,29.220,31.731
13.583,6.015,29.702,31.542
13.625,6.013,29.838,31.638
13.667,6.014,29.437,31.756
13.708,6.013,29.711,31.650
13.750,6.013,29.716,31.722
13.792,6.011,29.872,31.724
13.833,6.010,29.534,31.561
13.875,6.012,29.662,31.511
13.958,6.012,29.779,31.826
14.000,6.011,29.797,31.477
14.042,6.012,29.658,31.484
14.083,6.013,29.796,31.592
14.125,6.014,29.657,31.547
14.167,6.013,28.938,31.558
14.208,6.013,29.738,31.583
14.250,6.013,29.799,31.622
