DOL,CD,FI3312A,FI3312B
40.792,6.013,28.937,30.398
40.833,6.012,28.882,30.493
40.875,6.012,28.811,30.526
40.958,6.012,28.806,30.746
41.000,6.014,28.768,30.478
41.042,6.012,28.847,30.349
41.083,6.012,28.392,30.548
41.125,6.011,28.743,30.445
41.167,6.011,28.881,30.161
41.208,6.013,28.842,30.156
41.250,6.012,28.649,30.393
41.292,6.012,28.748,30.431
41.375,6.012,28.825,30.459
41.417,6.013,28.744,30.265
41.458,6.012,28.872,30.364
41.500,6.013,28.776,30.466
41.542,6.013,28.861,30.450
41.583,6.013,28.852,30.499
41.625,6.013,28.937,30.217
41.667,6.013,28.958,30.448
41.708,6.013,28.919,30.295
41.750,6.014,28.883,30.404
41.792,6.015,28.503,30.451
41.833,6.012,29.008,30.528
41.875,6.012,28.838,30.326
41.958,6.014,28.983,30.350
42.000,6.014,28.888,30.047
42.042,6.014,29.005,30.054
42.083,6.012,28.509,30.185
42.125,6.013,28.646,30.240
42.167,6.014,28.861,30.142
42.208,6.012,28.844,30.225
42.250,6.012,28.857,30.109
42.292,6.011,28.992,30.256
42.375,6.012,28.653,30.335
42.417,6.012,28.847,30.100
42.458,6.013,28.041,30.281
42.500,6.013,28.503,30.006
42.542,6.013,28.130,30.081
42.583,6.013,28.861,30.369
42.625,6.014,28.596,30.186
42.667,6.013,28.166,30.154
42.708,6.012,28.744,30.219
42.750,6.013,28.621,30.279
42.792,6.012,28.134,30.162
42.833,6.013,28.562,30.132
42.875,6.013,28.816,30.316
42.958,6.012,28.283,30.311
43.000,6.013,28.914,30.207
43.042,6.014,28.829,30.338
43.083,6.015,28.869,30.304
43.125,6.014,28.809,30.119
43.167,6.014,28.537,30.265
43.208,6.013,28.176,30.164
43.250,6.012,28.266,30.171
43.292,6.013,28.827,30.173
43.375,6.012,28.474,30.034
43.417,6.013,28.949,30.160
43.458,6.013,28.801,30.080
43.500,6.013,28.805,30.252
43.542,6.015,28.912,30.198
43.583,6.015,28.445,30.072
43.625,6.016,28.043,30.231
43.667,6.015,28.869,30.169
43.708,6.014,28.597,30.225
43.750,6.015,28.139,30.000
43.792,6.014,28.801,30.154
43.833,6.014,28.258,30.066
43.875,6.014,28.227,30.155
43.958,6.014,28.576,29.964
44.000,6.014,28.785,30.173
44.042,6.014,28.328,29.973
44.083,6.014,28.495,29.992
44.125,6.012,28.856,30.266
44.167,6.012,28.254,30.072
44.208,6.013,28.755,29.755
44.250,6.015,28.485,30.074
44.292,6.012,28.463,29.922
44.375,6.012,28.883,30.134
44.417,6.013,28.829,30.168
44.458,6.013,28.486,29.880
44.500,6.015,28.987,29.869
44.542,6.017,28.990,30.271
44.583,6.013,29.085,30.147
44.625,6.014,29.143,30.094
44.667,6.015,28.888,30.077
44.708,6.014,28.968,30.118
44.750,6.015,28.303,30.180
44.792,6.015,28.231,30.231
44.833,6.014,28.327,30.377
44.875,6.013,28.710,30.140
44.958,6.015,28.142,30.372
45.000,6.013,28.726,30.066
45.042,6.013,28.845,30.177
45.083,6.014,28.644,30.231
45.125,6.014,28.200,30.091
45.167,6.012,28.355,30.226
45.208,6.013,28.343,30.223
45.250,6.014,28.438,30.088
45.292,6.012,28.746,30.068
45.375,6.013,28.166,30.121
45.417,6.013,28.032,30.105
45.458,6.014,28.381,30.297
45.500,6.014,28.575,30.170
45.542,6.014,28.280,30.119
45.583,6.015,28.891,29.963
45.625,6.016,28.868,30.060
45.667,6.016,28.142,30.016
45.708,6.014,28.854,30.196
45.750,6.016,28.698,30.326
45.792,6.015,28.762,30.227
45.833,6.016,29.055,30.256
45.875,6.014,28.915,30.319
45.958,6.012,28.437,30.335
46.000,6.014,28.790,30.076
46.042,6.014,28.121,30.249
46.083,6.015,28.817,30.134
46.125,6.014,28.662,30.117
46.167,6.014,28.036,30.092
46.208,6.014,28.186,30.406
46.250,6.016,28.838,30.101
46.292,6.017,28.636,30.205
46.375,6.014,29.564,30.052
46.417,6.014,29.317,29.957
46.458,6.018,29.660,29.850
46.500,6.016,29.465,30.117
46.542,6.018,29.205,30.224
46.583,6.017,29.456,29.761
46.625,6.015,29.061,30.058
46.667,6.016,29.575,30.238
46.708,6.015,29.086,29.892
46.750,6.019,29.090,30.123
46.792,6.016,29.478,29.939
46.833,6.017,29.448,30.164
46.875,6.017,28.937,30.131
46.958,6.017,28.655,30.027
47.000,6.014,28.954,29.950
47.042,6.014,28.526,29.990
47.083,6.015,29.200,30.159
47.125,6.014,29.306,29.963
47.167,6.012,28.833,29.810
47.208,6.012,29.280,29.751
47.250,6.013,28.943,29.960
47.292,6.014,29.082,29.876
47.375,6.014,29.550,30.164
47.417,6.014,29.580,29.950
47.458,6.015,29.615,29.861
47.500,6.015,29.371,29.906
47.542,6.015,29.315,29.966
47.583,6.016,29.350,29.951
47.625,6.015,29.294,30.279
47.667,6.016,28.748,29.929
47.708,6.016,29.430,29.893
47.750,6.014,28.919,29.987
47.792,6.014,29.521,30.133
47.833,6.016,29.250,29.832
47.875,6.015,29.439,30.131
47.958,6.015,28.864,30.101
48.000,6.014,29.363,30.078
48.042,6.014,28.628,30.110
48.083,6.015,29.086,30.114
48.125,6.014,29.314,29.954
48.167,6.013,28.689,30.021
48.208,6.014,28.713,30.017
48.250,6.014,29.486,30.003
48.292,6.013,29.621,29.777
48.375,6.014,29.062,29.896
48.417,6.014,29.113,29.827
48.458,6.013,29.092,29.881
48.500,5.211,28.259,29.159
48.542,5.578,28.677,29.793
48.583,6.011,29.023,29.936
48.625,6.013,29.273,30.032
48.667,6.013,29.212,29.770
48.708,6.014,29.125,30.052
48.750,6.013,29.100,30.218
48.792,6.010,29.418,30.144
48.833,6.012,28.666,30.233
48.875,6.014,28.547,30.091
48.958,6.012,29.245,30.057
49.000,6.014,28.692,30.005
49.042,6.015,28.844,30.125
49.083,6.013,28.811,30.036
49.125,6.012,29.325,29.923
49.167,6.013,29.179,29.831
49.208,6.011,28.929,30.163
49.250,6.012,28.946,29.870
49.292,6.011,28.853,29.862
49.375,6.013,29.068,29.916
49.417,6.014,28.818,30.072
49.458,5.672,29.376,29.546
49.500,5.671,29.090,29.721
49.542,6.010,28.572,29.672
49.583,6.008,29.052,29.916
49.625,6.008,28.690,30.105
49.667,6.009,29.254,29.725
49.708,6.010,28.791,29.928
49.750,6.011,29.233,29.955
49.792,6.010,29.396,30.054
49.833,6.010,29.268,29.727
49.875,6.011,29.346,30.000
49.958,6.009,29.185,29.714
50.000,6.010,29.140,29.659
50.042,6.011,28.844,29.621
50.083,6.009,29.187,29.879
50.125,6.009,29.273,29.845
50.167,6.009,29.293,29.825
50.208,6.010,28.715,29.588
50.250,6.010,28.975,29.501
50.292,6.009,28.879,29.601
50.375,6.009,29.182,29.538
50.417,6.010,29.280,29.769
50.458,6.009,29.158,29.444
50.500,6.010,28.602,29.754
50.542,6.011,29.148,29.911
50.583,6.010,28.628,29.720
50.625,6.011,29.033,29.706
50.667,6.010,28.966,29.833
50.708,6.010,29.106,30.368
50.750,6.010,29.335,30.425
50.792,6.012,29.657,30.506
50.833,6.011,28.992,30.156
50.875,6.011,29.363,30.243
50.958,6.011,29.055,30.206
51.000,6.010,29.725,30.281
51.042,6.012,29.736,30.279
51.083,6.011,29.749,30.190
51.125,6.011,29.449,30.493
51.167,6.011,29.614,30.256
51.208,6.010,29.588,30.071
51.250,6.010,29.923,30.082
51.292,6.010,29.745,29.855
51.375,6.011,29.124,30.156
51.417,6.014,29.756,30.181
51.458,6.014,29.951,30.461
51.500,6.014,29.076,30.109
51.542,6.014,29.510,30.288
51.583,6.013,29.886,30.302
51.625,6.014,29.992,30.179
51.667,6.014,29.732,30.422
51.708,6.013,29.460,30.188
51.750,6.013,29.285,30.325
51.792,6.014,29.079,30.156
51.833,6.014,29.908,29.991
51.875,6.014,29.193,29.868
51.958,6.014,29.193,30.404
52.000,6.013,29.359,30.313
52.042,6.014,29.944,30.263
52.083,6.015,30.050,30.173
52.125,6.013,30.153,29.960
52.167,6.012,30.011,30.506
52.208,6.012,30.026,30.161
52.250,6.012,30.277,30.246
52.292,6.011,29.464,30.064
52.375,6.012,29.535,30.287
52.417,6.013,29.859,30.088
52.458,6.012,29.903,30.078
52.500,6.013,29.918,30.199
52.542,6.013,29.622,30.030
52.583,6.014,29.633,30.118
52.625,6.012,29.363,30.158
52.667,6.012,29.847,30.123
52.708,6.013,29.761,30.284
52.750,6.013,29.860,30.198
52.792,6.012,29.807,30.127
52.833,6.012,29.530,30.127
52.875,6.014,29.856,30.350
52.958,6.012,29.822,29.994
53.000,6.012,29.609,30.143
53.042,6.013,29.667,30.041
53.083,6.014,29.076,29.870
53.125,6.014,29.928,30.060
53.167,6.014,29.159,29.972
53.208,6.013,29.222,30.040
53.250,6.013,29.610,30.063
53.292,6.013,29.964,30.138
53.375,6.014,29.455,30.061
53.417,6.014,29.872,30.139
53.458,6.014,29.904,30.082
53.500,6.015,29.882,29.876
53.542,6.014,29.726,30.087
53.583,6.015,30.028,29.841
53.625,6.014,29.928,30.052
53.667,6.014,30.285,30.211
53.708,6.015,29.453,29.963
53.750,6.014,29.974,29.857
53.792,6.014,30.161,30.089
53.833,6.013,29.428,30.136
53.875,6.014,30.020,30.097
53.958,6.014,29.934,30.054
54.000,6.014,29.502,30.109
54.042,6.014,29.627,29.990
54.083,6.013,30.159,30.125
54.125,6.014,29.475,30.040
54.167,6.013,29.427,30.137
54.208,6.015,29.368,29.956
54.250,6.014,30.036,29.939
54.292,6.014,30.083,30.067
54.375,6.014,29.394,30.079
54.417,6.013,30.137,30.016
54.458,6.014,29.352,29.994
54.500,6.015,29.317,30.152
54.542,6.014,30.091,30.014
54.583,6.014,29.554,30.117
54.625,6.015,30.157,29.870
54.667,6.015,29.971,30.154
54.708,6.015,29.886,29.959
54.750,6.015,30.083,29.852
54.792,6.016,29.718,30.283
54.833,6.014,30.002,29.941
54.875,6.015,29.432,29.963
54.958,6.014,30.139,30.070
55.000,6.015,29.252,30.196
55.042,6.013,29.130,30.184
55.083,6.014,29.922,30.095
55.125,6.012,30.128,29.917
55.167,6.012,29.485,30.081
55.208,6.013,30.178,29.950
55.250,6.013,29.420,29.946
55.292,6.013,30.309,30.236
55.375,6.011,30.024,29.942
55.417,6.014,30.137,29.888
55.458,6.014,29.300,29.970
55.500,6.014,29.674,30.137
55.542,6.014,29.358,29.837
55.583,6.016,30.147,30.006
55.625,6.014,30.159,30.104
55.667,6.015,29.370,30.113
55.708,6.014,30.269,30.132
55.750,6.015,29.871,30.066
55.792,6.015,29.548,30.044
55.833,6.014,30.158,29.909
55.875,6.014,29.328,29.994
55.958,6.015,30.131,30.028
56.000,6.013,29.833,29.837
56.042,6.013,30.141,30.038
56.083,6.013,29.857,29.881
56.125,6.014,30.056,29.997
56.167,6.013,29.727,30.031
56.208,6.013,29.751,30.060
56.250,6.015,29.966,29.913
56.292,6.013,29.902,30.010
56.375,6.014,30.355,30.016
56.417,6.014,29.727,29.802
56.458,6.014,30.304,29.911
56.500,6.015,30.115,29.919
56.542,6.014,29.546,29.707
56.583,6.014,30.084,30.042
56.625,6.015,29.478,29.854
56.667,6.015,29.930,29.752
56.708,6.015,30.561,29.915
56.750,6.015,29.817,29.997
56.792,6.014,30.413,30.019
56.833,6.014,30.462,29.827
56.875,6.015,30.020,30.798
56.958,6.013,29.532,30.996
57.000,6.014,29.401,30.748
57.042,6.015,30.183,30.525
57.083,6.014,30.167,30.753
57.125,6.013,29.604,30.556
57.167,6.013,29.443,30.685
57.208,6.014,30.160,30.669
57.250,6.014,29.892,30.856
57.292,6.014,30.119,30.474
57.375,6.014,30.416,30.695
57.417,6.014,29.509,30.765
57.458,6.014,29.570,30.680
57.500,6.015,29.924,30.729
57.542,6.015,29.626,30.669
57.583,6.014,29.536,30.651
57.625,6.014,30.359,30.656
57.667,6.013,30.256,30.887
57.708,6.014,30.053,30.622
57.750,6.014,29.434,30.753
57.792,6.014,30.306,30.825
57.833,6.014,29.465,30.806
57.875,6.012,30.205,30.833
57.958,6.013,30.221,30.749
58.000,6.013,29.897,30.698
58.042,6.013,30.066,30.862
58.083,6.013,30.125,30.695
58.125,6.012,29.750,30.773
58.167,6.011,29.848,30.707
58.208,6.012,29.591,30.425
58.250,6.013,30.190,30.588
58.292,6.012,30.107,30.551
58.375,6.014,30.262,30.653
58.417,6.014,29.357,30.687
58.458,6.014,30.109,30.810
58.500,6.014,30.121,30.906
58.542,6.016,29.440,30.646
58.583,6.015,29.766,30.601
58.625,6.015,29.487,30.665
58.667,6.017,29.787,30.695
58.708,6.017,29.516,30.618
58.750,6.016,30.173,30.673
58.792,6.016,30.088,30.516
58.833,6.014,30.024,30.658
58.875,6.016,29.593,30.818
58.958,6.016,29.792,30.785
59.000,6.016,29.444,30.507
59.042,6.016,29.359,30.557
59.083,6.016,29.976,30.935
59.125,6.013,29.651,30.671
59.167,6.014,29.961,30.651
59.208,6.014,29.885,30.675
59.250,6.014,29.815,30.420
59.292,6.013,29.754,30.671
59.375,6.014,29.686,30.521
59.417,6.016,30.075,30.753
59.458,6.015,29.597,30.703
59.500,6.016,30.206,30.742
59.542,6.016,29.232,30.702
59.583,6.016,30.167,30.694
59.625,6.016,30.036,30.608
59.667,6.015,29.333,30.798
59.708,6.015,29.302,30.651
59.750,6.016,30.319,30.796
59.792,6.015,29.724,30.627
59.833,6.015,30.046,30.808
59.875,6.015,29.847,30.940
59.958,6.015,29.840,30.687
60.000,6.014,29.886,30.506
60.042,6.013,29.200,30.584
60.083,6.011,29.031,30.692
60.125,6.012,29.960,30.650
60.167,6.013,29.645,30.691
60.208,6.013,29.690,30.652
60.250,6.014,29.428,30.609
60.292,6.013,29.396,30.457
60.375,6.014,29.292,30.673
60.417,6.015,29.773,30.648
60.458,6.015,29.510,30.704
60.500,6.015,29.980,30.543
60.542,6.014,29.747,30.766
60.583,6.016,29.397,30.751
60.625,6.015,29.700,30.915
60.667,6.016,29.662,30.838
60.708,6.017,29.278,30.527
60.750,6.015,29.684,30.850
60.792,6.015,30.047,30.916
60.833,6.015,29.087,30.945
60.875,6.015,29.135,30.633
60.958,6.013,29.744,30.834
61.000,6.014,29.906,30.822
61.042,6.015,29.686,31.031
61.083,6.015,30.221,30.806
61.125,6.015,29.840,30.872
61.167,6.016,29.422,30.814
61.208,6.014,29.358,30.666
61.250,6.015,29.937,30.589
61.292,6.016,29.097,30.801
61.375,6.015,29.928,30.813
61.417,6.015,29.485,30.801
61.458,6.017,29.458,31.009
61.500,6.017,29.273,30.776
61.542,6.017,30.228,30.639
61.583,6.016,30.097,30.532
61.625,6.016,29.586,30.898
61.667,6.014,29.285,30.660
61.708,6.016,29.465,30.376
61.750,6.014,29.766,30.662
61.792,6.014,29.647,30.710
61.833,6.015,29.692,30.644
61.875,6.015,29.331,30.600
61.958,6.014,29.684,30.792
62.000,6.015,30.100,30.596
62.042,6.015,29.393,30.737
62.083,6.015,29.495,30.572
62.125,6.014,29.024,30.797
62.167,6.015,29.497,30.654
62.208,6.015,29.891,30.738
62.250,6.015,29.638,30.369
62.292,6.013,29.790,30.481
62.375,6.012,29.723,30.154
62.417,6.014,29.860,30.666
62.458,6.012,29.797,30.536
62.500,6.013,29.986,30.362
62.542,6.015,29.462,30.517
62.583,6.013,29.463,30.311
62.625,6.014,29.246,30.655
62.667,6.013,30.064,30.615
62.708,6.014,29.705,30.532
62.750,6.012,29.084,30.520
62.792,6.014,30.386,30.359
62.833,6.011,30.255,30.650
62.875,6.014,30.202,30.553
62.958,6.014,29.672,30.465
63.000,6.013,30.368,30.726
63.042,6.014,30.480,30.545
63.083,6.014,30.394,30.489
63.125,6.014,30.282,30.523
63.167,6.014,30.486,30.342
63.208,6.014,30.366,30.337
63.250,6.014,30.054,30.248
63.292,6.012,29.650,30.285
63.375,4.247,24.899,29.420
63.417,2.451,13.575,30.126
63.458,2.452,13.596,30.405
63.500,2.451,13.565,30.311
63.542,2.451,13.570,30.466
63.583,2.452,13.604,30.514
63.625,2.453,13.641,30.679
63.667,2.453,13.611,30.110
63.708,2.452,13.601,30.263
63.750,2.452,13.579,30.385
63.792,2.451,13.523,30.030
63.833,2.451,13.450,30.519
63.875,2.452,13.436,30.038
63.958,6.010,30.046,31.413
64.000,6.009,29.862,31.191
64.042,6.010,29.112,31.109
64.083,6.010,29.907,31.177
64.125,6.009,29.257,31.180
64.167,6.009,29.704,31.074
64.208,6.009,29.385,31.175
64.250,6.009,29.394,31.123
64.292,6.009,29.126,31.048
64.375,2.756,14.648,30.486
64.417,2.756,14.652,30.683
64.458,2.757,14.611,30.398
64.500,2.756,14.630,30.521
64.542,2.757,14.745,30.393
64.583,2.757,14.756,30.462
64.625,2.758,14.864,30.557
64.667,2.757,14.896,30.439
64.708,2.757,14.890,30.534
64.750,2.758,14.939,30.405
64.792,2.757,14.896,30.121
64.833,2.757,14.810,30.454
64.875,2.756,14.856,30.188
64.958,6.010,29.593,31.093
65.000,6.008,29.890,30.989
65.042,6.009,29.655,31.003
65.083,6.008,29.677,30.959
65.125,6.008,29.913,30.988
65.167,6.007,29.544,30.816
65.208,6.008,29.802,31.012
65.250,6.008,29.365,30.969
65.292,6.008,29.179,30.952
65.375,6.008,29.847,31.092
65.417,6.010,29.737,30.884
65.458,6.011,29.710,31.110
65.500,6.012,29.958,30.927
65.542,6.012,29.954,31.027
65.583,6.013,29.838,31.367
65.625,6.013,29.820,31.106
65.667,6.011,29.740,31.400
65.708,6.011,30.047,31.116
65.750,6.013,29.578,31.042
65.792,6.012,30.330,31.004
65.833,6.012,29.919,31.212
65.875,6.012,29.878,30.976
65.958,6.011,29.298,30.922
66.000,6.010,29.932,31.118
66.042,6.012,29.992,31.075
66.083,6.010,29.697,31.072
66.125,6.010,29.621,30.717
66.167,6.009,29.819,31.125
66.208,6.009,29.833,30.972
66.250,6.010,29.841,30.979
66.292,6.011,29.270,30.775
66.375,2.726,14.908,30.118
66.417,2.726,14.853,30.534
66.458,2.726,14.866,30.169
66.500,2.727,14.925,30.340
66.542,2.727,14.974,30.622
66.583,2.726,14.990,30.649
66.625,2.726,14.968,30.399
66.667,3.309,17.416,29.971
66.708,3.309,17.036,30.379
66.750,3.308,17.223,30.208
66.792,3.307,17.263,30.413
66.833,3.307,17.287,30.197
66.875,3.308,17.283,30.139
66.958,6.009,29.013,31.061
67.000,6.008,29.796,30.958
67.042,6.009,29.725,31.013
67.083,6.010,29.853,30.967
67.125,6.012,29.838,30.923
67.167,6.010,29.836,30.863
67.208,6.010,29.151,30.525
67.250,6.011,29.851,30.943
67.292,6.010,28.912,31.065
67.375,3.282,16.295,30.284
67.417,3.282,16.379,30.694
67.458,3.283,16.306,30.408
67.500,3.282,16.318,30.542
67.542,3.282,16.300,30.410
67.583,3.282,16.288,30.119
67.625,3.281,16.286,30.367
67.667,3.281,16.447,31.334
67.708,3.280,17.120,31.237
67.750,3.280,17.149,30.588
67.792,2.759,14.970,30.855
67.833,2.758,14.979,30.783
67.875,2.759,15.018,30.932
67.958,6.012,28.846,31.144
68.000,6.012,29.458,31.095
68.042,6.012,29.470,30.394
68.083,6.013,29.238,30.420
68.125,6.011,29.080,30.418
68.167,6.010,29.110,30.293
68.208,6.011,28.754,30.530
68.250,6.012,29.297,30.267
68.292,6.013,29.117,30.462
68.375,6.012,28.928,30.855
68.417,6.015,28.748,30.888
68.458,6.016,28.985,30.713
68.500,6.016,29.359,30.640
68.542,6.015,29.265,30.575
68.583,6.014,28.689,30.789
68.625,6.012,29.108,30.865
68.667,6.012,28.462,31.147
68.708,6.015,29.588,30.919
68.750,6.015,28.985,30.747
68.792,6.016,29.468,31.024
68.833,6.014,29.386,30.775
68.875,6.014,28.941,30.686
68.958,6.014,29.471,30.694
69.000,6.012,29.353,30.626
69.042,6.011,28.713,30.751
69.083,6.012,29.206,30.652
69.125,6.010,29.110,30.606
69.167,6.010,29.366,30.731
69.208,6.012,29.399,30.857
69.250,6.011,29.392,30.853
69.292,6.010,28.658,30.556
69.375,6.014,28.925,30.615
69.417,6.014,28.963,31.036
69.458,6.014,29.660,31.032
69.500,6.015,29.422,30.885
69.542,6.016,29.505,30.841
69.583,6.016,28.956,31.016
69.625,6.016,29.627,30.986
69.667,6.016,29.189,30.719
69.708,6.015,29.485,31.030
69.750,6.015,29.506,30.802
69.792,6.016,29.055,30.828
69.833,6.015,29.263,30.964
69.875,6.015,28.991,31.028
69.958,6.013,29.587,30.883
70.000,6.014,29.233,30.797
70.042,6.014,29.473,30.775
70.083,6.015,29.401,31.029
70.125,6.013,28.807,30.933
70.167,6.014,29.373,30.941
70.208,6.013,28.874,30.398
70.250,6.013,28.734,30.627
70.292,6.013,29.253,30.535
70.375,3.039,17.906,30.199
70.417,2.456,14.133,29.952
70.458,2.455,14.140,30.385
70.500,2.455,14.120,30.077
70.542,2.455,14.181,30.296
70.583,2.455,14.159,29.919
70.625,2.454,14.156,29.913
70.667,2.454,14.120,30.129
70.708,2.454,14.125,29.827
70.750,2.452,14.059,30.038
70.792,2.453,14.064,29.785
70.833,2.452,13.981,29.888
70.875,2.453,14.051,29.987
70.958,6.012,29.036,30.630
71.000,6.012,28.892,30.805
71.042,6.014,28.839,30.707
71.083,6.013,29.203,30.818
71.125,6.013,28.615,30.686
71.167,6.012,28.883,30.706
71.208,6.012,28.343,30.985
71.250,6.011,29.576,30.840
71.292,6.012,28.744,30.921
71.375,2.728,15.047,29.926
71.417,2.453,13.586,30.995
71.458,2.453,13.569,31.164
71.500,2.452,13.470,30.642
71.542,2.453,13.535,30.719
71.583,2.452,13.533,30.895
71.625,2.452,13.539,30.708
71.667,2.452,13.634,30.897
71.708,2.453,13.584,30.793
71.750,2.453,13.553,30.865
71.792,2.452,13.550,30.680
71.833,2.452,13.519,30.950
71.875,2.452,13.526,30.924
71.958,6.013,28.553,31.959
72.000,6.012,28.266,31.859
72.042,6.013,28.294,31.861
72.083,6.011,28.295,31.825
72.125,6.011,28.459,31.899
72.167,6.011,28.138,31.885
72.208,6.012,28.076,31.797
72.250,6.011,28.513,31.927
72.292,6.012,28.059,31.819
72.375,3.219,15.995,30.875
72.417,2.454,14.876,31.148
72.458,2.454,14.866,31.035
72.500,2.454,14.756,31.049
72.542,2.453,14.746,30.871
72.583,2.453,14.767,31.035
72.625,2.453,14.763,31.010
72.667,2.453,14.716,30.855
72.708,2.453,14.719,30.945
72.750,2.453,14.703,30.773
72.792,2.454,14.746,30.596
72.833,2.452,14.744,30.981
72.875,2.452,14.729,30.943
72.958,6.011,29.574,30.981
73.000,6.013,29.067,31.056
73.042,6.012,29.714,30.796
73.083,6.012,29.645,30.744
73.125,6.012,29.616,30.711
73.167,6.012,29.706,30.738
73.208,6.013,29.595,30.810
73.250,6.012,29.585,30.896
73.292,6.013,29.157,30.993
73.375,2.454,14.140,29.719
73.417,2.454,14.725,30.065
73.458,2.454,14.742,29.986
73.500,2.454,14.749,30.036
73.542,2.452,14.714,29.965
73.583,2.453,14.826,30.120
73.625,2.453,14.815,29.951
73.667,2.453,14.941,29.915
73.708,2.453,14.947,30.013
73.750,2.452,14.950,30.048
73.792,2.452,14.950,29.888
73.833,2.453,14.965,29.992
73.875,2.452,14.862,30.212
73.958,6.012,29.458,30.816
74.000,6.013,29.840,31.159
74.042,6.013,29.958,30.946
74.083,6.011,29.945,30.774
74.125,6.011,29.803,30.885
74.167,6.011,29.892,30.675
74.208,6.011,29.909,30.720
74.250,6.012,29.595,30.824
74.292,6.011,29.871,30.861
74.375,2.453,14.148,30.054
74.417,2.453,14.190,30.121
74.458,2.454,14.205,30.300
74.500,2.454,14.232,30.044
74.542,2.454,14.219,30.236
74.583,2.454,14.217,30.340
74.625,2.454,14.302,30.276
74.667,2.453,14.411,30.058
74.708,2.454,14.373,29.970
74.750,2.454,14.347,29.899
74.792,2.453,14.356,30.048
74.833,2.453,14.355,29.970
74.875,2.453,14.341,30.048
74.958,6.012,29.507,31.152
75.000,6.013,29.496,30.899
75.042,6.014,29.362,30.840
75.083,6.012,29.454,30.988
75.125,6.012,29.401,30.946
75.167,6.011,29.358,30.826
75.208,6.012,29.678,31.087
75.250,6.013,29.431,31.045
75.292,6.011,29.356,31.159
75.375,6.013,29.371,30.700
75.417,6.013,29.128,30.822
75.458,6.014,29.373,30.580
75.500,6.014,28.808,30.805
75.542,6.014,29.428,30.643
75.583,6.015,29.253,30.708
75.625,6.015,29.325,30.653
75.667,6.016,29.400,30.982
75.708,6.014,29.284,30.681
75.750,6.016,29.140,30.767
75.792,6.016,29.128,30.764
75.833,6.016,29.293,30.590
75.875,6.016,29.258,30.611
75.958,6.015,29.266,30.649
76.000,6.015,29.403,30.725
76.042,6.015,29.318,30.842
76.083,6.014,29.176,30.780
76.125,6.014,29.158,30.799
76.167,6.014,29.310,30.565
76.208,6.014,29.050,30.839
76.250,6.014,29.324,30.904
76.292,6.013,29.275,30.471
76.375,6.014,29.296,30.639
76.417,6.013,29.332,30.665
76.458,6.014,28.663,30.791
76.500,6.014,29.205,30.757
76.542,6.016,29.254,30.829
76.583,6.014,28.961,30.815
76.625,6.014,29.308,30.813
76.667,6.015,29.236,30.811
76.708,6.014,29.191,30.785
76.750,6.015,29.380,30.791
76.792,6.014,29.355,31.007
76.833,6.014,28.771,30.812
76.875,6.014,28.914,30.979
76.958,6.014,29.158,30.912
77.000,6.012,29.320,31.069
77.042,6.014,29.184,31.227
77.083,6.013,29.215,30.917
77.125,6.014,29.122,30.966
77.167,6.012,28.805,30.925
77.208,6.014,29.359,30.915
77.250,6.012,29.373,30.936
77.292,6.012,29.400,30.953
77.375,2.761,16.997,29.878
77.417,2.760,14.975,30.039
77.458,2.761,15.119,29.913
77.500,2.761,15.007,29.962
77.542,2.759,14.974,29.941
77.583,2.758,15.008,29.776
77.625,2.758,15.044,29.905
77.667,2.759,15.100,30.055
77.708,2.758,15.028,30.223
77.750,2.759,15.158,29.899
77.792,2.759,15.207,30.023
77.833,2.758,15.164,29.880
77.875,2.759,15.059,29.961
77.958,6.012,29.122,30.863
78.000,6.014,28.586,30.875
78.042,6.012,28.648,30.708
78.083,6.011,28.755,30.653
78.125,6.011,28.711,30.625
78.167,6.011,28.745,30.924
78.208,6.013,28.576,30.349
78.250,6.010,28.486,30.631
78.292,6.011,28.835,30.515
78.375,2.759,15.360,29.947
78.417,2.759,15.358,29.852
78.458,2.759,15.220,29.768
78.500,2.759,15.290,29.960
78.542,2.760,15.341,30.152
78.583,2.759,15.291,30.168
78.625,2.759,15.352,29.920
78.667,2.760,15.365,30.105
78.708,2.760,15.354,29.874
78.750,2.760,15.348,30.119
78.792,2.759,15.317,30.105
78.833,2.759,15.259,29.825
78.875,2.759,15.216,29.755
78.958,6.011,28.493,30.835
79.000,6.009,28.338,30.600
79.042,6.009,28.121,30.771
79.083,6.010,28.580,30.967
79.125,6.011,28.648,30.650
79.167,6.011,28.733,30.625
79.208,6.011,28.424,30.705
79.250,6.010,28.593,30.884
79.292,6.010,28.635,30.718
79.375,2.759,14.607,30.026
79.417,2.759,14.458,29.814
79.458,2.759,14.443,30.076
79.500,2.759,14.447,30.127
79.542,2.759,14.460,30.143
79.583,2.759,14.456,30.064
79.625,2.759,14.453,29.881
79.667,2.759,14.449,30.048
79.708,2.759,14.453,30.146
79.750,2.759,14.456,29.932
79.792,2.758,14.449,29.850
79.833,2.758,14.455,30.016
79.875,2.758,14.446,30.057
79.958,6.011,28.836,30.541
80.000,6.009,29.203,30.623
80.042,6.010,29.385,30.701
80.083,6.009,29.082,30.561
80.125,6.009,29.082,30.921
80.167,6.011,29.338,30.633
80.208,6.011,29.306,30.534
80.250,6.013,29.197,30.563
80.292,6.012,29.233,30.589
80.375,2.758,15.726,29.983
80.417,2.758,15.395,30.126
80.458,2.758,15.436,30.083
